GEO_ID,C21001I_001E,C21001I_001M,C21001I_002E,C21001I_002M,C21001I_003E,C21001I_003M,C21001I_004E,C21001I_004M,C21001I_005E,C21001I_005M,C21001I_006E,C21001I_006M,C21001I_007E,C21001I_007M,C21001I_008E,C21001I_008M,C21001I_009E,C21001I_009M,C21001I_010E,C21001I_010M,C21001I_011E,C21001I_011M,C21001I_012E,C21001I_012M,C21001I_013E,C21001I_013M,C21001I_014E,C21001I_014M,C21001I_015E,C21001I_015M,NAME,C21001I_001EA,C21001I_001MA,C21001I_002EA,C21001I_002MA,C21001I_003MA,C21001I_003EA,C21001I_004MA,C21001I_004EA,C21001I_005EA,C21001I_005MA,C21001I_006EA,C21001I_006MA,C21001I_007EA,C21001I_007MA,C21001I_008MA,C21001I_008EA,C21001I_009MA,C21001I_009EA,C21001I_010EA,C21001I_010MA,C21001I_011EA,C21001I_011MA,C21001I_012EA,C21001I_012MA,C21001I_013EA,C21001I_013MA,C21001I_014MA,C21001I_014EA,C21001I_015MA,C21001I_015EA,state
0400000US06,9725155,2457,4882593,2576,4524922,2758,164421,5699,4360501,6197,357671,814,79624,3287,278047,3359,4842562,1040,4361815,1127,20046,2647,4341769,2881,480747,712,2288,552,478459,840,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,702593,1206,356024,1660,328978,1738,23878,2707,305100,3140,27046,766,9925,1066,17121,1204,346569,1298,312861,1432,4950,1289,307911,1985,33708,711,612,292,33096,741,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,343879,373,169636,601,158837,644,7349,1362,151488,1544,10799,477,1849,620,8950,605,174243,453,159041,740,805,488,158236,815,15202,602,0,193,15202,602,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49578,229,25946,349,24612,375,1874,600,22738,619,1334,262,276,180,1058,278,23632,259,21935,160,446,399,21489,447,1697,298,0,182,1697,298,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,47597,83,24627,82,23353,82,883,495,22470,500,1274,-555555555,135,163,1139,163,22970,5,20999,3,416,263,20583,262,1971,-555555555,68,113,1903,113,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,11
0400000US12,3334119,2430,1628388,3095,1427642,2999,70170,4411,1357472,5032,200746,1703,28330,2910,172416,2950,1705731,1686,1426836,2281,10031,1940,1416805,2765,278895,1771,860,485,278035,1822,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,560957,2500,304594,2748,293476,2852,12165,1903,281311,3005,11118,1150,2754,838,8364,1049,256363,2668,240971,2500,3557,1281,237414,2600,15392,1739,176,187,15216,1768,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,78542,853,38346,762,35899,872,6774,1307,29125,1336,2447,379,1423,395,1024,385,40196,312,36538,331,1116,613,35422,757,3658,109,24,45,3634,118,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,110575,567,58036,893,55143,915,2314,837,52829,1144,2893,685,537,310,2356,662,52539,880,49046,1051,64,87,48982,1031,3493,717,30,59,3463,722,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1366006,2048,708415,1932,665133,1937,20746,2488,644387,2713,43282,805,5717,1068,37565,1239,657591,1585,605193,1657,3198,858,601995,1917,52398,744,112,88,52286,735,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,249967,2116,129849,2420,122891,2466,5361,1183,117530,2698,6958,775,2098,542,4860,839,120118,1699,111733,2026,1028,555,110705,2043,8385,835,40,63,8345,839,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
