GEO_ID,C08505G_001E,C08505G_001M,C08505G_002E,C08505G_002M,C08505G_003E,C08505G_003M,C08505G_004E,C08505G_004M,C08505G_005E,C08505G_005M,C08505G_006E,C08505G_006M,NAME,C08505G_001EA,C08505G_001MA,C08505G_002EA,C08505G_002MA,C08505G_003MA,C08505G_003EA,C08505G_004MA,C08505G_004EA,C08505G_005EA,C08505G_005MA,C08505G_006EA,C08505G_006MA,state
0400000US06,553839,13586,394426,11876,66910,4982,31374,2917,31241,2963,29888,2918,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,60859,3873,43886,3467,6692,1417,2150,817,4496,850,3635,973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,29521,2775,20971,2510,3458,897,1445,602,2793,817,854,439,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6873,1386,5410,1171,735,640,139,175,181,162,408,339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17617,1921,6705,1348,2136,673,5962,1090,2279,906,535,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,146566,7103,107919,5895,21024,3104,3991,986,7235,1707,6397,1516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,54509,4918,40238,4008,5904,1470,857,422,3096,1083,4414,1077,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,130217,5923,90970,5215,20291,2125,6961,1289,8468,1510,3527,1079,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10351,1729,8188,1558,1406,554,0,184,699,321,58,91,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,81144,5476,52522,4068,9871,1736,9114,1664,6545,1516,3092,826,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34195,3055,26871,2545,4042,1000,538,427,2063,673,681,396,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,16746,2003,10913,1688,2723,662,361,249,2118,811,631,290,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28904,3259,23062,2775,3109,991,218,248,1555,669,960,463,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22226,2706,16810,2332,3197,901,366,251,1222,450,631,355,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23228,2646,16254,2082,4423,1311,410,333,1410,533,731,420,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7820,1149,4587,893,1693,718,192,313,927,394,421,268,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,58514,4184,43282,3401,6932,1523,3448,1042,2945,752,1907,632,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,71809,5274,37132,3485,10496,2132,13071,2567,8677,1455,2433,833,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,62196,3509,49270,3245,6018,1162,1534,761,3116,738,2258,623,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38487,2771,27244,2230,5097,1037,1855,445,2809,873,1482,509,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7692,1711,5311,1557,774,394,228,304,749,438,630,345,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40828,3339,29064,3009,5716,1287,1013,530,3036,947,1999,569,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8195,1440,6292,1343,1082,498,92,157,325,203,404,204,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,12238,1712,9687,1509,1301,493,204,147,670,334,376,291,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
