GEO_ID,B01001A_001E,B01001A_001M,B01001A_002E,B01001A_002M,B01001A_003E,B01001A_003M,B01001A_004E,B01001A_004M,B01001A_005E,B01001A_005M,B01001A_006E,B01001A_006M,B01001A_007E,B01001A_007M,B01001A_008E,B01001A_008M,B01001A_009E,B01001A_009M,B01001A_010E,B01001A_010M,B01001A_011E,B01001A_011M,B01001A_012E,B01001A_012M,B01001A_013E,B01001A_013M,B01001A_014E,B01001A_014M,B01001A_015E,B01001A_015M,B01001A_016E,B01001A_016M,B01001A_017E,B01001A_017M,B01001A_018E,B01001A_018M,B01001A_019E,B01001A_019M,B01001A_020E,B01001A_020M,B01001A_021E,B01001A_021M,B01001A_022E,B01001A_022M,B01001A_023E,B01001A_023M,B01001A_024E,B01001A_024M,B01001A_025E,B01001A_025M,B01001A_026E,B01001A_026M,B01001A_027E,B01001A_027M,B01001A_028E,B01001A_028M,B01001A_029E,B01001A_029M,B01001A_030E,B01001A_030M,B01001A_031E,B01001A_031M,NAME,B01001A_001MA,B01001A_001EA,B01001A_002MA,B01001A_002EA,B01001A_003EA,B01001A_003MA,B01001A_004EA,B01001A_004MA,B01001A_005EA,B01001A_005MA,B01001A_006EA,B01001A_006MA,B01001A_007MA,B01001A_007EA,B01001A_008MA,B01001A_008EA,B01001A_009EA,B01001A_009MA,B01001A_010EA,B01001A_010MA,B01001A_011EA,B01001A_011MA,B01001A_012MA,B01001A_012EA,B01001A_013MA,B01001A_013EA,B01001A_014EA,B01001A_014MA,B01001A_015EA,B01001A_015MA,B01001A_016MA,B01001A_016EA,B01001A_017EA,B01001A_017MA,B01001A_018EA,B01001A_018MA,B01001A_019MA,B01001A_019EA,B01001A_020EA,B01001A_020MA,B01001A_021EA,B01001A_021MA,B01001A_022MA,B01001A_022EA,B01001A_023EA,B01001A_023MA,B01001A_024MA,B01001A_024EA,B01001A_025EA,B01001A_025MA,B01001A_026EA,B01001A_026MA,B01001A_027MA,B01001A_027EA,B01001A_028EA,B01001A_028MA,B01001A_029EA,B01001A_029MA,B01001A_030MA,B01001A_030EA,B01001A_031EA,B01001A_031MA,state
0400000US06,23628545,58000,11812634,34476,733155,7540,741066,10655,762767,11969,480394,6406,329112,4677,889132,7673,858489,7014,823985,6945,1570879,8385,1691351,7781,1436584,5207,864417,3479,448304,5081,182999,5118,11815911,30485,694043,6823,722778,11989,718118,10598,461844,5597,304105,4349,803007,6751,786935,7121,771631,6326,1506266,8435,1669753,6429,1498666,4758,966541,3998,580302,8013,331922,7501,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4376673,16745,2190986,8721,136343,2476,146502,4398,136108,4508,82993,1452,62972,2021,150688,2443,163148,2262,163014,2518,303412,2864,310956,2084,282603,1383,156711,1094,72015,1962,23521,1912,2185687,10077,127843,2661,136711,5230,134311,4187,75161,1723,56226,1773,143661,2424,151699,2286,151249,1750,288586,2203,316614,2126,294018,1517,170163,1253,94410,2217,45035,2086,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2804972,10799,1364400,6880,66674,1617,78135,3595,86164,3033,56889,1170,41235,1153,83418,1409,80936,1629,75981,1619,165329,1868,228610,1465,196334,1090,115654,550,62151,1615,26890,1597,1440572,5830,64788,1482,74675,3170,83124,3123,51965,871,38747,887,79699,1345,78302,1153,75516,1538,175773,1735,236384,1528,207567,1117,131853,879,88017,1737,54162,1777,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639294,3995,311246,2310,16577,648,18345,1420,17310,1668,11129,446,8309,286,21961,615,19690,800,18278,559,36137,713,47666,909,43585,335,31230,395,16347,953,4682,941,328048,2520,17018,763,16792,1500,16329,1414,10883,598,8730,369,21935,573,19261,694,18510,625,37732,867,48204,636,47847,295,35054,460,19877,1273,9876,1203,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250657,4014,123557,2363,6241,535,3819,683,2386,607,1303,221,3549,1104,11831,1223,20010,652,18084,667,19769,889,14286,641,10894,408,7207,268,3082,566,1096,515,127100,2132,6928,463,3448,576,2235,607,1440,342,5307,1387,15297,1429,23444,749,16620,490,17347,692,10550,515,11109,366,7595,383,3589,626,2191,594,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14742516,22798,7229755,13852,361281,3652,379984,8618,400756,8881,248056,2985,171110,2884,465926,4765,444824,2896,426343,3066,906359,4224,1060770,3843,958018,2849,779435,2296,455771,5709,171122,5602,7512761,13815,346288,3351,360459,8075,379863,8237,237140,2682,160603,2818,443107,4574,423609,3522,414262,3483,890678,3934,1083520,4365,1060782,3366,878996,2272,553068,7821,280386,7548,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5992846,16084,2966879,10646,182316,3799,194573,6179,196927,6173,115058,2530,81725,3507,204967,4475,196072,2952,195840,3085,408216,3584,439651,2767,373006,1770,239979,1155,109305,2425,29244,2395,3025967,8835,173755,3126,181776,5345,194750,5740,106365,2822,76920,3154,187212,3573,190097,2830,188448,2704,409937,2798,439374,2411,393963,1500,269651,1516,149160,3248,64559,3102,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,347252,2786,190751,1661,8665,674,7436,843,4951,788,2788,474,3903,616,18183,808,19518,696,15833,595,25804,738,25742,472,30440,630,17901,220,6357,615,3230,629,156501,1844,8018,594,6238,854,5462,754,3250,457,2294,360,10589,504,13401,636,12119,532,18543,628,21728,468,27842,487,15816,314,6719,717,4482,688,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1458371,6843,727771,3940,51798,988,54017,3509,56329,3255,30604,1435,20041,1178,48982,1434,48581,1423,48833,842,90269,1536,92485,1016,90037,733,58505,672,28013,1277,9277,1221,730600,4339,49644,1166,51592,2890,54139,3068,29122,1004,19315,1085,50121,1874,46267,1322,46598,887,87350,1865,95717,1441,91653,544,60202,615,32118,1661,16762,1599,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9358637,24157,4611261,12927,274202,3747,281483,5801,303574,6848,184485,2047,125995,2375,310131,3224,318584,3191,314983,3276,602492,4073,690331,2976,601698,2023,350449,1473,183920,3259,68934,3048,4747376,13567,263705,3330,274114,6678,284362,6135,174474,2204,115082,2312,299567,2717,310275,2777,308540,2797,594413,3088,698345,2726,623837,1939,398462,1350,256845,4049,145355,4100,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5513003,9610,2715818,5555,168149,1719,175127,4693,186249,4904,113775,1400,76729,2382,198251,2590,169529,1961,172657,1362,344817,1683,400125,1480,354985,1047,212697,657,104584,2292,38144,2189,2797185,5854,158311,1840,169996,4978,173325,5095,105720,1279,75998,2152,189102,2347,169301,1451,169793,1109,343545,1693,404084,1421,372063,1190,239811,674,152921,3387,73215,3431,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2817947,5797,1388761,3878,85025,1110,85653,2802,95531,2759,55241,1110,39981,1401,101447,1673,87281,951,88630,1123,164400,1446,199478,1182,187600,726,110861,478,64028,1582,23605,1590,1429186,3496,82878,1187,88089,3039,84322,3013,52704,1165,40494,1480,95893,1514,84708,933,87848,1074,162761,1349,200036,904,189138,645,122567,580,87988,2022,49760,2015,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2468884,7141,1223001,3837,81617,1281,84543,3374,84357,3264,49854,999,36775,2113,90827,2146,83175,1640,80304,1246,146637,1274,168983,1310,156365,602,89868,640,49148,1406,20548,1404,1245883,4580,77592,1276,80587,3272,79683,3125,46886,1249,36278,1790,81348,1832,79566,1049,78721,1083,145198,1128,172993,1021,161078,841,99793,678,68714,2017,37446,2007,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3844617,5968,1889866,3922,116202,1405,120568,3885,125091,3746,75100,1400,50844,2149,132013,2343,119556,1131,124286,1067,249538,1377,276993,980,248971,486,156074,410,73514,1314,21116,1333,1954751,4180,110520,1600,112306,3855,119468,3659,68344,1410,50171,2323,126848,2494,118516,1124,122478,789,250439,1325,285118,675,265651,677,176365,609,101176,2751,47351,2700,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
