GEO_ID,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M,NAME,B03002_001EA,B03002_001MA,B03002_002EA,B03002_002MA,B03002_003MA,B03002_003EA,B03002_004MA,B03002_004EA,B03002_005EA,B03002_005MA,B03002_006EA,B03002_006MA,B03002_007MA,B03002_007EA,B03002_008EA,B03002_008MA,B03002_009EA,B03002_009MA,B03002_010MA,B03002_010EA,B03002_011MA,B03002_011EA,B03002_012MA,B03002_012EA,B03002_013MA,B03002_013EA,B03002_014EA,B03002_014MA,B03002_015MA,B03002_015EA,B03002_016MA,B03002_016EA,B03002_017EA,B03002_017MA,B03002_018MA,B03002_018EA,B03002_019EA,B03002_019MA,B03002_020EA,B03002_020MA,B03002_021MA,B03002_021EA,state
0400000US39,11544225,-555555555,11169949,1701,9309291,4101,1391987,8399,17615,1753,199187,4214,3722,1472,14870,4048,233277,9615,5440,1359,227837,9546,374276,1701,237731,6677,21123,3087,4077,1194,1691,786,379,252,76578,6158,32697,3598,18256,2437,14441,2653,Ohio,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,3814820,-555555555,3458521,-555555555,2585779,891,269430,4030,268571,6173,70326,2372,3792,461,3337,906,257286,7463,1385,580,255901,7451,356299,-555555555,219833,8407,3390,784,9457,1567,201,169,133,182,86071,6703,37214,4574,11211,1629,26003,4348,Oklahoma,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3899353,-555555555,3425198,-555555555,3026649,2315,66879,3388,37023,3265,147243,3963,16013,1994,4772,1738,126619,6014,3368,1640,123251,5816,474155,-555555555,294942,10397,2840,1219,10043,2929,2212,1004,402,447,133984,9917,29732,4661,12862,2858,16870,3425,Oregon,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12763536,-555555555,11982674,981,10035953,3417,1340316,9627,13403,1800,366278,5262,2336,972,13791,2596,210597,10777,9376,1945,201221,10475,780862,981,420866,11921,59687,6960,7907,2437,2718,895,4799,3644,231885,11684,53000,4707,27812,3551,25188,3661,Pennsylvania,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,1050292,-555555555,911742,-555555555,791560,1670,52500,2821,3643,729,33246,1419,201,203,8828,2397,21764,2630,2484,952,19280,2478,138550,-555555555,66337,6130,15340,4309,1166,1200,568,436,0,200,47696,6113,7443,1755,3557,1231,3886,1459,Rhode Island,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,4723723,-555555555,4473961,2255,3016843,1645,1295205,6297,14189,1657,59145,2354,1738,950,5952,2524,80889,6465,3105,1175,77784,6420,249762,2255,149001,7899,11882,2931,1128,517,811,919,0,197,73094,6749,13846,2815,7965,2165,5881,1932,South Carolina,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,833354,-555555555,808585,920,698504,1363,12629,1245,70943,2387,9516,1229,460,404,1192,775,15341,2305,816,745,14525,2226,24769,920,13058,2173,426,331,2362,713,21,39,0,147,6563,1647,2339,1077,853,973,1486,625,South Dakota,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,6456243,-555555555,6148485,2725,4840886,2132,1084643,5907,12460,2004,95459,3027,2149,647,6115,1919,106773,6121,4266,1629,102507,5988,307758,2725,195678,9468,7116,2093,5134,2570,627,542,469,420,87143,9645,11591,2369,7678,2174,3913,1427,Tennessee,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,26059203,-555555555,16098293,-555555555,11554528,5931,3015396,11936,61331,3903,1037052,8461,18488,1997,31949,6416,379549,14811,19730,3800,359819,13900,9960910,-555555555,7991642,47459,84029,9467,64710,7627,14950,2536,3450,1710,1567255,47130,234874,11840,125155,9326,109719,8378,Texas,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2855287,-555555555,2475854,-555555555,2278904,919,27856,2343,25822,1936,61740,2771,25284,2698,3273,1688,52975,4482,1641,639,51334,4415,379433,-555555555,236004,9989,3941,2306,5626,1940,835,523,481,375,115922,9269,16624,3180,9059,1946,7565,2503,Utah,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
