GEO_ID,C24080_001E,C24080_001M,C24080_002E,C24080_002M,C24080_003E,C24080_003M,C24080_004E,C24080_004M,C24080_005E,C24080_005M,C24080_006E,C24080_006M,C24080_007E,C24080_007M,C24080_008E,C24080_008M,C24080_009E,C24080_009M,C24080_010E,C24080_010M,C24080_011E,C24080_011M,C24080_012E,C24080_012M,C24080_013E,C24080_013M,C24080_014E,C24080_014M,C24080_015E,C24080_015M,C24080_016E,C24080_016M,C24080_017E,C24080_017M,C24080_018E,C24080_018M,C24080_019E,C24080_019M,NAME,C24080_001EA,C24080_001MA,C24080_002EA,C24080_002MA,C24080_003EA,C24080_003MA,C24080_004EA,C24080_004MA,C24080_005MA,C24080_005EA,C24080_006EA,C24080_006MA,C24080_007EA,C24080_007MA,C24080_008EA,C24080_008MA,C24080_009EA,C24080_009MA,C24080_010EA,C24080_010MA,C24080_011EA,C24080_011MA,C24080_012EA,C24080_012MA,C24080_013EA,C24080_013MA,C24080_014EA,C24080_014MA,C24080_015EA,C24080_015MA,C24080_016MA,C24080_016EA,C24080_017EA,C24080_017MA,C24080_018EA,C24080_018MA,C24080_019EA,C24080_019MA,state
0400000US06,16778061,43364,9081463,27617,6780900,30455,6394470,29636,386430,10009,434063,8668,505685,11098,291220,8579,214778,7358,854817,14690,7696598,31470,5081464,28748,4911505,28902,169959,5331,707685,14781,751892,11462,424486,10987,135766,5509,595305,12499,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2559194,14129,1373285,8775,1042973,9967,958293,10236,84680,4173,70444,4080,73445,4137,45431,3175,46609,3556,94383,4234,1185909,10666,780513,10896,739984,10369,40529,2530,133807,5172,101545,4531,64593,4273,31030,2452,74421,3793,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1760162,12115,898984,7987,674977,7820,633544,7567,41433,2845,58575,3643,46231,2707,36893,2855,13257,1786,69051,3826,861178,7726,564790,8091,550470,8155,14320,1734,115867,4915,84484,3973,42005,3420,10758,1417,43274,3128,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,427114,5448,214352,3955,164925,4273,154635,4251,10290,1558,11722,1774,5682,1146,13580,1824,6993,1403,11450,1732,212762,4035,144955,5038,141170,5091,3785,824,22016,2158,7351,1061,25960,2139,4753,1078,7727,1152,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326957,6480,157029,4238,84847,4513,79816,4393,5031,1229,24824,2601,7241,1059,2922,748,27611,2767,9584,1512,169928,4138,78189,4033,75466,3987,2723,871,38018,2792,12727,1704,3944,983,28412,2378,8638,1473,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8277586,31488,4288774,21985,3339428,25386,3004599,25128,334829,8724,174990,6507,262827,10176,111234,5177,108905,5843,291390,9803,3988812,22498,2835506,22904,2699802,21829,135704,5887,347068,9650,365947,9848,157465,6563,71366,4514,211460,8206,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4263543,24438,2231438,16182,1720760,19173,1599339,18283,121421,6117,82801,5381,119410,6272,79260,4555,80966,4791,148241,6861,2032105,15525,1399029,15804,1346558,15506,52471,3273,160615,6187,183361,7318,135225,6275,62430,4922,91445,4731,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,648504,7446,339042,5422,229437,5362,216357,5051,13080,1783,17381,2109,12114,1655,19739,1639,34859,2973,25512,2736,309462,5078,192220,4742,183462,4459,8758,1441,30254,2581,7205,1240,41844,2766,17091,1590,20848,2257,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,710247,8035,383464,5018,285864,5318,263662,5192,22202,2521,16422,2046,19292,2217,16967,2132,12185,1531,32734,2449,326783,6459,211459,6655,203131,6598,8328,1305,27765,2334,30430,2636,25362,2456,6887,1336,24880,2305,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6030591,21059,3135624,12789,2441561,15523,2290811,16094,150750,5961,177980,7124,177409,5867,95791,4672,68345,3878,174538,5777,2894967,16218,1975497,16335,1917613,16236,57884,3700,365880,10587,238928,7869,140362,5595,53779,3508,120521,4699,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
