GEO_ID,B12501_001E,B12501_001M,B12501_002E,B12501_002M,B12501_003E,B12501_003M,B12501_004E,B12501_004M,B12501_005E,B12501_005M,B12501_006E,B12501_006M,B12501_007E,B12501_007M,B12501_008E,B12501_008M,B12501_009E,B12501_009M,B12501_010E,B12501_010M,B12501_011E,B12501_011M,NAME,B12501_001MA,B12501_001EA,B12501_002MA,B12501_002EA,B12501_003MA,B12501_003EA,B12501_004EA,B12501_004MA,B12501_005MA,B12501_005EA,B12501_006MA,B12501_006EA,B12501_007EA,B12501_007MA,B12501_008MA,B12501_008EA,B12501_009EA,B12501_009MA,B12501_010EA,B12501_010MA,B12501_011MA,B12501_011EA,state
0400000US06,30416010,2937,15018551,4117,6049704,26391,8968847,25700,248942,7947,8719905,25653,15397459,3902,5092645,27301,10304814,26992,239102,7233,10065712,26848,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4152392,2040,2073202,2540,718460,8299,1354742,8309,45881,3300,1308861,8561,2079190,2871,566395,8436,1512795,8608,42624,3389,1470171,8428,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2945674,1273,1419508,1881,525179,7616,894329,7376,21108,2203,873221,7296,1526166,1626,470937,8199,1055229,7938,21537,2141,1033692,7923,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,746748,660,357658,785,125252,3931,232406,3984,5452,1139,226954,3760,389090,804,118858,3027,270232,2974,5886,1255,264346,2892,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,539055,396,251998,318,148943,3430,103055,3390,5782,1282,97273,3256,287057,371,160809,3829,126248,3765,5175,1171,121073,3375,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16016557,3446,7757505,5119,2694915,21432,5062590,22391,124740,6363,4937850,21953,8259052,4590,2290565,18059,5968487,17942,119315,6591,5849172,16788,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7830116,4910,3783669,5257,1376918,13599,2406751,14401,79627,4983,2327124,13675,4046447,5172,1226048,14779,2820399,13188,75360,4810,2745039,13921,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1137619,763,570172,1040,215002,5618,355170,5763,10286,1394,344884,5836,567447,914,164861,3626,402586,3679,10321,1377,392265,3640,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1239521,1574,614964,2172,178204,4918,436760,4859,13218,1961,423542,5332,624557,2191,144329,4886,480228,4258,13933,1984,466295,4155,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10344646,2497,5026063,3881,1898189,14318,3127874,14271,76840,4036,3051034,14161,5318583,3541,1682675,13730,3635908,13077,76054,4567,3559854,12874,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
