GEO_ID,B21001A_001E,B21001A_001M,B21001A_002E,B21001A_002M,B21001A_003E,B21001A_003M,B21001A_004E,B21001A_004M,B21001A_005E,B21001A_005M,B21001A_006E,B21001A_006M,B21001A_007E,B21001A_007M,B21001A_008E,B21001A_008M,B21001A_009E,B21001A_009M,B21001A_010E,B21001A_010M,B21001A_011E,B21001A_011M,B21001A_012E,B21001A_012M,B21001A_013E,B21001A_013M,B21001A_014E,B21001A_014M,B21001A_015E,B21001A_015M,B21001A_016E,B21001A_016M,B21001A_017E,B21001A_017M,B21001A_018E,B21001A_018M,B21001A_019E,B21001A_019M,B21001A_020E,B21001A_020M,B21001A_021E,B21001A_021M,B21001A_022E,B21001A_022M,B21001A_023E,B21001A_023M,B21001A_024E,B21001A_024M,B21001A_025E,B21001A_025M,B21001A_026E,B21001A_026M,B21001A_027E,B21001A_027M,B21001A_028E,B21001A_028M,B21001A_029E,B21001A_029M,B21001A_030E,B21001A_030M,B21001A_031E,B21001A_031M,B21001A_032E,B21001A_032M,B21001A_033E,B21001A_033M,NAME,B21001A_001MA,B21001A_001EA,B21001A_002MA,B21001A_002EA,B21001A_003MA,B21001A_003EA,B21001A_004EA,B21001A_004MA,B21001A_005MA,B21001A_005EA,B21001A_006MA,B21001A_006EA,B21001A_007MA,B21001A_007EA,B21001A_008MA,B21001A_008EA,B21001A_009EA,B21001A_009MA,B21001A_010EA,B21001A_010MA,B21001A_011MA,B21001A_011EA,B21001A_012MA,B21001A_012EA,B21001A_013MA,B21001A_013EA,B21001A_014MA,B21001A_014EA,B21001A_015EA,B21001A_015MA,B21001A_016MA,B21001A_016EA,B21001A_017MA,B21001A_017EA,B21001A_018MA,B21001A_018EA,B21001A_019MA,B21001A_019EA,B21001A_020EA,B21001A_020MA,B21001A_021EA,B21001A_021MA,B21001A_022MA,B21001A_022EA,B21001A_023MA,B21001A_023EA,B21001A_024EA,B21001A_024MA,B21001A_025MA,B21001A_025EA,B21001A_026EA,B21001A_026MA,B21001A_027MA,B21001A_027EA,B21001A_028MA,B21001A_028EA,B21001A_029EA,B21001A_029MA,B21001A_030MA,B21001A_030EA,B21001A_031EA,B21001A_031MA,B21001A_032EA,B21001A_032MA,B21001A_033MA,B21001A_033EA,state
0400000US06,18211731,37397,9002269,22634,2822563,13381,99223,5222,2723340,13288,3247695,11236,246318,7403,3001377,13375,1436291,5231,277715,6674,1158576,8454,864417,3479,357026,6043,507391,7120,631303,2432,376014,5586,255289,6086,9209462,20183,2657547,11542,19555,2708,2637992,11822,3174514,11295,31807,2596,3142707,11502,1498636,4776,18450,1888,1480186,4971,966541,3998,7986,1393,958555,4289,912224,3216,16297,1816,895927,3743,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3374851,9845,1666064,5866,523044,4202,31239,2695,491805,4870,608254,3730,78217,4295,530037,5675,282519,1381,72012,3214,210507,3509,156711,1094,75656,2876,81055,3063,95536,754,67092,1791,28444,1772,1708787,5632,500621,3849,7813,1629,492808,4151,604540,3072,16845,2029,587695,3783,294018,1517,6801,1027,287217,1701,170163,1253,3062,708,167101,1416,139445,1041,3142,865,136303,1339,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2235773,7420,1070314,5140,276589,3343,8289,1567,268300,3620,392696,2597,32142,2792,360554,4274,196334,1090,35778,2248,160556,2463,115654,550,50231,1927,65423,2053,89041,383,57991,2084,31050,2050,1165459,4014,271703,2432,1168,601,270535,2482,412157,2210,3317,769,408840,2292,207567,1117,1706,600,205861,1396,131853,879,522,285,131331,898,142179,515,1909,544,140270,720,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,512948,2777,245960,1815,66853,1324,3250,949,63603,1469,83306,905,9983,1504,73323,1695,43542,340,12178,1351,31364,1331,31230,395,14065,920,17165,999,21029,168,15009,934,6020,892,266988,1613,68398,1295,1310,633,67088,1439,85936,963,1293,501,84643,995,47847,295,500,362,47347,464,35054,460,569,263,34485,515,29753,325,1027,495,28726,483,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,220047,3415,107347,2067,51608,1235,1641,673,49967,1352,33568,1138,1810,523,31758,1249,10786,408,1663,671,9123,694,7207,268,1861,464,5346,566,4178,174,2122,500,2056,478,112700,1781,60363,1070,278,191,60085,1102,27853,916,1091,647,26762,969,11109,366,66,80,11043,379,7595,383,0,197,7595,383,5780,150,436,259,5344,279,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11988755,16157,5804473,10948,1481318,6934,63265,4515,1418053,7265,1958943,6193,234488,7983,1724455,10625,957884,2866,238787,6459,719097,7272,779435,2296,337250,7437,442185,7627,626893,2416,394562,6131,232331,5880,6184282,9551,1437530,5779,13285,2283,1424245,6186,1973638,6087,34498,3049,1939140,7073,1060664,3371,17351,2182,1043313,3848,878996,2272,9577,1404,869419,2542,833454,2039,12356,1611,821098,2491,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4610326,10568,2244426,7343,652355,5760,28273,2920,624082,5820,840920,4530,97689,4928,743231,5920,372623,1774,99767,3948,272856,4055,239979,1155,114670,3903,125309,4099,138549,1255,94083,2390,44466,2485,2365900,5324,639922,4218,5949,1455,633973,4650,848645,3623,14251,2143,834394,3938,393963,1500,5537,1041,388426,1909,269651,1516,3329,1194,266322,1875,213719,1386,3529,897,210190,1610,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,274613,3135,142995,2347,37805,2021,6574,1210,31231,1956,47313,1004,8949,1481,38364,1573,30389,642,7893,1012,22496,1100,17901,220,8373,880,9528,834,9587,260,6650,758,2937,696,131618,1562,36798,974,1953,662,34845,1033,40003,800,1908,672,38095,987,27800,486,679,327,27121,600,15816,314,314,188,15502,346,11201,240,410,269,10791,371,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1078813,4040,533073,2583,164948,1827,6086,1346,158862,2387,182338,1499,25382,2521,156956,2803,89992,740,27247,2591,62745,2559,58505,672,27132,1964,31373,2005,37290,496,24422,1501,12868,1553,545740,2952,162098,2128,868,472,161230,2185,182907,1794,4085,936,178822,1900,91653,544,1792,739,89861,829,60202,615,356,230,59846,660,48880,454,415,208,48465,489,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7304924,14434,3556738,7999,1061505,6107,42716,3352,1018789,7015,1290355,5006,111313,4437,1179042,6229,601575,2011,121974,3724,479601,3990,350449,1473,144591,3541,205858,3790,252854,1196,159202,2940,93652,2790,3748186,8480,1031580,5203,6787,1625,1024793,5632,1292107,4017,13906,1765,1278201,4035,623837,1939,5613,1005,618224,2183,398462,1350,2122,485,396340,1496,402200,1182,3733,824,398467,1495,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
