GEO_ID,B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,NAME,B11002G_001EA,B11002G_001MA,B11002G_002MA,B11002G_002EA,B11002G_003EA,B11002G_003MA,B11002G_004EA,B11002G_004MA,B11002G_005EA,B11002G_005MA,B11002G_006EA,B11002G_006MA,B11002G_007MA,B11002G_007EA,B11002G_008MA,B11002G_008EA,B11002G_009EA,B11002G_009MA,B11002G_010EA,B11002G_010MA,B11002G_011EA,B11002G_011MA,B11002G_012MA,B11002G_012EA,state
0400000US06,1140327,31570,950940,28977,613980,22773,604488,22548,9492,1935,103931,11699,91189,10910,12742,2093,233029,16651,217146,15487,15883,2305,189387,10345,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,115055,9304,94313,9032,66129,7936,64492,7623,1637,1075,8681,2784,6641,1962,2040,1233,19503,3739,18632,3544,871,468,20742,3072,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,59072,6920,50443,6932,26832,4947,26580,4890,252,326,4340,1975,3830,1699,510,333,19271,4412,18425,4312,846,434,8629,1687,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13461,3504,11670,3528,8373,3130,8006,2977,367,530,1102,795,717,675,385,374,2195,1410,2109,1388,86,104,1791,575,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,315352,16431,261328,16602,158663,11500,157952,11487,711,437,22670,4288,19889,3933,2781,894,79995,9445,75205,8669,4790,1552,54024,4761,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,126974,11180,107962,11060,69496,9756,68959,9739,537,362,8822,3261,7688,2900,1134,927,29644,6221,27197,5655,2447,1179,19012,3529,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,234202,13045,206743,12688,131380,10165,129075,9992,2305,722,21192,4407,18335,3707,2857,1083,54171,8038,49488,7433,4683,1300,27459,3135,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,27005,4091,23414,4028,17515,4027,17486,4023,29,60,2861,1366,2467,1166,394,336,3038,1371,2715,1189,323,297,3591,1165,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,162428,11141,133812,10429,82611,7772,81931,7678,680,504,9333,2589,8143,2288,1190,571,41868,5825,39641,5535,2227,731,28616,3619,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
