GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,NAME,B25102_001EA,B25102_001MA,B25102_002EA,B25102_002MA,B25102_003EA,B25102_003MA,B25102_004MA,B25102_004EA,B25102_005MA,B25102_005EA,B25102_006EA,B25102_006MA,B25102_007EA,B25102_007MA,B25102_008EA,B25102_008MA,B25102_009EA,B25102_009MA,B25102_010MA,B25102_010EA,B25102_011EA,B25102_011MA,B25102_012EA,B25102_012MA,B25102_013MA,B25102_013EA,B25102_014EA,B25102_014MA,B25102_015MA,B25102_015EA,state
0400000US06,6781817,25470,5013594,26823,242752,7937,636714,11382,446872,10216,895936,11957,2736781,21446,54539,3399,1768223,13924,318877,5741,387576,8175,181047,5061,260325,6648,505274,7932,115124,3993,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,945039,10533,146787,5611,309313,7168,164132,6393,174754,5469,142873,4177,7180,1034,333119,5691,89408,3967,98921,3859,51716,2942,47023,2776,38273,2333,7778,1102,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,642602,8945,9566,1264,12422,1448,12775,1706,52591,3059,551677,8248,3571,852,265850,5449,8607,1321,7142,1061,5231,715,21504,2091,220185,5217,3181,666,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,168064,4422,41760,2577,55044,3165,26683,2254,26403,2167,15235,1442,2939,839,72986,2939,35260,2259,16959,1749,7023,1036,5095,768,5316,825,3333,656,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,87104,3340,6684,1050,14801,1559,9399,1344,14116,1614,40282,2572,1822,488,23577,2090,4758,922,5521,907,1657,481,3640,802,7333,1065,668,316,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,2888716,18233,460861,11312,724997,10744,359286,8031,526939,12086,757478,12261,59155,3327,1835712,18176,502613,10078,408529,9423,180176,6863,230645,7067,350848,9286,162901,5913,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,1560580,18192,315084,7715,412792,10697,227580,7474,285020,9341,294520,8964,25584,2306,688122,12099,296340,8410,156179,5189,57994,3581,68352,3831,72345,3695,36912,2461,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,172799,4553,42476,2258,45687,3037,27440,2233,30996,2082,18681,1866,7519,1077,81971,3305,25542,2410,20836,2177,11690,1298,13758,1574,7972,994,2173,523,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,270378,6063,54865,3511,119329,4793,35601,3159,30274,2379,24116,2691,6193,1391,128293,4525,38608,2206,46971,2824,10978,1226,10951,1529,11276,1516,9509,1369,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,2153509,15842,105956,3990,169023,5461,134300,5487,272795,7477,1454959,13598,16476,1513,1023595,11279,149371,4247,118614,3948,83214,3852,143155,4859,490005,8148,39236,2467,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
