GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001EA,B08008_001MA,B08008_002MA,B08008_002EA,B08008_003EA,B08008_003MA,B08008_004EA,B08008_004MA,B08008_005MA,B08008_005EA,B08008_006MA,B08008_006EA,B08008_007EA,B08008_007MA,B08008_008EA,B08008_008MA,B08008_009EA,B08008_009MA,B08008_010EA,B08008_010MA,B08008_011MA,B08008_011EA,B08008_012MA,B08008_012EA,B08008_013MA,B08008_013EA,B08008_014EA,B08008_014MA,B08008_015EA,B08008_015MA,state
0400000US06,16432358,41929,15602839,41134,5806739,36699,9796100,37627,829519,16413,8992041,28301,8518655,29743,2984648,24867,5534007,28659,473386,12029,7440317,30556,7084184,29312,2822091,24115,4262093,28485,356133,8435,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2538793,15597,2187708,15377,934631,13352,1253077,15482,351085,8783,1379413,9108,1185669,9184,477409,9457,708260,9711,193744,5450,1159380,11180,1002039,9831,457222,8584,544817,9714,157341,5433,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1728325,12264,1037229,10717,324081,8627,713148,10342,691096,10332,889917,7941,525185,6876,155461,6412,369724,6921,364732,6175,838408,7584,512044,7321,168620,5333,343424,7606,326364,6548,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,421883,5569,184588,6087,46273,3774,138315,5511,237295,6433,212811,4063,92217,3999,22202,2687,70015,3765,120594,3857,209072,4068,92371,3764,24071,2241,68300,3599,116701,4449,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326143,6312,326143,6312,246634,6137,79509,3784,0,197,158512,4247,158512,4247,115456,3796,43056,2802,0,197,167631,4130,167631,4130,131178,4315,36453,2530,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8161313,33163,6347413,36434,2049484,23320,4297929,34496,1813900,21871,4265063,22027,3296156,24451,1051103,16685,2245053,25336,968907,14521,3896250,23174,3051257,22910,998381,13377,2052876,19164,844993,13727,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4213128,24999,1938162,21380,804871,12898,1133291,20346,2274966,21941,2234226,16807,1020836,14167,409643,10335,611193,14621,1213390,14213,1978902,15634,917326,13232,395228,7828,522098,11811,1061576,14014,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,670355,7481,648190,7615,251536,7793,396654,7101,22165,2976,366971,5262,353776,5396,132097,4823,221679,5102,13195,1841,303384,5182,294414,5058,119439,5051,174975,4477,8970,1676,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,697765,7911,499937,8376,271576,7777,228361,7344,197828,6666,379789,4962,264350,5459,133253,5668,131097,5210,115439,4290,317976,6373,235587,5651,138323,5289,97264,4843,82389,4332,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5927604,21876,5181392,22856,1985982,17744,3195410,19863,746212,14112,3094556,13251,2687438,14825,977578,14067,1709860,15323,407118,8992,2833048,16063,2493954,15639,1008404,11729,1485550,13652,339094,7627,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2954205,15974,1990044,15761,969821,14941,1020223,12728,964161,14710,1554274,10743,1025951,11381,465804,10066,560147,9663,528323,9405,1399931,11222,964093,10382,504017,9714,460076,8831,435838,7796,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1530289,8390,1208435,9721,620046,9322,588389,10815,321854,6504,801079,6570,624696,6209,302698,6447,321998,7072,176383,4215,729210,6020,583739,6828,317348,5693,266391,6882,145471,3604,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1388601,9358,1155512,10640,615398,8805,540114,9854,233089,5631,745744,5829,615143,6697,306575,5511,308568,6246,130601,4040,642857,7464,540369,7221,308823,6591,231546,5955,102488,3119,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1845659,13246,1117383,14185,595709,11019,521674,9869,728276,12573,965201,9398,577473,9109,294229,7559,283244,6997,387728,8425,880458,8476,539910,8168,301480,6484,238430,6097,340548,6986,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1965689,11987,1296920,14305,584911,10703,712009,12705,668769,12821,1028167,8169,666556,8408,277698,7265,388858,8192,361611,7031,937522,8586,630364,9744,307213,7495,323151,7854,307158,8786,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,631826,7271,287102,7446,125461,5226,161641,6746,344724,7663,323981,4410,142906,4452,58044,3440,84862,3794,181075,4125,307845,4778,144196,4399,67417,3542,76779,4105,163649,5032,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2909794,13064,2406281,14849,497188,10391,1909093,13899,503513,9697,1479009,8884,1209727,9296,228061,6317,981666,10332,269282,6295,1430785,10313,1196554,10415,269127,7014,927427,10148,234231,5310,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
