GEO_ID,B20001_001E,B20001_001M,B20001_002E,B20001_002M,B20001_003E,B20001_003M,B20001_004E,B20001_004M,B20001_005E,B20001_005M,B20001_006E,B20001_006M,B20001_007E,B20001_007M,B20001_008E,B20001_008M,B20001_009E,B20001_009M,B20001_010E,B20001_010M,B20001_011E,B20001_011M,B20001_012E,B20001_012M,B20001_013E,B20001_013M,B20001_014E,B20001_014M,B20001_015E,B20001_015M,B20001_016E,B20001_016M,B20001_017E,B20001_017M,B20001_018E,B20001_018M,B20001_019E,B20001_019M,B20001_020E,B20001_020M,B20001_021E,B20001_021M,B20001_022E,B20001_022M,B20001_023E,B20001_023M,B20001_024E,B20001_024M,B20001_025E,B20001_025M,B20001_026E,B20001_026M,B20001_027E,B20001_027M,B20001_028E,B20001_028M,B20001_029E,B20001_029M,B20001_030E,B20001_030M,B20001_031E,B20001_031M,B20001_032E,B20001_032M,B20001_033E,B20001_033M,B20001_034E,B20001_034M,B20001_035E,B20001_035M,B20001_036E,B20001_036M,B20001_037E,B20001_037M,B20001_038E,B20001_038M,B20001_039E,B20001_039M,B20001_040E,B20001_040M,B20001_041E,B20001_041M,B20001_042E,B20001_042M,B20001_043E,B20001_043M,NAME,B20001_001EA,B20001_001MA,B20001_002MA,B20001_002EA,B20001_003MA,B20001_003EA,B20001_004EA,B20001_004MA,B20001_005EA,B20001_005MA,B20001_006EA,B20001_006MA,B20001_007MA,B20001_007EA,B20001_008MA,B20001_008EA,B20001_009MA,B20001_009EA,B20001_010EA,B20001_010MA,B20001_011EA,B20001_011MA,B20001_012MA,B20001_012EA,B20001_013MA,B20001_013EA,B20001_014MA,B20001_014EA,B20001_015EA,B20001_015MA,B20001_016EA,B20001_016MA,B20001_017MA,B20001_017EA,B20001_018MA,B20001_018EA,B20001_019MA,B20001_019EA,B20001_020EA,B20001_020MA,B20001_021EA,B20001_021MA,B20001_022MA,B20001_022EA,B20001_023MA,B20001_023EA,B20001_024MA,B20001_024EA,B20001_025EA,B20001_025MA,B20001_026EA,B20001_026MA,B20001_027EA,B20001_027MA,B20001_028MA,B20001_028EA,B20001_029MA,B20001_029EA,B20001_030MA,B20001_030EA,B20001_031MA,B20001_031EA,B20001_032EA,B20001_032MA,B20001_033EA,B20001_033MA,B20001_034EA,B20001_034MA,B20001_035EA,B20001_035MA,B20001_036MA,B20001_036EA,B20001_037EA,B20001_037MA,B20001_038EA,B20001_038MA,B20001_039EA,B20001_039MA,B20001_040EA,B20001_040MA,B20001_041MA,B20001_041EA,B20001_042MA,B20001_042EA,B20001_043EA,B20001_043MA,state
0400000US06,18846761,40718,10205347,24837,534447,10776,345557,9435,401678,10902,307413,8511,524078,10876,282430,10541,447377,12525,306288,10192,503680,12509,295129,8362,577876,13094,603767,11112,459309,12613,511311,10113,348005,10884,449633,11868,607719,14162,472579,10320,805072,13336,1421999,15799,8641414,31171,643589,12775,451814,10148,495145,12397,384160,12104,573752,11343,296284,9279,414421,10685,273523,8233,439583,9907,261702,9110,494788,11086,515079,12002,397998,11637,420448,10075,304103,7283,344229,9075,451008,9443,363616,8096,544724,10504,571448,11277,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2908000,13706,1566155,8242,90836,4887,62296,3636,56678,3534,43724,3682,73375,4171,32236,3280,50718,3921,39395,2957,73913,4269,39183,3628,87216,3799,100015,4955,80806,4486,88029,4940,63622,4199,77491,4372,102621,4297,78774,5107,131141,4840,194086,5659,1341845,10156,112992,5069,75267,4066,71021,4490,55668,3744,88275,4621,39945,3244,56964,3911,36546,3035,65245,3400,40029,2884,87750,4868,96166,4884,84228,5208,70985,4520,53748,3639,59761,3925,73386,4225,51730,3068,62195,3709,59944,3132,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1975687,10869,1013335,7177,57286,3185,35393,2846,32078,2581,25836,2632,37349,3064,19810,2650,24415,2529,18080,2510,39002,3247,20900,2190,44551,3658,54144,4056,44434,3866,51210,4045,37714,3461,55870,3608,73283,4139,56590,3906,105645,4888,179745,5802,962352,6960,66707,3393,51083,3263,45644,4453,33662,3148,51531,3646,27937,2691,37013,2678,25725,2116,48175,3326,23866,2478,61879,4059,59328,3379,49381,3546,56998,3744,33805,2760,49023,3946,58195,3669,47733,2852,72878,3700,61789,3401,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,485287,5176,244114,3467,14736,1601,10238,1581,10660,1684,6956,1249,10496,1706,5102,1162,9366,2030,4107,1016,10907,1717,5972,1331,13347,2519,14051,2216,10880,1753,14839,2098,11231,1923,15545,2144,18816,2019,12677,1769,20022,2067,24166,1964,241173,4157,18873,2145,11311,1820,13727,1772,8117,1350,14226,2065,7140,1338,11041,1660,5437,1064,11953,1761,7350,1331,16055,1937,15946,1895,16048,1889,15879,1901,10448,1534,10641,1485,12706,1818,11940,1583,12959,1510,9376,1109,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,375163,5883,181624,3729,13964,1717,5757,1329,4389,1059,3122,826,5997,1262,2489,793,6219,1257,2203,770,6291,1013,2897,833,7032,1462,11018,1682,7126,1456,7666,1719,7587,1500,6441,1358,11705,1643,8107,1241,18468,1937,43146,2607,193539,3782,15184,2037,8583,1425,4951,1226,5296,1230,8405,1330,3236,838,5096,1061,3588,915,6047,1257,3503,878,8720,1683,9078,1283,8848,1705,10906,1624,7324,1280,9584,1788,16006,2100,10335,1325,19814,2147,29035,1978,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9306221,29225,4842640,21562,264601,8580,182870,8054,200366,8145,156437,7584,280454,9750,154648,7028,234735,8425,157297,7747,273201,9698,143706,6272,337505,11831,341922,10148,269040,9960,282856,8693,179661,8993,213208,7668,262273,9056,183058,7088,284079,9024,440723,11314,4463581,21161,299622,8811,214532,8519,250271,8370,200562,8275,302434,10010,176085,7896,265453,10916,165196,6178,278691,9151,153342,5811,349389,9824,342748,11349,280497,8376,246859,9217,158501,6640,164908,6925,192862,7217,129156,5934,163244,6683,129229,5676,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4821059,24470,2531203,14919,146586,7247,96103,5769,106464,5744,74550,4487,109688,5384,62951,5372,115370,6621,68358,5219,128855,7497,73481,5172,171630,8741,166556,6958,142336,6755,139608,6356,101855,5670,126341,6179,151197,6672,111874,5549,166934,6920,270466,8288,2289856,17082,177645,8039,117884,5930,129941,6255,99005,6079,160928,6735,89931,5451,120074,6201,71362,4595,125384,7175,71281,4600,174417,7671,162333,8320,119628,6199,122119,7115,84132,3547,92892,5499,118717,5652,83089,5171,91773,5204,77321,4399,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,747304,6464,404389,4437,19506,2474,11840,1889,15466,2037,12265,1609,15570,1884,10070,1663,13917,1946,12805,1856,19203,2220,14661,1927,24772,2558,28501,2387,23642,2378,24242,2135,19467,2186,20603,1993,30185,2756,22839,2417,34245,2569,30590,2383,342915,4733,20992,1999,14063,1655,16136,1712,13641,1585,21887,2410,10940,1642,12809,1568,11450,1662,18577,2024,13522,1541,25456,2231,26956,2498,23685,2044,22416,2181,14388,1617,17084,1881,19394,2072,11376,1554,15664,1730,12479,1454,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,818276,8108,438816,4295,29491,3203,23013,2586,19268,1791,15791,1963,20975,2097,9804,1623,20220,2494,10468,1680,25627,3122,13792,1953,27790,2816,32708,2947,24698,2407,24496,2191,16396,2160,22509,2526,28868,2676,18401,1983,24263,2366,30238,2456,379460,6365,43818,3786,24815,2266,25523,1978,20217,2326,29696,3168,17972,2319,21143,2701,14768,1860,23154,2696,13383,1754,28295,2640,25695,2521,17550,2241,15690,2024,10752,1820,12440,1909,13674,2137,6453,1537,10154,1761,4268,1057,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6739314,19742,3511333,12030,198542,6761,132509,5543,133335,5638,90608,4239,155375,6046,76847,4638,124453,5516,82666,4767,158319,6073,79347,4460,191038,6996,211363,8382,175491,6333,203974,6654,135609,5716,184521,5475,237224,7330,192004,7221,320752,8524,427356,7915,3227981,14562,250847,7129,168456,5566,177519,5848,120554,5464,190893,7243,110558,4900,165310,6417,107152,4537,180254,6709,92001,4376,216451,6083,221130,7174,166834,6488,170590,6044,121633,5694,139610,5093,179328,6170,128006,4895,171051,5775,149804,5341,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
