GEO_ID,C24010A_001E,C24010A_001M,C24010A_002E,C24010A_002M,C24010A_003E,C24010A_003M,C24010A_004E,C24010A_004M,C24010A_005E,C24010A_005M,C24010A_006E,C24010A_006M,C24010A_007E,C24010A_007M,C24010A_008E,C24010A_008M,C24010A_009E,C24010A_009M,C24010A_010E,C24010A_010M,C24010A_011E,C24010A_011M,C24010A_012E,C24010A_012M,C24010A_013E,C24010A_013M,NAME,C24010A_001EA,C24010A_001MA,C24010A_002EA,C24010A_002MA,C24010A_003EA,C24010A_003MA,C24010A_004MA,C24010A_004EA,C24010A_005MA,C24010A_005EA,C24010A_006MA,C24010A_006EA,C24010A_007EA,C24010A_007MA,C24010A_008EA,C24010A_008MA,C24010A_009MA,C24010A_009EA,C24010A_010MA,C24010A_010EA,C24010A_011MA,C24010A_011EA,C24010A_012EA,C24010A_012MA,C24010A_013EA,C24010A_013MA,state
0400000US06,10625048,43932,5815501,28986,2117977,18027,882846,16355,1022520,16216,941984,15376,850174,15790,4809547,25200,1991451,18700,973114,16962,1556018,20899,69053,5137,219911,7541,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2213649,11791,1186700,7833,467651,9026,165235,7132,207794,6609,201086,7424,144934,6658,1026949,9332,455964,9072,195992,6759,324909,8350,10006,1860,40078,3005,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1420644,10139,731235,7462,302799,6656,103778,4618,130957,5271,98737,5058,94964,5059,689409,6559,320126,6488,122618,5499,211673,5722,3863,1030,31129,2579,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,305529,4776,156940,3314,53994,2846,21722,2257,28698,2528,28089,2292,24437,2313,148589,3362,63683,3197,28016,2480,50263,3279,885,376,5742,1121,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,171001,4182,84669,2861,65750,2637,7380,1492,8338,1349,2014,1188,1187,523,86332,2553,65207,2958,6757,1271,13860,2242,155,154,353,247,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,6442413,25332,3398548,18433,1109116,18432,577249,13323,705705,16177,571275,15348,435203,12611,3043865,18829,1167042,16921,618286,14717,1117995,18717,27634,2736,112908,7055,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2708964,18653,1476117,13169,522954,10684,182181,7979,264620,8038,264729,9317,241633,7049,1232847,11555,537435,10929,210318,8113,402770,9450,12110,2134,70214,5321,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,164683,4673,93627,3268,40802,3139,16291,2100,12945,1626,15768,1935,7821,1455,71056,2734,34354,2106,13868,1796,20208,1973,739,476,1887,734,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,651614,8610,349893,5583,106606,5296,47661,3688,60017,4227,71910,3934,63699,3614,301721,6201,112614,4649,69618,4155,100107,4578,3696,1053,15686,2105,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4634458,20657,2439253,12940,827496,10541,323692,8850,449678,9487,354024,8336,484363,9803,2195205,14297,903244,11302,429037,11237,725318,11846,12663,1787,124943,4850,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2615821,15440,1380878,10013,384907,8348,161436,5394,227464,7271,239372,8080,367699,9414,1234943,10560,448433,8921,259641,7571,404526,9364,10413,1599,111930,5079,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1451773,8313,753094,6924,233839,6287,74861,4168,127373,4312,134783,4688,182238,5707,698679,5707,266312,5396,153959,5227,223740,5452,6741,1145,47927,2819,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1228635,7223,651891,5578,212780,5810,82086,4271,111274,4681,117476,4592,128275,5807,576744,5953,235787,6094,118499,4560,188674,5578,4512,948,29272,2179,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1666404,11827,866729,8439,243341,5933,104435,4600,144687,5427,161204,5173,213062,6133,799675,8200,306213,7011,156229,5584,269021,6897,6507,1052,61705,3639,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1350426,10420,734647,6540,231793,7172,80621,4421,109689,5052,184614,7415,127930,6232,615779,7623,252944,7649,116841,5315,222157,6601,4681,1153,19156,2489,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,622237,6908,318273,4423,92606,3757,44575,2956,54571,3712,67233,3023,59288,3207,303964,4276,119636,4497,68520,3706,99587,3744,3110,791,13111,1540,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
