GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003EA,B25116_003MA,B25116_004EA,B25116_004MA,B25116_005MA,B25116_005EA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008EA,B25116_008MA,B25116_009EA,B25116_009MA,B25116_010MA,B25116_010EA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013EA,B25116_013MA,B25116_014EA,B25116_014MA,B25116_015MA,B25116_015EA,B25116_016MA,B25116_016EA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019EA,B25116_019MA,B25116_020EA,B25116_020MA,B25116_021MA,B25116_021EA,B25116_022MA,B25116_022EA,B25116_023EA,B25116_023MA,state
0400000US06,12552658,18433,6781817,25470,1369504,15247,382749,8802,325877,7256,301804,7701,359074,6961,5412313,23730,2888039,18658,1255302,10258,759645,9063,509327,6913,5770841,24980,1693310,21748,977261,16331,291729,8329,201575,6642,222745,6626,4077531,25535,3362652,21635,442498,9148,165873,5679,106508,4751,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,295025,7388,108831,5061,76314,3094,54939,2944,54941,2975,983133,10577,564650,9055,222040,4166,127328,3179,69115,2343,717930,9538,267585,7842,169701,6626,45112,3151,23249,2116,29523,2266,450345,10128,395552,8959,32502,2592,14588,1907,7703,973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,198521,5854,60178,3240,45420,2965,37979,2747,54944,2873,709931,8320,389695,7145,164003,4358,97146,2834,59087,2424,449360,8680,179415,6012,91039,5020,31320,2611,24082,2019,32974,2440,269945,7366,223839,6316,25593,2554,11279,1723,9234,1136,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,55794,2931,17099,2037,12671,1461,12159,1389,13865,1204,185256,3841,97294,3515,41736,2035,30394,1400,15832,1119,99258,4117,36402,3259,19616,2465,6892,1250,4463,1001,5431,1070,62856,3461,52644,3248,6183,1146,2371,663,1658,562,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,43960,2925,20320,2101,9908,1482,6937,1086,6795,932,66721,3018,36125,2600,13171,1377,9225,1063,8200,914,155981,4855,78119,3986,52325,3623,12847,1571,7416,1145,5531,945,77862,4420,64684,3759,7565,1268,3636,685,1977,775,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,1252738,15741,327546,9688,277077,8476,286843,7628,361272,8277,3471690,19988,1621604,15685,762762,9421,641844,8130,445480,6847,2473515,22250,876665,14501,501508,12525,147215,5530,102568,5296,125374,5664,1596850,19621,1304322,18163,160985,6904,78566,3783,52977,3220,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,502318,11016,178433,7620,125790,5338,102373,4067,95722,3376,1746384,17926,1002247,14842,378471,7164,243410,5304,122256,3707,1284206,16668,443384,9301,283143,8288,74266,4612,41726,3107,44249,2827,840822,15452,721855,14333,73654,4563,29840,2302,15473,1790,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,50876,3161,14507,1543,13179,1645,11468,1350,11722,1538,203894,5002,86160,3800,52841,2596,34619,1626,30274,1873,192978,4122,56595,3236,31841,2672,11160,1642,6353,1070,7241,1250,136383,4368,108350,4005,16178,1994,8185,1203,3670,859,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,83646,4223,23994,3112,22384,1863,17812,1995,19456,1609,315025,6401,172267,5525,68935,2152,47941,1682,25882,1784,184435,6150,56404,3678,32733,2753,7743,1303,7413,1405,8515,1284,128031,6072,111439,5875,8556,1415,4812,1208,3224,1027,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,735348,11980,250582,8160,161206,5078,138132,4385,185428,4249,2441756,14791,1385039,13144,534761,6510,321629,4607,200327,4225,1593090,15616,637867,10469,375143,9123,105201,3996,67584,4005,89939,3707,955223,13482,804939,12511,90522,4510,36357,2664,23405,2177,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2480077,10833,1720780,14241,391107,8997,127200,5724,89912,3831,77425,3481,96570,3569,1329673,13851,749942,11056,291573,4967,181134,3715,107024,3410,759297,12471,300411,9084,178992,6694,52281,3301,30078,2587,39060,2579,458886,10611,394210,9791,38893,2878,14876,1579,10907,1451,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1227048,6132,882584,7833,204241,5284,64749,3690,47469,2246,36214,2001,55809,2487,678343,6934,382904,6096,144690,2184,90003,1972,60746,1810,344464,7798,146824,5356,82414,4256,23585,1986,13548,1509,27277,1821,197640,5126,171052,4988,15074,1647,5369,858,6145,853,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113911,5555,739191,7686,165680,4571,52043,3013,40496,2603,30640,2065,42501,1885,573511,6718,324044,6325,124443,3003,75731,2142,49293,1618,374720,6600,155889,5060,93216,4150,24620,2041,14294,1429,23759,1901,218831,6137,188644,5658,17025,1973,6638,1026,6524,875,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1707004,8109,1144309,10967,264400,7001,80108,3823,63230,3193,55669,3072,65393,2608,879909,10479,484045,8550,197916,3944,126713,2564,71235,2379,562695,7784,211972,6116,119872,4472,39132,2511,27389,1952,25579,1662,350723,7990,297270,6918,33313,2716,13322,1825,6818,1286,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1719473,9205,1130134,10390,276982,7314,91231,3970,64065,3629,58232,3423,63454,3300,853152,10491,468353,8439,192626,4129,120900,3340,71273,2660,589339,11722,226364,6678,139023,5349,43903,2936,24800,2080,18638,2010,362975,8864,310278,8486,32735,2689,13053,1550,6909,1101,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,554543,4451,396014,5199,92256,3803,25586,2114,23588,2211,20285,1733,22797,1614,303758,5475,158571,3892,75016,2565,43978,1769,26193,1448,158529,4335,71399,3548,34876,2600,14350,1802,8078,1067,14095,1466,87130,4044,73850,3607,6806,1031,3923,759,2551,612,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2157717,7667,1433937,10091,324256,6958,114709,5663,74457,3258,64404,3125,70686,3244,1109681,10367,619550,8097,257724,4610,148925,3032,83482,2908,723780,9709,269735,6218,150528,4798,49491,3286,28864,2145,40852,2627,454045,8652,382684,8103,40465,3257,18901,1971,11995,1521,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2522394,9088,1570055,10932,340859,7990,103799,4807,79506,3812,70704,2911,86850,4021,1229196,9696,677783,7953,286983,5141,160974,3805,103456,2999,952339,10308,388514,8604,193127,6878,71656,4211,53970,3295,69761,3516,563825,10076,460830,9402,55940,3324,26947,2463,20108,2104,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3819068,10789,2713964,15597,662509,10014,208767,6249,159757,4190,129406,4131,164579,3941,2051455,15549,1108419,12514,468357,5627,294165,4213,180514,3568,1105104,13859,454386,10519,250735,8543,83595,4107,50939,2985,69117,3474,650718,10377,550450,10600,59861,2698,24728,2086,15679,1664,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,2111943,6274,1508810,9302,330143,6977,121428,4919,77970,3238,58215,2623,72530,2879,1178667,9080,691101,8151,254032,3241,147211,2252,86323,2207,603133,9212,262111,6266,146191,5030,40029,2658,23445,2033,52446,2604,341022,7511,296865,7188,23503,1833,9143,1242,11511,1201,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1090521,7826,743611,9469,183932,6573,51966,3301,46625,2857,37292,3299,48049,2999,559679,10166,304330,8407,121625,3606,85409,2527,48315,2042,346910,8433,115558,5243,64119,4405,24762,2058,13462,1678,13215,1498,231352,6817,196694,6202,21267,1916,8674,1495,4717,878,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,2359135,11280,1591686,12609,378635,6955,126859,5061,85684,3691,73409,3216,92683,3060,1213051,11439,661420,9468,267228,4118,177225,3465,107178,2902,767449,11382,316472,6963,177099,6025,56125,3140,35069,2510,48179,2987,450977,10023,384448,8899,39819,3113,17322,1753,9388,1281,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,408938,3977,274196,4635,67093,3343,18655,2197,19876,1676,13875,1564,14687,1268,207103,4792,105132,3604,51694,1963,31916,1650,18361,1269,134742,4135,54174,2986,28583,2540,11348,1467,5764,993,8479,1158,80568,3690,68354,3396,6165,1023,3479,590,2570,717,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,733570,4667,486642,6333,108078,3641,34250,2263,23225,1652,20031,1412,30572,1739,378564,6230,216979,5378,83076,2453,48995,1365,29514,1285,246928,5425,106657,4383,64176,3520,16020,1608,8226,982,18235,1558,140271,4941,120498,4363,11451,1667,3929,771,4393,782,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1006605,7913,552324,7892,131562,5029,43588,3312,33941,2915,28280,2257,25753,1823,420762,7695,225838,6419,88787,2807,68540,2411,37597,1961,454281,8114,144273,6123,84213,5116,26629,2241,18627,1887,14804,1730,310008,8126,256687,7569,33580,2483,13065,1752,6676,1001,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,519137,4650,367863,5474,74380,3605,23802,2351,20200,2074,14924,1432,15454,1557,293483,5163,161552,3981,70442,2727,40695,1831,20794,1403,151274,5422,60984,3916,33968,3442,9279,1520,7575,1150,10162,1277,90290,4317,72990,4024,8640,1365,4858,964,3802,947,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
