GEO_ID,B14007H_001E,B14007H_001M,B14007H_002E,B14007H_002M,B14007H_003E,B14007H_003M,B14007H_004E,B14007H_004M,B14007H_005E,B14007H_005M,B14007H_006E,B14007H_006M,B14007H_007E,B14007H_007M,B14007H_008E,B14007H_008M,B14007H_009E,B14007H_009M,B14007H_010E,B14007H_010M,B14007H_011E,B14007H_011M,B14007H_012E,B14007H_012M,B14007H_013E,B14007H_013M,B14007H_014E,B14007H_014M,B14007H_015E,B14007H_015M,B14007H_016E,B14007H_016M,B14007H_017E,B14007H_017M,B14007H_018E,B14007H_018M,B14007H_019E,B14007H_019M,NAME,B14007H_001MA,B14007H_001EA,B14007H_002MA,B14007H_002EA,B14007H_003MA,B14007H_003EA,B14007H_004EA,B14007H_004MA,B14007H_005EA,B14007H_005MA,B14007H_006EA,B14007H_006MA,B14007H_007EA,B14007H_007MA,B14007H_008MA,B14007H_008EA,B14007H_009MA,B14007H_009EA,B14007H_010MA,B14007H_010EA,B14007H_011MA,B14007H_011EA,B14007H_012EA,B14007H_012MA,B14007H_013MA,B14007H_013EA,B14007H_014MA,B14007H_014EA,B14007H_015MA,B14007H_015EA,B14007H_016MA,B14007H_016EA,B14007H_017EA,B14007H_017MA,B14007H_018EA,B14007H_018MA,B14007H_019MA,B14007H_019EA,state
0400000US38,595171,1383,147745,3193,8870,1345,8611,1534,6408,982,6350,1063,6843,1023,6911,1181,5866,928,5622,894,7700,1130,6279,1018,7178,893,6040,928,7354,829,8052,1094,44040,2597,5621,1039,447426,2930,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9024497,6190,2244146,14399,133075,5642,104663,5847,102329,4717,106831,4544,107355,3864,111459,4808,115907,4207,111054,4702,115641,4992,118795,4764,116308,4978,120220,4605,114624,4636,119502,4642,538076,11902,108307,4623,6780351,13947,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2503484,2533,574457,5963,35823,2228,32094,2191,28376,1889,27559,1784,28477,1795,30569,2120,25747,1873,30343,2230,30174,1899,29136,1922,31587,1793,28075,1800,26004,1740,28723,2394,136555,4695,25215,2364,1929027,6011,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,2944765,3472,672405,9181,37580,2973,31321,3143,30012,2639,32359,2736,30086,2363,32563,2759,31228,2517,31061,2528,30256,2744,30331,2806,34140,2818,31682,2052,33594,2721,31349,2796,186441,7487,38402,3305,2272360,8850,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,9757404,4473,2220532,12216,141773,4182,99495,4274,102061,3670,102165,4278,106227,4010,106105,4117,107469,4160,106853,3845,115802,4529,114677,4622,108710,3890,114621,3832,121222,3543,113102,3744,538786,9454,121464,4798,7536872,12177,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,773905,2153,185810,4065,11121,1629,7771,1295,6219,1103,6343,1039,7475,1339,7015,1228,9511,1564,8235,1351,7810,1638,7232,1294,8720,1482,8743,1382,8501,1152,9337,1358,59137,3248,12640,2058,588095,4030,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,2929260,3427,678956,7266,37572,2515,35395,2975,32594,2732,35058,3074,33702,2858,30894,2500,33916,2736,36157,2790,35416,3018,32994,2476,34588,3235,34734,2554,33294,1828,31817,2630,166651,5704,34174,2855,2250304,7247,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,673753,1938,167601,3148,9771,1114,7749,1079,8984,1283,7432,1030,7659,1170,9435,1166,8008,946,8417,1329,9105,1196,7119,1099,7742,980,8578,947,9243,1090,9475,1227,39927,2519,8957,1685,506152,3282,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,4693013,4426,1090726,10592,61733,3242,55151,3655,55465,3100,52092,3554,58473,2977,55753,3386,57072,3533,56717,3597,58415,4052,55179,3822,60061,3175,56547,3209,56106,3259,58208,3646,242053,7774,51701,3478,3602287,10293,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11205729,9101,2639274,15175,163840,6860,130252,5173,129546,5482,124294,5851,121496,5740,126471,6643,135809,6066,131619,5522,132744,5616,133738,5716,130975,5225,135015,4619,127521,4586,135842,5061,643340,12002,136772,6851,8566455,15191,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
