GEO_ID,C20005I_001E,C20005I_001M,C20005I_002E,C20005I_002M,C20005I_003E,C20005I_003M,C20005I_004E,C20005I_004M,C20005I_005E,C20005I_005M,C20005I_006E,C20005I_006M,C20005I_007E,C20005I_007M,C20005I_008E,C20005I_008M,C20005I_009E,C20005I_009M,C20005I_010E,C20005I_010M,C20005I_011E,C20005I_011M,C20005I_012E,C20005I_012M,C20005I_013E,C20005I_013M,C20005I_014E,C20005I_014M,C20005I_015E,C20005I_015M,C20005I_016E,C20005I_016M,C20005I_017E,C20005I_017M,C20005I_018E,C20005I_018M,C20005I_019E,C20005I_019M,C20005I_020E,C20005I_020M,C20005I_021E,C20005I_021M,C20005I_022E,C20005I_022M,C20005I_023E,C20005I_023M,C20005I_024E,C20005I_024M,C20005I_025E,C20005I_025M,C20005I_026E,C20005I_026M,C20005I_027E,C20005I_027M,C20005I_028E,C20005I_028M,C20005I_029E,C20005I_029M,C20005I_030E,C20005I_030M,C20005I_031E,C20005I_031M,C20005I_032E,C20005I_032M,C20005I_033E,C20005I_033M,C20005I_034E,C20005I_034M,C20005I_035E,C20005I_035M,C20005I_036E,C20005I_036M,C20005I_037E,C20005I_037M,C20005I_038E,C20005I_038M,C20005I_039E,C20005I_039M,NAME,C20005I_001EA,C20005I_001MA,C20005I_002EA,C20005I_002MA,C20005I_003MA,C20005I_003EA,C20005I_004EA,C20005I_004MA,C20005I_005MA,C20005I_005EA,C20005I_006EA,C20005I_006MA,C20005I_007EA,C20005I_007MA,C20005I_008EA,C20005I_008MA,C20005I_009MA,C20005I_009EA,C20005I_010EA,C20005I_010MA,C20005I_011EA,C20005I_011MA,C20005I_012EA,C20005I_012MA,C20005I_013EA,C20005I_013MA,C20005I_014MA,C20005I_014EA,C20005I_015EA,C20005I_015MA,C20005I_016EA,C20005I_016MA,C20005I_017EA,C20005I_017MA,C20005I_018MA,C20005I_018EA,C20005I_019EA,C20005I_019MA,C20005I_020MA,C20005I_020EA,C20005I_021EA,C20005I_021MA,C20005I_022EA,C20005I_022MA,C20005I_023MA,C20005I_023EA,C20005I_024EA,C20005I_024MA,C20005I_025MA,C20005I_025EA,C20005I_026MA,C20005I_026EA,C20005I_027EA,C20005I_027MA,C20005I_028EA,C20005I_028MA,C20005I_029MA,C20005I_029EA,C20005I_030EA,C20005I_030MA,C20005I_031MA,C20005I_031EA,C20005I_032EA,C20005I_032MA,C20005I_033EA,C20005I_033MA,C20005I_034MA,C20005I_034EA,C20005I_035EA,C20005I_035MA,C20005I_036MA,C20005I_036EA,C20005I_037MA,C20005I_037EA,C20005I_038EA,C20005I_038MA,C20005I_039EA,C20005I_039MA,state
0400000US06,10284819,6207,5181884,4728,2386410,19923,50,83,2386360,19916,54622,4085,454840,10931,556949,13039,678104,13571,382745,10278,259100,8362,2795474,19926,1408753,15429,1386721,18329,609417,13982,416832,10460,173527,9042,117657,5348,44758,3641,24530,2762,5102935,5031,1459333,13690,64,108,1459269,13684,55273,4350,327897,9822,358337,9371,408169,10292,199590,7329,110003,5277,3643602,14032,2245177,19819,1398425,17107,742734,13136,407849,9968,128365,5669,72596,4155,30720,2852,16161,1936,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,740849,1815,377781,1821,181892,4985,0,189,181892,4985,4629,1123,28192,3085,42823,3553,59069,3271,28378,3019,18801,2038,195889,5534,86279,4519,109610,4844,50828,3770,28097,3129,16879,2219,9114,1556,2471,772,2221,822,363068,1809,124268,4997,0,189,124268,4997,4813,1146,27257,2972,27736,2815,42296,2910,14512,2085,7654,1366,238800,5441,137618,5156,101182,4555,57454,3921,26528,2769,10498,1588,4730,1080,1463,628,509,332,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,361007,1098,179138,1017,76818,3668,0,193,76818,3668,1120,668,11061,1816,16422,2162,22070,2790,14548,1855,11597,1690,102320,3943,49814,3200,52506,3557,20988,2034,15490,2359,7489,1670,6639,1662,1351,649,549,285,181869,963,57537,3906,0,193,57537,3906,1336,740,11773,1949,13502,2126,17636,1925,8213,1672,5077,1324,124332,3906,66081,3199,58251,3519,28336,2482,17097,2066,6931,1335,3502,999,1608,713,777,343,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,52426,528,27582,427,14689,1627,0,182,14689,1627,245,313,2786,749,3154,1279,4335,1256,2781,1004,1388,484,12893,1670,5415,1098,7478,1588,3676,930,2108,888,499,339,810,585,194,142,191,222,24844,506,8613,1132,0,182,8613,1132,81,130,1613,640,2172,937,2631,807,1205,619,911,504,16231,1157,8483,1433,7748,1152,3918,985,2336,676,1037,506,290,242,167,169,0,182,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,48645,258,25271,214,13542,1545,0,197,13542,1545,593,479,2219,941,2322,738,3307,1200,1739,608,3362,1016,11729,1568,4277,1034,7452,1488,1916,708,2663,867,1092,546,815,562,305,283,661,544,23374,267,9584,1118,0,197,9584,1118,138,230,1272,658,1957,648,1831,597,1912,763,2474,607,13790,1146,6893,1144,6897,1337,2650,870,2057,837,838,586,800,453,370,243,182,235,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3467296,4202,1697945,3807,816191,10243,0,211,816191,10243,20101,2623,167988,7194,191626,8215,229183,8410,107789,5934,99504,4888,881754,11483,484442,8797,397312,10349,175596,8252,131015,6824,45083,4451,29807,2826,8150,1764,7661,1565,1769351,3857,603582,10196,0,211,603582,10196,17195,2675,143715,7685,154606,6990,179591,7095,68657,4856,39818,4039,1165769,11313,753867,11994,411902,11297,208508,8444,124559,7523,39660,4111,26693,2812,8413,1802,4069,1002,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,592094,2906,322834,3054,171950,5607,0,208,171950,5607,5141,1278,42273,4384,51378,5365,39253,3892,19846,2497,14059,2401,150884,5233,60775,4230,90109,4785,37107,3907,33980,3999,10510,2080,5234,1342,1997,788,1281,685,269260,2914,77328,4897,0,208,77328,4897,3267,1213,23286,2770,20142,2980,15253,2244,10085,1556,5295,1312,191932,5500,122744,6316,69188,4662,39961,3290,19122,2832,5466,1320,3748,1303,528,317,363,312,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,88920,717,46110,575,21915,1692,0,177,21915,1692,446,285,2198,863,4785,995,6552,1198,4383,877,3551,814,24195,1817,10998,1426,13197,1488,6882,1234,2137,772,1321,537,1559,627,864,672,434,356,42810,466,16145,1675,0,177,16145,1675,203,179,1734,666,4056,974,6099,1184,2852,692,1201,579,26665,1664,13653,1383,13012,1715,6195,1168,3793,980,1658,669,594,264,404,294,368,309,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,117900,1058,62330,1396,30710,2029,0,187,30710,2029,189,175,5616,1444,10189,1422,10119,1772,3034,1001,1563,609,31620,2246,12295,1814,19325,2080,10137,1445,4739,1161,2888,1161,1317,752,180,173,64,105,55570,1338,14238,1658,0,187,14238,1658,494,329,4891,1141,4580,1015,2700,1005,1193,589,380,290,41332,2210,17562,2095,23770,2784,14010,2606,6731,1513,2387,1204,409,414,233,205,0,187,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1440839,3375,747270,2645,385265,7192,0,179,385265,7192,5650,1519,70677,4960,97060,5690,119702,5123,58344,4117,33832,2999,362005,6716,164140,6192,197865,6818,87528,4874,56535,3859,25543,3163,21253,2519,4059,1214,2947,1104,693569,2751,237122,5647,0,179,237122,5647,5113,1073,56347,3684,70347,3768,60666,3784,29283,2613,15366,1840,456447,5432,275642,6004,180805,4510,91391,3540,57181,3411,17124,2090,8807,1207,4691,1184,1611,690,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
