GEO_ID,B08105G_001E,B08105G_001M,B08105G_002E,B08105G_002M,B08105G_003E,B08105G_003M,B08105G_004E,B08105G_004M,B08105G_005E,B08105G_005M,B08105G_006E,B08105G_006M,B08105G_007E,B08105G_007M,NAME,B08105G_001EA,B08105G_001MA,B08105G_002MA,B08105G_002EA,B08105G_003MA,B08105G_003EA,B08105G_004EA,B08105G_004MA,B08105G_005EA,B08105G_005MA,B08105G_006EA,B08105G_006MA,B08105G_007EA,B08105G_007MA,state
0400000US06,553664,13645,394797,11987,67000,5006,31299,2871,17578,2123,13102,1755,29888,2918,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61965,3845,44433,3412,7117,1437,2150,817,2753,823,1877,717,3635,973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,29799,2974,21232,2613,3348,920,1661,612,1928,655,776,521,854,439,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6835,1409,5487,1173,600,689,81,142,200,169,59,82,408,339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7384,1505,2426,662,211,227,2600,815,1210,715,402,294,535,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,145849,6876,107102,5753,21106,3095,3991,986,4222,1356,3031,955,6397,1516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55365,4863,41052,4157,5890,1502,857,422,1481,539,1671,752,4414,1077,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,130492,5954,91018,5237,20358,2123,7008,1296,5464,1232,3117,882,3527,1079,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10817,1672,8518,1509,1456,551,0,187,348,248,437,255,58,91,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,81062,5602,52381,4231,10056,1742,9140,1660,4555,1303,1838,606,3092,826,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,33574,2838,26000,2453,4147,967,516,425,1687,610,543,367,681,396,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,17208,2189,11250,1782,2779,710,361,249,1672,758,515,325,631,290,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,28940,3110,23175,2729,2992,960,258,254,1240,624,315,265,960,463,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,22003,2536,16674,2223,2949,868,339,242,961,379,449,331,631,355,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,22851,2664,15667,2095,4568,1311,410,333,1004,439,471,340,731,420,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7798,1158,4598,950,1622,666,192,313,897,396,68,89,421,268,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,64680,4407,45867,3516,8006,1616,5534,1202,1856,549,1510,636,1907,632,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,70808,5291,36503,3443,10242,2050,13059,2564,6409,1199,2162,844,2433,833,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,62767,3631,49982,3388,6037,1193,1353,644,2267,559,870,351,2258,623,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,38436,2806,27173,2256,5100,1064,1959,466,1176,464,1546,697,1482,509,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7866,1717,5657,1552,741,373,228,304,550,366,60,124,630,345,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,40071,3425,28615,2920,5580,1273,1054,539,1476,569,1347,644,1999,569,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,8180,1436,6298,1337,1082,498,111,159,138,132,147,134,404,204,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,11833,1660,9312,1432,1271,501,204,147,505,265,165,203,376,291,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,32589,3429,24640,2926,4535,1040,1817,798,634,448,432,310,531,408,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,7728,1612,5941,1232,673,519,179,246,695,431,88,150,152,143,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,77447,5595,50810,4242,7467,1374,11184,2048,3470,882,1396,570,3120,987,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
