GEO_ID,C24010D_001E,C24010D_001M,C24010D_002E,C24010D_002M,C24010D_003E,C24010D_003M,C24010D_004E,C24010D_004M,C24010D_005E,C24010D_005M,C24010D_006E,C24010D_006M,C24010D_007E,C24010D_007M,C24010D_008E,C24010D_008M,C24010D_009E,C24010D_009M,C24010D_010E,C24010D_010M,C24010D_011E,C24010D_011M,C24010D_012E,C24010D_012M,C24010D_013E,C24010D_013M,NAME,C24010D_001EA,C24010D_001MA,C24010D_002EA,C24010D_002MA,C24010D_003EA,C24010D_003MA,C24010D_004MA,C24010D_004EA,C24010D_005MA,C24010D_005EA,C24010D_006EA,C24010D_006MA,C24010D_007EA,C24010D_007MA,C24010D_008EA,C24010D_008MA,C24010D_009EA,C24010D_009MA,C24010D_010MA,C24010D_010EA,C24010D_011MA,C24010D_011EA,C24010D_012EA,C24010D_012MA,C24010D_013EA,C24010D_013MA,state
0400000US06,2463714,16064,1247139,11076,614709,9565,165723,6347,246517,6400,75147,4513,145043,6615,1216575,9939,590653,8904,238545,7153,312473,8107,7678,1575,67226,4170,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,75676,2806,38774,1974,19250,2079,5598,1148,7097,1203,1649,635,5180,1384,36902,2172,14935,1637,9309,1612,8658,1378,787,799,3213,873,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,74792,2952,40773,1926,23337,1707,4053,938,6832,1184,1194,485,5357,1098,34019,1817,16373,1451,6859,1252,6915,1083,58,94,3814,831,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14352,986,7372,691,5031,810,628,498,1170,612,318,219,225,134,6980,747,3650,851,904,294,1700,583,219,266,507,381,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14337,1312,6235,802,4897,600,658,414,544,334,41,50,95,99,8102,821,5521,920,859,370,1722,733,0,197,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,238789,6661,122164,4487,56863,3219,22862,3237,24452,3242,7148,1375,10839,1667,116625,4394,52388,4121,30531,3077,27172,2573,547,464,5987,1166,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,156688,4438,88390,2734,46213,2997,9861,2002,16962,2073,4360,1319,10994,1618,68298,3186,32146,2968,14562,2008,14990,1991,243,185,6357,1459,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,276278,6422,133876,3965,38170,2250,31823,2207,23762,2190,23745,2090,16376,1699,142402,4183,49204,2740,34195,2792,49465,3342,2614,1056,6924,1267,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11440,1618,5853,1146,2994,711,1374,643,716,422,138,173,631,438,5587,975,1407,573,1525,593,2092,713,0,187,563,437,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,309168,5729,166948,3781,96333,3551,18269,2420,28098,2570,6099,1233,18149,2147,142220,4268,80059,3158,21438,2416,30475,2399,222,154,10026,1602,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
