GEO_ID,C25121_001E,C25121_001M,C25121_002E,C25121_002M,C25121_003E,C25121_003M,C25121_004E,C25121_004M,C25121_005E,C25121_005M,C25121_006E,C25121_006M,C25121_007E,C25121_007M,C25121_008E,C25121_008M,C25121_009E,C25121_009M,C25121_010E,C25121_010M,C25121_011E,C25121_011M,C25121_012E,C25121_012M,C25121_013E,C25121_013M,C25121_014E,C25121_014M,C25121_015E,C25121_015M,C25121_016E,C25121_016M,C25121_017E,C25121_017M,C25121_018E,C25121_018M,C25121_019E,C25121_019M,C25121_020E,C25121_020M,C25121_021E,C25121_021M,C25121_022E,C25121_022M,C25121_023E,C25121_023M,C25121_024E,C25121_024M,C25121_025E,C25121_025M,C25121_026E,C25121_026M,C25121_027E,C25121_027M,C25121_028E,C25121_028M,C25121_029E,C25121_029M,C25121_030E,C25121_030M,C25121_031E,C25121_031M,NAME,C25121_001MA,C25121_001EA,C25121_002EA,C25121_002MA,C25121_003EA,C25121_003MA,C25121_004EA,C25121_004MA,C25121_005MA,C25121_005EA,C25121_006MA,C25121_006EA,C25121_007MA,C25121_007EA,C25121_008EA,C25121_008MA,C25121_009EA,C25121_009MA,C25121_010EA,C25121_010MA,C25121_011MA,C25121_011EA,C25121_012MA,C25121_012EA,C25121_013EA,C25121_013MA,C25121_014EA,C25121_014MA,C25121_015EA,C25121_015MA,C25121_016MA,C25121_016EA,C25121_017MA,C25121_017EA,C25121_018MA,C25121_018EA,C25121_019EA,C25121_019MA,C25121_020EA,C25121_020MA,C25121_021EA,C25121_021MA,C25121_022MA,C25121_022EA,C25121_023MA,C25121_023EA,C25121_024MA,C25121_024EA,C25121_025EA,C25121_025MA,C25121_026EA,C25121_026MA,C25121_027MA,C25121_027EA,C25121_028MA,C25121_028EA,C25121_029MA,C25121_029EA,C25121_030EA,C25121_030MA,C25121_031EA,C25121_031MA,state
0400000US06,6781817,25470,216743,7722,28304,2426,17261,1912,39110,2968,132068,6119,379202,9277,67086,3920,37121,2965,78487,4760,196508,5684,691708,12451,80641,3784,58362,3301,157549,5617,395156,8877,733080,12903,53461,3138,53116,2960,177120,5970,449383,10401,1166501,15065,54622,3468,56965,3566,265116,7577,789798,11547,3594583,23502,52435,3128,57331,3029,365718,8724,3119099,22739,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,39676,2552,6635,1136,4692,867,13082,1702,15267,1797,68776,3519,13691,1367,8252,1367,24972,2310,21861,2093,140627,5274,18728,1895,15354,1755,51417,3109,55128,3474,156309,5255,12507,1566,12009,1614,64026,3973,67767,3636,247675,6050,13231,1649,13091,1471,96418,4065,124935,4829,625095,10018,9208,1226,9305,1339,113518,4477,493064,8844,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,19869,1774,1099,427,1412,528,6350,1170,11008,1418,38978,2634,3465,830,2862,690,12147,1390,20504,2076,79846,4062,4934,923,6012,1324,26971,2397,41929,3088,88702,4070,3899,768,4481,1125,33046,2792,47276,2818,154496,5343,4474,1049,5782,1089,53453,3034,90787,4376,526561,7582,4651,862,5479,1061,90455,3662,425976,6866,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,7414,1131,1584,479,578,288,2478,681,2774,755,15430,1534,3094,825,1398,456,4414,878,6524,1154,27308,1959,3641,775,1960,468,10811,1666,10896,1252,31578,2410,2783,712,2031,499,11463,1453,15301,2003,47667,2778,3423,808,2122,758,17181,1857,24941,2058,111653,3364,2679,667,1963,661,23478,2360,83533,2933,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,3426,768,145,123,93,113,595,377,2593,650,4439,790,91,104,65,82,598,278,3685,767,7180,1251,187,169,108,104,1566,556,5319,1019,8261,1116,137,133,60,71,1249,461,6815,1023,14576,1800,173,157,344,276,1553,559,12506,1551,72799,3057,516,293,393,278,2990,829,68900,2970,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,243125,8214,70770,3323,54615,3278,66283,4198,51457,3691,454337,9280,136249,5531,116358,4990,129008,4353,72722,4139,763744,12987,180452,6292,190834,6918,246694,7762,145764,5819,696448,12963,115391,5437,165518,5937,260048,7970,155491,6191,918299,15428,105529,5148,176170,6547,376101,9211,260499,7690,1648475,18709,69962,4409,154040,6310,530172,13774,894301,11953,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,106445,5761,38050,2824,22966,1989,28216,3144,17213,2404,182570,6947,62335,3894,48187,3923,48562,3678,23486,1937,307293,8796,78710,4803,78849,4179,106379,5704,43355,3130,300339,9495,57089,3694,72071,3988,116728,6123,54451,3615,451423,12068,56735,3655,95910,5005,199536,8015,99242,5766,900632,12711,42226,2768,86629,4979,318943,9643,452834,9102,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,9737,1495,1497,549,155,164,1601,886,6484,1022,12347,1559,828,367,745,447,2275,908,8499,1279,20055,2008,764,411,291,189,2742,649,16258,1876,25613,2228,817,462,371,207,2027,665,22398,2141,45054,2846,432,268,512,280,4328,746,39782,2796,141964,4069,1296,380,717,293,4696,958,135255,4305,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,14733,2108,3500,875,2139,625,5185,1477,3909,1036,32423,2555,7623,1269,6981,1261,11716,1548,6103,1298,65354,3299,9536,1362,15244,2172,27463,2084,13111,1728,62007,3586,7054,1086,12246,1470,30700,2652,12007,1786,94498,4198,4703,856,14408,1957,50358,4030,25029,2263,129656,4529,2458,581,7352,1130,50297,3274,69549,4027,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,96494,4193,24205,1948,18924,1928,27206,2174,26159,2377,207969,5846,52962,2878,45560,2602,66977,3732,42470,2889,376796,8563,76618,4024,86199,3720,129523,4599,84456,3852,394997,8899,56850,3144,87170,4633,156204,5146,94773,4236,615025,11389,53433,2706,110331,4648,263740,7785,187521,6372,1485823,13868,44681,2689,110068,4410,458759,8893,872315,9564,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
