GEO_ID,C21001F_001E,C21001F_001M,C21001F_002E,C21001F_002M,C21001F_003E,C21001F_003M,C21001F_004E,C21001F_004M,C21001F_005E,C21001F_005M,C21001F_006E,C21001F_006M,C21001F_007E,C21001F_007M,C21001F_008E,C21001F_008M,C21001F_009E,C21001F_009M,C21001F_010E,C21001F_010M,C21001F_011E,C21001F_011M,C21001F_012E,C21001F_012M,C21001F_013E,C21001F_013M,C21001F_014E,C21001F_014M,C21001F_015E,C21001F_015M,NAME,C21001F_001EA,C21001F_001MA,C21001F_002EA,C21001F_002MA,C21001F_003EA,C21001F_003MA,C21001F_004MA,C21001F_004EA,C21001F_005MA,C21001F_005EA,C21001F_006EA,C21001F_006MA,C21001F_007EA,C21001F_007MA,C21001F_008EA,C21001F_008MA,C21001F_009MA,C21001F_009EA,C21001F_010MA,C21001F_010EA,C21001F_011EA,C21001F_011MA,C21001F_012EA,C21001F_012MA,C21001F_013EA,C21001F_013MA,C21001F_014EA,C21001F_014MA,C21001F_015MA,C21001F_015EA,state
0400000US06,3357725,35925,1712811,21338,1617126,20426,42685,2920,1574441,20295,95685,4300,14780,1656,80905,4113,1644914,19340,1516493,17410,4802,1245,1511691,17333,128421,4855,304,216,128117,4925,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,150296,8333,77639,5206,72534,5092,4216,1053,68318,4966,5105,841,1790,475,3315,724,72657,4632,66888,4605,1008,544,65880,4600,5769,1008,0,189,5769,1008,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,116133,7419,61620,5254,58482,5052,1775,644,56707,4940,3138,727,265,281,2873,681,54513,3831,50459,3764,411,408,50048,3758,4054,871,0,193,4054,871,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15886,2959,8652,1871,8336,1842,466,349,7870,1787,316,262,236,247,80,106,7234,1575,6624,1541,156,283,6468,1547,610,425,0,182,610,425,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,331459,16852,173558,10552,163223,10138,8361,1956,154862,9850,10335,1673,1390,487,8945,1599,157901,9127,146618,8638,1250,662,145368,8480,11283,1674,109,125,11174,1656,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,188394,9221,108139,5993,105564,6052,3705,1256,101859,6084,2575,691,151,244,2424,699,80255,5055,78000,4936,1248,789,76752,4940,2255,837,0,208,2255,837,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,10692,1851,5358,1225,5076,1190,1467,659,3609,1020,282,182,208,165,74,85,5334,1074,4914,1034,254,282,4660,1000,420,284,0,177,420,284,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29156,3696,15933,2321,15502,2298,402,378,15100,2301,431,238,0,187,431,238,13223,2445,12388,2375,65,106,12323,2369,835,451,0,187,835,451,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,485459,15311,256564,8601,245013,8547,7162,1627,237851,8398,11551,1509,698,336,10853,1509,228895,8325,214856,8116,1460,799,213396,7984,14039,1647,0,179,14039,1647,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
