GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,NAME,B16005A_001MA,B16005A_001EA,B16005A_002MA,B16005A_002EA,B16005A_003MA,B16005A_003EA,B16005A_004MA,B16005A_004EA,B16005A_005EA,B16005A_005MA,B16005A_006MA,B16005A_006EA,B16005A_007MA,B16005A_007EA,B16005A_008MA,B16005A_008EA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011MA,B16005A_011EA,state
0400000US06,22201347,54687,17689939,50640,14146610,48885,3543329,37839,3012313,33090,531016,14360,4511408,44092,551026,13568,3960382,42446,1362673,23026,2597709,32260,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4112487,14651,3820341,13273,3530398,14404,289943,10865,244713,10075,45230,3807,292146,13038,55689,3973,236457,11424,99328,6727,137129,7802,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2673510,9594,2423221,11849,2184792,12350,238429,8144,185238,6716,53191,4477,250289,10871,53163,3995,197126,10254,91657,5120,105469,7198,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,605699,3610,575971,3514,543900,4212,32071,3463,24898,2843,7173,1610,29728,3574,6473,1660,23255,3083,9926,1876,13329,2270,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,237488,3721,203511,3824,186909,3499,16602,2371,15040,2235,1562,725,33977,4050,12396,2659,21581,3196,14114,2281,7467,1880,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14034947,20832,11562801,26794,9958574,27801,1604227,25564,1327070,23192,277157,10811,2472146,23573,335303,10413,2136843,22039,874107,18413,1262736,16906,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5636775,14514,5262136,12702,5006634,13318,255502,11162,209257,10798,46245,4416,374639,14652,59828,4686,314811,14309,124774,7725,190037,10612,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,330569,2592,307130,3486,289117,3622,18013,2352,15331,2245,2682,705,23439,2679,12490,1906,10949,1921,7913,1620,3036,1011,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1356929,6374,1295386,7156,1238383,7317,57003,5063,50160,4840,6843,1383,61543,6584,13686,2349,47857,6118,18405,3406,29452,4042,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8820730,21748,7879613,20561,7178771,20489,700842,15757,594131,15259,106711,6442,941117,18545,109953,5693,831164,17973,335992,13071,495172,11873,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5186543,8394,5058211,9294,4870737,10995,187474,10069,148423,8093,39051,4374,128332,8139,31305,3114,97027,7963,41736,4453,55291,5084,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2650044,5444,2589802,5023,2513345,6175,76457,5231,61338,4710,15119,2223,60242,4944,14204,2153,46038,4383,18645,2850,27393,2930,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2309675,6495,2213691,5927,2109055,6737,104636,6654,88466,5572,16170,2470,95984,5047,16352,1936,79632,4996,30027,2627,49605,3887,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3617895,5191,3555496,6220,3489943,7110,65553,5002,52812,4499,12741,1670,62399,4982,14785,2136,47614,4435,19676,2561,27938,3602,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2721283,6469,2639359,7145,2482677,8314,156682,7008,133642,6556,23040,2256,81924,5806,14826,2034,67098,5637,28731,2859,38367,4329,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1203698,1204,1176049,3151,1120535,5794,55514,4745,47170,4731,8344,1437,27649,2839,14755,1644,12894,2257,8528,1464,4366,1434,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
