GEO_ID,B12505_001E,B12505_001M,B12505_002E,B12505_002M,B12505_003E,B12505_003M,B12505_004E,B12505_004M,B12505_005E,B12505_005M,B12505_006E,B12505_006M,B12505_007E,B12505_007M,B12505_008E,B12505_008M,B12505_009E,B12505_009M,B12505_010E,B12505_010M,B12505_011E,B12505_011M,B12505_012E,B12505_012M,B12505_013E,B12505_013M,NAME,B12505_001EA,B12505_001MA,B12505_002EA,B12505_002MA,B12505_003MA,B12505_003EA,B12505_004MA,B12505_004EA,B12505_005MA,B12505_005EA,B12505_006EA,B12505_006MA,B12505_007EA,B12505_007MA,B12505_008EA,B12505_008MA,B12505_009MA,B12505_009EA,B12505_010MA,B12505_010EA,B12505_011EA,B12505_011MA,B12505_012MA,B12505_012EA,B12505_013MA,B12505_013EA,state
0400000US06,30416010,2937,15018551,4117,6049704,26391,8968847,25700,7142884,28280,1488063,14308,337900,8553,15397459,3902,5092645,27301,10304814,26992,8221986,32582,1710059,18966,372769,8976,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4152392,2040,2073202,2540,718460,8299,1354742,8309,1008308,11062,274037,7866,72397,4037,2079190,2871,566395,8436,1512795,8608,1102481,10453,326279,7886,84035,4144,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2945674,1273,1419508,1881,525179,7616,894329,7376,717733,7922,152256,4775,24340,2393,1526166,1626,470937,8199,1055229,7938,865487,8025,165782,5887,23960,2025,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,746748,660,357658,785,125252,3931,232406,3984,174565,4239,47575,3009,10266,1483,389090,804,118858,3027,270232,2974,203432,4298,54552,3107,12248,1577,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,539055,396,251998,318,148943,3430,103055,3390,83498,3252,16760,1853,2797,803,287057,371,160809,3829,126248,3765,106218,3983,17631,1642,2399,639,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16016557,3446,7757505,5119,2694915,21432,5062590,22391,3540339,22586,1165296,15515,356955,10081,8259052,4590,2290565,18059,5968487,17942,4220477,23728,1360033,17394,387977,8882,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7830116,4910,3783669,5257,1376918,13599,2406751,14401,1729189,14944,517702,12309,159860,6175,4046447,5172,1226048,14779,2820399,13188,2040104,17171,601978,11345,178317,5638,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1137619,763,570172,1040,215002,5618,355170,5763,282236,5469,62002,3379,10932,1610,567447,914,164861,3626,402586,3679,327313,4961,63292,3590,11981,1541,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1239521,1574,614964,2172,178204,4918,436760,4859,304654,6705,96740,5017,35366,2631,624557,2191,144329,4886,480228,4258,329465,5522,111043,4932,39720,2714,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10344646,2497,5026063,3881,1898189,14318,3127874,14271,2466594,18387,536988,9688,124292,4957,5318583,3541,1682675,13730,3635908,13077,2880472,14273,619815,9455,135621,4955,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5218923,3385,2542270,3365,843285,10027,1698985,10177,1205653,11536,370025,7938,123307,4781,2676653,3016,726927,10135,1949726,9907,1385637,11758,422718,8545,141371,5260,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2472319,2240,1215553,2362,382333,6725,833220,6705,643897,7732,150440,5793,38883,2497,1256766,2543,318365,5035,938401,5187,717058,6567,177404,5032,43939,2630,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2281272,2255,1127129,2777,352894,6277,774235,6304,566164,8167,157641,4745,50430,2885,1154143,2389,289368,5848,864775,5339,629625,6934,177175,5330,57975,2905,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
