GEO_ID,C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,NAME,C17001H_001EA,C17001H_001MA,C17001H_002MA,C17001H_002EA,C17001H_003MA,C17001H_003EA,C17001H_004EA,C17001H_004MA,C17001H_005EA,C17001H_005MA,C17001H_006EA,C17001H_006MA,C17001H_007MA,C17001H_007EA,C17001H_008MA,C17001H_008EA,C17001H_009EA,C17001H_009MA,C17001H_010EA,C17001H_010MA,C17001H_011EA,C17001H_011MA,C17001H_012MA,C17001H_012EA,C17001H_013MA,C17001H_013EA,C17001H_014EA,C17001H_014MA,C17001H_015EA,C17001H_015MA,C17001H_016EA,C17001H_016MA,C17001H_017MA,C17001H_017EA,C17001H_018MA,C17001H_018EA,C17001H_019MA,C17001H_019EA,state
0400000US06,14632023,9650,1531389,30097,708217,17103,142381,8170,496298,12671,69538,3971,823172,17827,135798,8488,552893,12079,134481,5087,13100634,31837,6561218,18385,1104227,8313,4292954,13344,1164037,4757,6539416,18356,1043598,8751,4118836,12266,1376982,5660,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3532079,3947,333267,11145,154845,6065,34706,3707,109259,4749,10880,1471,178422,7365,33494,3578,124322,5263,20606,1919,3198812,11743,1602693,6865,321960,4252,1063185,5216,217548,1762,1596119,7364,305439,3547,1036361,5082,254319,2137,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2444148,3474,141953,8757,60336,4386,12803,2452,40532,3405,7001,1307,81617,5718,12869,2549,53626,4035,15122,1753,2302195,9103,1128967,5158,226874,2864,717849,3837,184244,1563,1173228,5940,214333,2609,723440,4187,235455,2089,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,574174,2125,50469,5010,20597,2566,4839,1497,13881,1850,1877,594,29872,3171,5467,1148,19104,2527,5301,856,523705,4876,258041,2493,48847,1450,160690,1791,48504,707,265664,3232,44778,1252,164798,2552,56088,1094,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209392,1702,15451,2812,7514,1758,176,159,7130,1749,208,148,7937,1501,145,114,7232,1431,560,338,193941,3117,95843,2166,10822,213,74680,2138,10341,184,98098,1703,10479,179,76272,1559,11347,368,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10756133,8215,1274964,25569,580109,14521,141352,6122,374462,11014,64295,4059,694855,16823,130277,6704,444645,13236,119933,5606,9481169,25521,4671823,14822,757126,6680,2773189,11511,1141508,4364,4809346,17614,726369,7639,2777040,13254,1305937,5799,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5346836,4688,658504,20198,291034,10574,83404,5385,186228,8002,21402,2077,367470,13182,81511,6501,237435,8980,48524,3522,4688332,20161,2332328,11434,500996,5766,1487692,8296,343640,2286,2356004,13036,472026,6434,1474344,8518,409634,3719,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,304193,1565,32946,3898,15806,2050,4062,1106,10741,1477,1003,368,17140,2523,2607,985,12870,1855,1663,511,271247,4215,148201,2430,16345,1140,106449,1903,25407,459,123046,2821,16857,1160,82490,1980,23699,618,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1308186,2050,181582,9822,83521,4910,28390,3153,48031,3069,7100,1512,98061,6462,26521,3412,60497,3923,11043,1631,1126604,9691,567131,5006,137303,3149,344585,3198,85243,1541,559473,6475,128803,3553,337824,3955,92846,1710,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7922518,5615,726032,19373,318678,10669,86081,5803,206683,7623,25914,2106,407354,11119,85660,5482,261806,7397,59888,2984,7196486,21010,3562069,11372,726761,5892,2301824,8432,533484,2534,3634417,12272,685646,5787,2280768,7976,668003,3791,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5145873,5398,635369,14990,285350,8741,97994,5263,172312,6286,15044,1490,350019,9591,90764,5094,224711,7006,34544,2589,4510504,16465,2242581,9348,491723,6040,1425885,6278,324973,1719,2267923,10815,464841,5248,1399893,7406,403189,2788,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2623523,2321,282840,10152,123184,6144,37323,3307,75641,3985,10220,1113,159656,5815,33347,2965,103820,3896,22489,1667,2340683,10390,1170690,6122,257140,3584,733705,4044,179845,1388,1169993,6589,247318,3559,703216,4217,219459,1907,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2177836,2151,241622,10938,108597,7078,34816,3841,67929,4638,5852,874,133025,5896,32473,3265,85398,3416,15154,1508,1936214,11337,965739,6937,213084,3969,606593,4585,146062,1032,970475,6187,202961,3538,592677,3621,174837,1715,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3661133,3368,633432,19560,283025,11229,91930,5439,169495,7205,21600,1560,350407,10804,89272,4960,218396,7569,42739,2472,3027701,19570,1508839,11696,320606,5318,966573,7736,221660,1847,1518862,10853,297754,5689,956075,7551,265033,2546,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2688658,3711,333814,13903,143789,6699,46473,3942,86266,5191,11050,1566,190025,9340,41136,3905,124432,6600,24457,2012,2354844,13937,1176805,7092,247376,4352,754168,5267,175261,1700,1178039,9185,238382,4303,732331,6468,207326,2155,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1219640,1415,167018,8471,71989,4358,20420,2519,45783,3072,5786,759,95029,5606,23917,2847,59329,3311,11783,1390,1052622,8361,524207,4681,99725,2647,333174,3217,91308,903,528415,5419,88792,2901,333160,3336,106463,1493,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3099747,3563,210318,10539,91651,5762,23906,2752,59281,4375,8464,1392,118667,6912,21244,2397,78643,5342,18780,1641,2889429,11285,1424156,6449,285208,3252,917644,4791,221304,1626,1465273,7309,271379,2788,923234,5425,270660,2015,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4838798,5219,388025,13037,166121,7233,39043,3412,109344,5601,17734,1828,221904,8745,36886,3629,143201,7331,41817,2812,4450773,13840,2180106,7684,430581,3608,1415787,6171,333738,2115,2270667,9208,410201,4130,1436070,7186,424396,3139,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7384859,4550,966443,21393,439944,13093,135097,6599,277515,9534,27332,1919,526499,11636,130421,6259,337713,7168,58365,3054,6418416,21208,3197461,12931,644098,6702,2041231,9212,512132,2157,3220955,11812,608895,6378,1997381,7330,614679,3446,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
