GEO_ID,B19101I_001E,B19101I_001M,B19101I_002E,B19101I_002M,B19101I_003E,B19101I_003M,B19101I_004E,B19101I_004M,B19101I_005E,B19101I_005M,B19101I_006E,B19101I_006M,B19101I_007E,B19101I_007M,B19101I_008E,B19101I_008M,B19101I_009E,B19101I_009M,B19101I_010E,B19101I_010M,B19101I_011E,B19101I_011M,B19101I_012E,B19101I_012M,B19101I_013E,B19101I_013M,B19101I_014E,B19101I_014M,B19101I_015E,B19101I_015M,B19101I_016E,B19101I_016M,B19101I_017E,B19101I_017M,NAME,B19101I_001MA,B19101I_001EA,B19101I_002EA,B19101I_002MA,B19101I_003EA,B19101I_003MA,B19101I_004EA,B19101I_004MA,B19101I_005EA,B19101I_005MA,B19101I_006MA,B19101I_006EA,B19101I_007EA,B19101I_007MA,B19101I_008EA,B19101I_008MA,B19101I_009EA,B19101I_009MA,B19101I_010MA,B19101I_010EA,B19101I_011EA,B19101I_011MA,B19101I_012EA,B19101I_012MA,B19101I_013EA,B19101I_013MA,B19101I_014EA,B19101I_014MA,B19101I_015MA,B19101I_015EA,B19101I_016EA,B19101I_016MA,B19101I_017EA,B19101I_017MA,state
0400000US06,2852251,13626,198929,7338,156271,5550,194485,6682,201985,6737,178010,6815,180571,6180,164464,6587,169334,7703,136764,6206,242422,9210,288653,7676,307180,9018,190065,6219,104327,5186,85868,4248,52923,3015,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,224339,4560,17971,2386,12579,1683,13497,1833,19223,1990,17299,2229,13595,1880,12628,1675,12776,1984,9926,1586,17476,2090,21536,2324,26439,2706,13799,1870,7393,1385,5167,1066,3035,722,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,110775,2692,12323,1788,8107,1361,7471,1328,8029,1167,7485,1498,6272,1482,4948,1188,4588,1092,4832,1201,6799,1642,11320,1774,9924,1531,7095,1263,3606,794,4401,1204,3575,865,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15948,1350,1006,621,1228,617,483,419,1363,546,625,410,1409,596,845,474,1209,560,512,313,2161,728,1692,614,1452,479,648,338,492,387,491,275,332,313,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10751,1350,644,411,578,331,442,341,917,571,209,236,761,595,1507,696,236,188,445,317,297,283,1254,667,682,400,586,356,819,424,701,324,673,377,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,972475,10557,69929,4860,55955,4515,69225,4543,74281,5543,70378,4842,68622,4313,60598,4748,56415,4541,44239,3639,78558,4544,88960,5397,97190,5282,56716,3517,28427,2631,26486,2670,26496,2377,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,179168,5214,17102,2717,11241,2030,16274,2870,18519,2524,14639,2439,10489,2085,9993,1853,8772,1899,8291,1604,17402,2706,12658,2124,14905,2665,6990,1560,4527,1343,4534,1163,2832,897,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,22077,1757,1471,634,1348,746,777,412,1335,619,450,289,673,294,967,475,1296,619,1243,620,1928,633,2831,826,3127,932,1711,526,1334,534,939,397,647,337,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35771,1952,3570,1178,1384,569,2914,854,3903,1080,3291,1072,3350,1137,2166,784,3270,1301,1353,526,2447,739,3312,1013,2714,862,1346,775,185,163,317,176,249,227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,423911,7200,23515,2845,18411,2360,26537,2246,30469,3136,28861,2966,28701,2455,24255,2502,24088,2488,25151,3129,40985,3898,45506,3487,48648,2918,27386,2679,13049,1626,10960,1370,7389,1136,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
