GEO_ID,B12002G_001E,B12002G_001M,B12002G_002E,B12002G_002M,B12002G_003E,B12002G_003M,B12002G_004E,B12002G_004M,B12002G_005E,B12002G_005M,B12002G_006E,B12002G_006M,B12002G_007E,B12002G_007M,B12002G_008E,B12002G_008M,B12002G_009E,B12002G_009M,B12002G_010E,B12002G_010M,B12002G_011E,B12002G_011M,B12002G_012E,B12002G_012M,B12002G_013E,B12002G_013M,NAME,B12002G_001MA,B12002G_001EA,B12002G_002EA,B12002G_002MA,B12002G_003MA,B12002G_003EA,B12002G_004MA,B12002G_004EA,B12002G_005EA,B12002G_005MA,B12002G_006MA,B12002G_006EA,B12002G_007EA,B12002G_007MA,B12002G_008MA,B12002G_008EA,B12002G_009MA,B12002G_009EA,B12002G_010EA,B12002G_010MA,B12002G_011EA,B12002G_011MA,B12002G_012EA,B12002G_012MA,B12002G_013EA,B12002G_013MA,state
0400000US06,1071350,22177,527747,12376,286139,9238,180441,5396,12278,2037,7603,1389,41286,2872,543603,14442,260598,9735,182982,6609,14185,1922,27945,2545,57893,4451,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,107622,5419,55081,3379,26798,2541,21328,2631,1430,730,669,400,4856,988,52541,3861,23420,2730,20020,2038,1283,516,2176,619,5642,1051,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,55707,4111,26224,2781,15118,2151,7969,1550,557,359,164,245,2416,798,29483,2995,17736,2407,7247,1340,703,368,1080,385,2717,748,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11816,2203,5682,1362,3626,1090,1413,630,254,349,0,182,389,239,6134,1472,2996,1225,2099,813,66,87,291,218,682,413,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11334,2044,5567,1314,3957,1058,1420,536,69,114,0,197,121,123,5767,1298,3684,1040,1065,509,172,208,116,127,730,389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,282449,10371,137801,7224,70701,5355,48975,3578,2647,815,2898,996,12580,1763,144648,6359,61451,4905,46479,3052,6901,1421,9727,1411,20090,2477,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,114133,8064,53945,4733,25292,3180,22163,2316,1111,639,1001,533,4378,1169,60188,4822,28468,3633,18975,2483,2350,1455,3818,1190,6577,1392,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,217916,8692,110620,4972,55311,3454,42315,3404,1299,526,1624,661,10071,1870,107296,5332,47650,3197,41060,2980,1362,461,7017,1201,10207,1837,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24541,2829,11071,1455,5143,1117,4006,993,247,193,279,244,1396,575,13470,2406,4927,1139,5420,1129,972,1002,673,503,1478,604,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,153085,7940,72911,4699,41042,3452,24749,2265,935,423,752,308,5433,1310,80174,4976,41333,3142,24769,2487,2520,786,3473,794,8079,1363,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,74158,4241,37239,3062,20770,2575,11102,1546,497,256,405,228,4465,813,36919,2490,19749,2129,10381,1430,745,494,1414,403,4630,1015,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30022,3148,15978,1948,9619,1366,4413,1087,300,230,47,73,1599,502,14044,1964,7068,1322,4194,874,538,384,596,313,1648,514,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52714,4234,26197,2526,14002,1988,8290,1381,596,291,207,145,3102,785,26517,2781,12290,1892,7907,1399,777,394,1383,471,4160,1054,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
