GEO_ID,C27001_001E,C27001_001M,C27001_002E,C27001_002M,C27001_003E,C27001_003M,C27001_004E,C27001_004M,C27001_005E,C27001_005M,C27001_006E,C27001_006M,C27001_007E,C27001_007M,C27001_008E,C27001_008M,C27001_009E,C27001_009M,C27001_010E,C27001_010M,C27001_011E,C27001_011M,C27001_012E,C27001_012M,C27001_013E,C27001_013M,C27001_014E,C27001_014M,C27001_015E,C27001_015M,C27001_016E,C27001_016M,C27001_017E,C27001_017M,C27001_018E,C27001_018M,C27001_019E,C27001_019M,C27001_020E,C27001_020M,C27001_021E,C27001_021M,NAME,C27001_001EA,C27001_001MA,C27001_002EA,C27001_002MA,C27001_003EA,C27001_003MA,C27001_004EA,C27001_004MA,C27001_005EA,C27001_005MA,C27001_006EA,C27001_006MA,C27001_007EA,C27001_007MA,C27001_008MA,C27001_008EA,C27001_009EA,C27001_009MA,C27001_010EA,C27001_010MA,C27001_011EA,C27001_011MA,C27001_012EA,C27001_012MA,C27001_013MA,C27001_013EA,C27001_014EA,C27001_014MA,C27001_015EA,C27001_015MA,C27001_016EA,C27001_016MA,C27001_017EA,C27001_017MA,C27001_018MA,C27001_018EA,C27001_019MA,C27001_019EA,C27001_020EA,C27001_020MA,C27001_021EA,C27001_021MA,state
0400000US06,37524274,5678,18510580,6787,4711947,3872,4340274,13219,371673,13384,11816597,6723,8591412,26067,3225185,24869,1982036,3012,1950423,4333,31613,2975,19013694,5371,4511541,3767,4153122,13093,358419,11942,11981784,4242,9305100,27701,2676684,27794,2520369,2794,2474357,3920,46012,3147,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,2528913,4620,626825,2688,570372,5919,56453,4954,1633437,3669,1275856,9800,357581,9441,268651,1391,266732,1481,1919,567,2565853,3561,602183,2712,549941,5313,52242,4781,1636726,2764,1355303,9247,281423,8904,326944,1422,325318,1406,1626,604,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,1715299,2409,405052,1503,391035,3072,14017,2794,1091233,2202,928126,6915,163107,6508,219014,1191,217213,1465,1801,679,1819320,2365,386773,1500,370862,2836,15911,2479,1141926,1728,1017956,5351,123970,5292,290621,1391,287455,1503,3166,967,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,434398,1313,104302,816,99827,1158,4475,1021,268894,960,229201,3218,39693,3161,61202,569,60768,596,434,245,468517,1018,100192,812,97502,1098,2690,831,292323,787,260436,3253,31887,3242,76002,683,75287,832,715,366,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,290874,931,54766,360,53673,707,1093,629,207898,794,188040,3012,19858,2908,28210,316,28107,365,103,123,330506,735,54416,271,53639,524,777,471,234492,636,219793,1814,14699,1674,41598,482,41274,473,324,243,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,9208249,7257,2032111,5212,1812515,9347,219596,7552,5633240,5919,3861812,24007,1771428,24879,1542898,3018,1524230,4112,18668,2791,9802821,7129,1959032,5430,1742462,11534,216570,11132,5945373,4955,4384015,19790,1561358,20285,1898416,3412,1870196,4423,28220,3363,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,4691533,8342,1273249,6100,1164382,9561,108867,8050,2939296,6247,2133138,15615,806158,15136,478988,2652,475344,2705,3644,1034,5027878,8176,1218912,6320,1107818,9498,111094,7767,3177981,6012,2422873,14024,755108,13752,630985,2925,623537,2980,7448,2014,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,659117,2704,155075,898,149994,1638,5081,1422,412707,2804,367480,4336,45227,3990,91335,939,90480,1057,855,421,682591,1728,147490,907,142108,1620,5382,1348,420903,1332,386149,2545,34754,2606,114198,669,113159,936,1039,661,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,784512,3345,216859,2382,198301,3734,18558,2927,470784,2062,358414,5053,112370,4900,96869,875,96611,876,258,247,791170,3288,207067,2312,189596,3511,17471,2972,474175,2041,368600,4795,105575,4390,109928,1077,109417,1081,511,296,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,6204342,5323,1560473,3036,1508399,4961,52074,4194,3940161,4352,3092688,12877,847473,12623,703708,1879,696207,2350,7501,1401,6494029,5389,1498582,3071,1449190,5586,49392,4511,4066344,4048,3412323,11833,654021,11404,929103,2947,917099,3170,12004,1744,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
