GEO_ID,B18106_001E,B18106_001M,B18106_002E,B18106_002M,B18106_003E,B18106_003M,B18106_004E,B18106_004M,B18106_005E,B18106_005M,B18106_006E,B18106_006M,B18106_007E,B18106_007M,B18106_008E,B18106_008M,B18106_009E,B18106_009M,B18106_010E,B18106_010M,B18106_011E,B18106_011M,B18106_012E,B18106_012M,B18106_013E,B18106_013M,B18106_014E,B18106_014M,B18106_015E,B18106_015M,B18106_016E,B18106_016M,B18106_017E,B18106_017M,B18106_018E,B18106_018M,B18106_019E,B18106_019M,B18106_020E,B18106_020M,B18106_021E,B18106_021M,B18106_022E,B18106_022M,B18106_023E,B18106_023M,B18106_024E,B18106_024M,B18106_025E,B18106_025M,B18106_026E,B18106_026M,B18106_027E,B18106_027M,B18106_028E,B18106_028M,B18106_029E,B18106_029M,B18106_030E,B18106_030M,B18106_031E,B18106_031M,B18106_032E,B18106_032M,B18106_033E,B18106_033M,NAME,B18106_001EA,B18106_001MA,B18106_002EA,B18106_002MA,B18106_003EA,B18106_003MA,B18106_004EA,B18106_004MA,B18106_005EA,B18106_005MA,B18106_006MA,B18106_006EA,B18106_007MA,B18106_007EA,B18106_008EA,B18106_008MA,B18106_009EA,B18106_009MA,B18106_010EA,B18106_010MA,B18106_011EA,B18106_011MA,B18106_012EA,B18106_012MA,B18106_013EA,B18106_013MA,B18106_014EA,B18106_014MA,B18106_015EA,B18106_015MA,B18106_016EA,B18106_016MA,B18106_017EA,B18106_017MA,B18106_018MA,B18106_018EA,B18106_019MA,B18106_019EA,B18106_020MA,B18106_020EA,B18106_021MA,B18106_021EA,B18106_022EA,B18106_022MA,B18106_023EA,B18106_023MA,B18106_024MA,B18106_024EA,B18106_025MA,B18106_025EA,B18106_026EA,B18106_026MA,B18106_027EA,B18106_027MA,B18106_028EA,B18106_028MA,B18106_029MA,B18106_029EA,B18106_030MA,B18106_030EA,B18106_031EA,B18106_031MA,B18106_032MA,B18106_032EA,B18106_033EA,B18106_033MA,state
0400000US06,34987590,6369,17214375,7363,3415742,3971,39751,3471,3375991,5127,4690216,6825,42344,3469,4647872,7944,7126381,5933,137270,5400,6989111,8048,1163816,2547,51443,3298,1112373,4237,818220,2646,112263,4783,705957,5134,17773215,5251,3271062,3334,22273,2295,3248789,3874,4574937,3413,31031,2972,4543906,4603,7406847,3472,167466,5710,7239381,6135,1347910,2438,81198,4537,1266712,4726,1172459,2953,231295,6568,941164,6484,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4757771,3181,2356351,4248,454263,2288,3835,866,450428,2362,619699,3533,3213,1005,616486,3509,1013738,3151,17703,2231,996035,3738,168926,1211,3742,802,165184,1451,99725,1230,9323,1497,90402,1959,2401420,3085,437750,2208,2978,978,434772,2432,603726,2494,4023,789,599703,2461,1033000,2453,20483,2312,1012517,3356,185499,1542,6875,1362,178624,1949,141445,1522,18632,2152,122813,2405,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3341549,1439,1615753,2355,305506,1227,4115,1308,301391,1726,375873,1816,3338,900,372535,1929,715360,1950,11601,1499,703759,2424,128363,850,3286,700,125077,1121,90651,906,7297,1104,83354,1120,1725796,2163,293249,1287,2660,757,290589,1278,378717,1592,3513,966,375204,1755,763209,1627,13504,1732,749705,2417,149678,1028,5831,1036,143847,1383,140943,1185,20384,1788,120559,1821,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,846730,949,405952,1340,75856,827,502,297,75354,869,98955,895,1220,494,97735,1069,169939,909,4033,957,165906,1196,37599,604,1601,627,35998,789,23603,506,2074,615,21529,745,440778,994,72453,800,348,227,72105,786,103201,685,447,302,102754,792,189122,996,4803,933,184319,1331,42604,513,1140,396,41464,662,33398,785,4384,792,29014,1026,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,582431,742,271038,908,34930,285,630,445,34300,520,99374,745,435,327,98939,781,108524,844,2515,854,106009,1059,17199,376,638,367,16561,513,11011,369,1573,594,9438,646,311393,733,35303,275,259,193,35044,372,118676,384,843,438,117833,580,115816,532,3477,748,112339,966,22029,324,1023,486,21006,539,19569,458,2166,531,17403,699,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17942110,5061,8663556,7270,1487418,4578,15829,1909,1471589,5139,2015338,5494,19424,2640,1995914,6240,3617902,6414,92224,4902,3525678,9066,877145,3068,34318,3291,842827,3941,665753,3224,61013,3920,604740,5272,9278554,6785,1434765,4789,10794,1815,1423971,4983,2052883,4782,14568,2054,2038315,5124,3892490,4537,98801,4729,3793689,6918,1006554,2839,38639,3185,967915,4415,891862,3134,132107,6189,759755,6782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9048306,5197,4349611,7837,931327,5485,8388,1864,922939,6028,1105808,5449,9827,2337,1095981,6148,1833488,5933,48757,3613,1784731,6797,312163,2983,15871,2110,296292,3566,166825,2708,22235,1825,144590,2977,4698695,7526,889729,5171,4470,1032,885259,5379,1166909,5679,8569,1689,1158340,6142,2011072,4907,52780,3849,1958292,6159,364383,2756,22285,2608,342098,3854,266602,2430,53259,2955,213343,3823,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1252695,2462,613364,2678,109322,808,1185,436,108137,1006,151413,2393,1010,668,150403,2474,261294,1602,6128,1168,255166,1784,53534,634,2480,798,51054,955,37801,885,3881,783,33920,1139,639331,1698,104230,766,911,415,103319,826,151548,1062,597,307,150951,1068,269355,827,4714,1266,264641,1481,57878,480,2156,669,55722,872,56320,651,8025,1552,48295,1588,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1461946,2051,726443,3153,158790,2209,2687,1275,156103,2692,181234,2210,1795,652,179439,2313,289550,1657,7315,1406,282235,2174,59858,866,1854,599,58004,949,37011,656,4951,1072,32060,1212,735503,2818,151400,1837,1435,787,149965,1971,179184,1885,1611,854,177573,2038,294991,1827,7194,1172,287797,2357,62053,919,2728,772,59325,1219,47875,738,7297,1456,40578,1524,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11884344,2275,5788916,5557,1145047,3007,13457,1849,1131590,3422,1489427,4180,11943,1707,1477484,4554,2450734,4024,52904,3577,2397830,5155,421499,2035,16327,2144,405172,3017,282209,1493,28487,1845,253722,2340,6095428,5363,1099981,2692,9179,1519,1090802,2887,1494316,3315,9777,1378,1484539,3616,2572028,3571,58867,4121,2513161,5091,491313,1655,24567,2266,466746,2719,437790,2809,65180,3274,372610,4511,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
