GEO_ID,B20017G_001E,B20017G_001M,B20017G_002E,B20017G_002M,B20017G_003E,B20017G_003M,B20017G_004E,B20017G_004M,B20017G_005E,B20017G_005M,B20017G_006E,B20017G_006M,B20017G_007E,B20017G_007M,NAME,B20017G_001EA,B20017G_001MA,B20017G_002MA,B20017G_002EA,B20017G_003MA,B20017G_003EA,B20017G_004EA,B20017G_004MA,B20017G_005EA,B20017G_005MA,B20017G_006EA,B20017G_006MA,B20017G_007MA,B20017G_007EA,state
0400000US06,25641,593,29938,1281,47930,2098,10044,641,21836,817,41590,817,8576,562,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,22412,2403,26902,3843,42439,4857,8704,1714,18156,2732,36232,2146,8674,1756,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,25356,2819,30439,4888,55464,11567,8324,1762,21508,3034,37063,5664,10876,1619,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20268,12044,22284,12214,31805,15676,4101,3409,16517,15407,37386,7915,7087,3343,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,40585,7888,56573,28889,81776,26098,4915,11885,27587,9914,54383,8234,6236,2577,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20640,872,21594,1017,33361,3541,9326,1069,19412,1691,32123,1431,7613,1003,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,19121,2736,23270,4342,39772,7737,6607,832,14104,3657,31782,5752,6364,1138,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,28658,1604,31930,1208,44083,3180,11619,1639,24287,1886,36111,1248,8630,1100,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17183,3338,20642,5555,32155,17020,7743,3378,12281,6555,25669,3064,10187,3034,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,23533,2272,28004,3722,45931,3870,8605,1846,21377,1253,37029,2652,7832,1273,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
