GEO_ID,B25091_001E,B25091_001M,B25091_002E,B25091_002M,B25091_003E,B25091_003M,B25091_004E,B25091_004M,B25091_005E,B25091_005M,B25091_006E,B25091_006M,B25091_007E,B25091_007M,B25091_008E,B25091_008M,B25091_009E,B25091_009M,B25091_010E,B25091_010M,B25091_011E,B25091_011M,B25091_012E,B25091_012M,B25091_013E,B25091_013M,B25091_014E,B25091_014M,B25091_015E,B25091_015M,B25091_016E,B25091_016M,B25091_017E,B25091_017M,B25091_018E,B25091_018M,B25091_019E,B25091_019M,B25091_020E,B25091_020M,B25091_021E,B25091_021M,B25091_022E,B25091_022M,B25091_023E,B25091_023M,NAME,B25091_001EA,B25091_001MA,B25091_002EA,B25091_002MA,B25091_003EA,B25091_003MA,B25091_004MA,B25091_004EA,B25091_005MA,B25091_005EA,B25091_006EA,B25091_006MA,B25091_007EA,B25091_007MA,B25091_008EA,B25091_008MA,B25091_009MA,B25091_009EA,B25091_010MA,B25091_010EA,B25091_011MA,B25091_011EA,B25091_012EA,B25091_012MA,B25091_013EA,B25091_013MA,B25091_014EA,B25091_014MA,B25091_015MA,B25091_015EA,B25091_016MA,B25091_016EA,B25091_017EA,B25091_017MA,B25091_018EA,B25091_018MA,B25091_019EA,B25091_019MA,B25091_020MA,B25091_020EA,B25091_021MA,B25091_021EA,B25091_022MA,B25091_022EA,B25091_023EA,B25091_023MA,state
0400000US06,6781817,25470,5013594,26823,200413,6499,439352,8689,679690,12473,736821,11110,637309,11095,504820,10223,364312,9508,463088,10239,951292,14199,36497,3332,1768223,13924,763511,10085,324850,6958,190764,5952,117005,5180,80740,3755,54280,3217,41815,2554,50769,2972,119927,5268,24562,2681,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,945039,10533,52684,3485,125905,4868,177765,5405,162309,5619,117709,5237,77101,4277,51786,3222,63291,3862,111395,4243,5094,1051,333119,5691,163428,4907,59593,2768,32848,2434,21103,1776,14343,1501,7467,1215,5714,1036,8194,1430,16959,1840,3470,887,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,642602,8945,29599,2805,67126,3147,104004,4834,111227,4241,79473,3620,60296,3706,44293,3391,48556,2888,95463,4403,2565,797,265850,5449,68746,3485,52132,3084,35861,2343,25370,2026,18007,1716,12758,1632,9177,1337,13869,1595,27213,2258,2717,685,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,168064,4422,9448,1319,23104,2125,30630,2759,26828,2430,21664,2026,11603,1514,10800,1611,10807,1543,22429,2335,751,384,72986,2939,33390,2412,14064,1571,6947,990,5114,966,2739,713,2251,709,1850,530,1568,504,4190,821,873,361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,87104,3340,5922,1089,12311,1304,15612,1397,14135,1791,10804,1539,6161,1175,3905,801,5562,1055,12118,1617,574,320,23577,2090,11864,1479,4029,863,2206,629,619,314,870,471,629,322,695,371,907,391,1399,546,359,275,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,2888716,18233,129341,5688,309594,8989,441868,10477,414657,10698,331435,9803,250639,8260,183059,5975,238707,7933,565966,9142,23450,2513,1835712,18176,668472,11301,356693,8286,222024,6519,140900,4819,98263,4604,69821,3762,47898,3289,60953,3812,132855,5927,37833,2969,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,1560580,18192,92080,4953,231007,7363,292435,8589,251095,8721,171836,6736,119143,5823,80335,5258,98787,4857,209486,6706,14376,2672,688122,12099,298877,8434,135390,5373,73642,4064,49275,3268,30487,2589,20369,2082,12690,1804,17090,1614,37979,3032,12323,1554,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,172799,4553,6590,812,13439,1207,21192,1775,24565,1969,23208,2019,18128,2017,14466,1976,15860,1403,34399,3076,952,534,81971,3305,40242,2543,14010,1431,7757,1184,5074,885,2681,696,2431,600,1297,469,1762,511,5208,1178,1509,554,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,270378,6063,13312,1634,37943,2554,51038,3613,44726,3134,33963,2908,22608,2507,14562,1863,17409,2083,33405,2806,1412,557,128293,4525,65241,3587,23618,1977,14715,1571,6689,999,3817,781,2859,725,2106,590,2462,648,5611,1235,1175,475,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,2153509,15842,110423,4690,288143,7037,382351,8342,346945,8189,260253,6904,183869,6741,125215,5514,143567,5578,303762,7973,8981,1333,1023595,11279,347576,7377,220285,5897,133516,4131,86254,3821,57780,3336,38374,2885,23403,1707,33744,2443,70846,3613,11817,1527,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
