GEO_ID,B22010_001E,B22010_001M,B22010_002E,B22010_002M,B22010_003E,B22010_003M,B22010_004E,B22010_004M,B22010_005E,B22010_005M,B22010_006E,B22010_006M,B22010_007E,B22010_007M,NAME,B22010_001MA,B22010_001EA,B22010_002MA,B22010_002EA,B22010_003MA,B22010_003EA,B22010_004MA,B22010_004EA,B22010_005EA,B22010_005MA,B22010_006EA,B22010_006MA,B22010_007MA,B22010_007EA,state
0400000US06,12552658,18433,1140716,14753,391744,9515,748972,11982,11411942,21154,2435647,18953,8976295,25511,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,186217,7033,76674,4841,109543,5219,1809871,10444,331403,7544,1478468,11459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,163064,5739,71570,3590,91494,4575,1194748,8138,223628,6400,971120,8449,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,48378,2973,19275,2004,29103,2348,291930,3801,62945,2952,228985,4142,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,40966,2609,18898,1816,22068,1859,225696,3474,32733,2288,192963,3761,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,1093250,16970,440587,11561,652663,13883,6104693,28076,1344048,18870,4760645,26927,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,582724,11277,237230,6799,345494,8931,2950184,16729,624994,10461,2325190,18479,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,50600,3052,20523,1583,30077,2602,397148,4412,88627,3752,308521,5134,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,80755,4839,34893,2820,45862,4141,502351,7035,117884,4690,384467,7152,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,613928,9806,238937,6943,374991,8056,4156266,14755,811073,10012,3345193,15535,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,2480077,10833,316634,7183,143995,5444,172639,5739,2163443,12139,490801,7659,1672642,12922,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1227048,6132,152621,5764,61729,3132,90892,4598,1074427,6983,208436,4456,865991,6975,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1113911,5555,110536,4034,51984,2827,58552,3146,1003375,7231,216795,4758,786580,7062,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1707004,8109,310680,8142,163158,6192,147522,5894,1396324,10438,386160,7024,1010164,10059,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1719473,9205,302676,8495,136376,5162,166300,6564,1416797,9388,368139,6919,1048658,10326,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,554543,4451,98551,3918,52260,3467,46291,2860,455992,5390,112208,3535,343784,5461,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2157717,7667,239685,7080,102234,4839,137451,5649,1918032,8555,355748,8044,1562284,10987,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2522394,9088,325306,7158,166249,5950,159057,5302,2197088,9202,415928,8394,1781160,10489,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3819068,10789,679475,11224,323097,7318,356378,8280,3139593,13440,710004,9747,2429589,16444,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
