GEO_ID,B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,NAME,B24092_001EA,B24092_001MA,B24092_002EA,B24092_002MA,B24092_003EA,B24092_003MA,B24092_004EA,B24092_004MA,B24092_005MA,B24092_005EA,B24092_006MA,B24092_006EA,B24092_007EA,B24092_007MA,B24092_008EA,B24092_008MA,B24092_009EA,B24092_009MA,B24092_010MA,B24092_010EA,B24092_011MA,B24092_011EA,B24092_012EA,B24092_012MA,B24092_013EA,B24092_013MA,B24092_014EA,B24092_014MA,B24092_015EA,B24092_015MA,B24092_016MA,B24092_016EA,B24092_017EA,B24092_017MA,B24092_018EA,B24092_018MA,state
0400000US06,50369,172,47158,322,46109,334,71052,1189,53165,1911,69488,1523,66832,1244,61386,616,38750,2179,42021,163,39878,408,39430,453,50304,2201,48999,975,52557,1051,53020,1187,55383,1411,27441,1634,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,50792,379,50366,503,49518,1235,61631,995,51674,2740,54640,2000,50858,1911,62323,2044,39306,4056,40470,390,38772,907,38477,921,45517,4531,43214,2367,44543,3663,42314,1804,53463,3211,25834,2370,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61253,470,61172,634,60709,659,78515,5739,60004,6156,67339,4332,70904,4360,61324,2965,47015,6081,48005,1251,43332,1330,43131,1304,52724,4845,48130,2687,60560,2300,62421,2837,55103,3408,32361,7769,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,50876,591,50527,891,50378,1265,58793,9447,48084,6850,53483,9456,53120,3231,60260,6822,42177,14157,41171,653,40332,833,40276,854,48987,10797,43254,3639,46439,5968,42621,3459,54996,8442,27763,6176,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68014,4306,60002,7330,56733,6389,81799,36392,69743,7487,60513,5268,61875,14614,100678,3139,61240,8671,60273,2210,52973,5219,51951,4201,104239,50954,55840,2442,59509,5154,65485,12224,84984,7714,40701,33721,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40947,206,40180,276,38663,725,51574,676,45426,1442,46380,836,43295,2026,60559,992,30782,1185,34288,404,31998,227,31910,228,37167,3139,39044,1119,40179,405,38886,1209,51883,1704,18693,2168,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,44279,935,43683,1371,42436,758,55643,3158,48278,3631,41522,948,44117,3019,58110,3058,35147,3064,35570,362,32740,692,32483,535,40660,2903,40240,1073,40058,1089,37833,1399,52304,1608,25180,1970,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,46559,891,41845,866,41363,890,60647,7807,51187,2517,54766,5192,51318,1193,61809,2606,41148,2995,38248,1199,35178,757,35046,995,42117,7151,42374,2606,43638,8303,46557,1222,52083,6018,32306,7392,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41773,650,40645,701,39626,1559,56780,8657,60863,5631,46616,4065,45574,2842,60465,2408,36272,3489,31307,511,29685,1536,29175,1727,36061,8618,34412,4355,32632,2891,39531,3928,46783,5324,22320,4679,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,51377,220,50492,240,50020,501,65641,4329,52176,1209,61715,705,59581,1953,61549,1576,41521,777,40373,256,37360,446,37273,389,42092,4603,41681,629,50119,1257,48496,1258,54452,1687,24800,2088,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
