GEO_ID,B10056_001E,B10056_001M,B10056_002E,B10056_002M,B10056_003E,B10056_003M,B10056_004E,B10056_004M,B10056_005E,B10056_005M,B10056_006E,B10056_006M,B10056_007E,B10056_007M,B10056_008E,B10056_008M,B10056_009E,B10056_009M,B10056_010E,B10056_010M,B10056_011E,B10056_011M,NAME,B10056_001EA,B10056_001MA,B10056_002MA,B10056_002EA,B10056_003MA,B10056_003EA,B10056_004EA,B10056_004MA,B10056_005MA,B10056_005EA,B10056_006MA,B10056_006EA,B10056_007MA,B10056_007EA,B10056_008MA,B10056_008EA,B10056_009MA,B10056_009EA,B10056_010MA,B10056_010EA,B10056_011MA,B10056_011EA,state
0400000US06,1111316,19895,420142,10455,111870,4569,65456,3806,46414,2863,308272,8698,691174,12565,182494,6243,115989,5392,66505,3452,508680,11027,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88294,6236,34349,2993,15017,2023,10139,1839,4878,978,19332,2081,53945,3815,20710,2268,15092,1961,5618,899,33235,2814,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65405,4403,21151,2274,7091,1370,4326,1138,2765,734,14060,1657,44254,3160,13541,1887,9507,1629,4034,1180,30713,2820,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26483,3422,10183,1790,3918,912,2103,624,1815,622,6265,1618,16300,2053,6253,1071,3862,827,2391,781,10047,1745,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10341,1736,2028,735,482,424,361,393,121,117,1546,627,8313,1291,2480,832,1472,602,1008,539,5833,1090,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463879,13582,147492,6812,56440,4235,31284,3501,25156,2482,91052,5106,316387,9701,105524,5268,68150,4822,37374,3073,210863,8091,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,265530,12042,90021,5637,44929,3805,27546,3090,17383,2066,45092,3905,175509,7714,79566,5135,54530,4185,25036,2637,95943,5013,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54874,3546,21517,1917,6504,1138,3447,937,3057,699,15013,1538,33357,2302,8671,1169,5426,1075,3245,647,24686,2129,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23116,2838,8936,1388,3967,967,2417,758,1550,561,4969,932,14180,1741,5911,1109,3580,888,2331,670,8269,1321,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,275433,9970,98151,4978,35091,2797,22399,2618,12692,1363,63060,4125,177282,6251,62767,3899,43071,3479,19696,1747,114515,5226,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,126036,7073,48229,3273,21555,2128,13336,1816,8219,1283,26674,2428,77807,4553,35025,2807,24990,2329,10035,1402,42782,3850,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39482,3176,15193,1810,6652,1102,3781,728,2871,710,8541,1429,24289,1973,10090,1278,6792,1109,3298,788,14199,1746,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,47220,3512,17651,1774,8755,1277,5408,1016,3347,737,8896,1362,29569,2156,14004,1474,8598,1248,5406,955,15565,1736,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,102902,5492,37583,2307,21804,1873,13055,1503,8749,1206,15779,1610,65319,3865,35110,2532,24868,2365,10242,1367,30209,2742,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,119416,5520,40638,2410,24529,2208,15509,1919,9020,1326,16109,1712,78778,4263,43460,3215,31266,3272,12194,1701,35318,2858,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18412,2425,6957,1238,3116,848,2287,729,829,322,3841,801,11455,1431,4703,904,3397,760,1306,445,6752,1038,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,141040,6767,44948,3344,16517,2183,8802,1616,7715,1257,28431,2611,96092,4279,32107,2976,20835,2513,11272,1624,63985,4142,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,122541,6382,43497,2945,12701,2179,7111,1977,5590,1023,30796,2221,79044,4389,23692,2664,15513,2453,8179,1160,55352,3251,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,184352,6894,65101,3325,27284,2100,17103,1949,10181,1002,37817,2736,119251,4714,48849,3009,33671,2591,15178,1450,70402,3635,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,62502,3606,23894,1921,8432,1089,5528,1032,2904,545,15462,1529,38608,2229,12301,1515,8479,1210,3822,825,26307,1827,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
