GEO_ID,C18104_001E,C18104_001M,C18104_002E,C18104_002M,C18104_003E,C18104_003M,C18104_004E,C18104_004M,C18104_005E,C18104_005M,C18104_006E,C18104_006M,C18104_007E,C18104_007M,C18104_008E,C18104_008M,C18104_009E,C18104_009M,C18104_010E,C18104_010M,C18104_011E,C18104_011M,C18104_012E,C18104_012M,C18104_013E,C18104_013M,C18104_014E,C18104_014M,C18104_015E,C18104_015M,C18104_016E,C18104_016M,C18104_017E,C18104_017M,C18104_018E,C18104_018M,C18104_019E,C18104_019M,C18104_020E,C18104_020M,C18104_021E,C18104_021M,NAME,C18104_001MA,C18104_001EA,C18104_002MA,C18104_002EA,C18104_003EA,C18104_003MA,C18104_004EA,C18104_004MA,C18104_005EA,C18104_005MA,C18104_006EA,C18104_006MA,C18104_007MA,C18104_007EA,C18104_008MA,C18104_008EA,C18104_009MA,C18104_009EA,C18104_010MA,C18104_010EA,C18104_011EA,C18104_011MA,C18104_012MA,C18104_012EA,C18104_013MA,C18104_013EA,C18104_014MA,C18104_014EA,C18104_015MA,C18104_015EA,C18104_016EA,C18104_016MA,C18104_017EA,C18104_017MA,C18104_018MA,C18104_018EA,C18104_019MA,C18104_019EA,C18104_020EA,C18104_020MA,C18104_021MA,C18104_021EA,state
0400000US06,34987590,6369,17214375,7363,3415742,3971,128695,5359,3287047,6707,11816597,6723,426114,10456,11390483,12244,1982036,3012,184381,6002,1797655,6183,17773215,5251,3271062,3334,57120,4278,3213942,4621,11981784,4242,381754,10955,11600030,11087,2520369,2794,299034,8886,2221335,9293,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4757771,3181,2356351,4248,454263,2288,18117,1862,436146,2648,1633437,3669,53891,3798,1579546,5379,268651,1391,18883,1789,249768,2215,2401420,3085,437750,2208,9420,1477,428330,2611,1636726,2764,53687,3813,1583039,4588,326944,1422,26837,2150,300107,2385,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3341549,1439,1615753,2355,305506,1227,14872,1761,290634,2031,1091233,2202,44421,3409,1046812,3723,219014,1191,13968,1456,205046,1888,1725796,2163,293249,1287,6969,1276,286280,1851,1141926,1728,38211,3298,1103715,3646,290621,1391,24420,2086,266201,2190,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,846730,949,405952,1340,75856,827,3707,1014,72149,1288,268894,960,10518,1669,258376,1882,61202,569,3641,882,57561,1079,440778,994,72453,800,1618,475,70835,815,292323,787,10353,1471,281970,1597,76002,683,6000,986,70002,1115,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,582431,742,271038,908,34930,285,2993,806,31937,839,207898,794,10457,1610,197441,1614,28210,316,2691,657,25519,716,311393,733,35303,275,1441,569,33862,664,234492,636,10097,1279,224395,1358,41598,482,2530,589,39068,703,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17942110,5061,8663556,7270,1487418,4578,75280,4986,1412138,6509,5633240,5919,252765,8122,5380475,10235,1542898,3018,121093,5029,1421805,6014,9278554,6785,1434765,4789,42819,3482,1391946,6135,5945373,4955,239872,9161,5705501,9828,1898416,3412,188142,6956,1710274,7591,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9048306,5197,4349611,7837,931327,5485,49318,3774,882009,6462,2939296,6247,138005,6491,2801291,8543,478988,2652,46644,3115,432344,3360,4698695,7526,889729,5171,19969,2579,869760,5793,3177981,6012,127740,6051,3050241,8186,630985,2925,79195,4055,551790,4799,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1252695,2462,613364,2678,109322,808,3611,898,105711,1282,412707,2804,15045,1885,397662,3393,91335,939,9111,1305,82224,1619,639331,1698,104230,766,1906,595,102324,920,420903,1332,13084,1786,407819,2333,114198,669,12403,1457,101795,1563,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1461946,2051,726443,3153,158790,2209,9371,1630,149419,2696,470784,2062,24194,2799,446590,3108,96869,875,6120,880,90749,1269,735503,2818,151400,1837,4391,1275,147009,2227,474175,2041,21092,2721,453083,3731,109928,1077,9918,1436,100010,1746,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11884344,2275,5788916,5557,1145047,3007,47581,3408,1097466,4137,3940161,4352,142784,5867,3797377,6912,703708,1879,48486,2694,655222,3307,6095428,5363,1099981,2692,25229,2753,1074752,3436,4066344,4048,130629,5354,3935715,5918,929103,2947,88905,4724,840198,5350,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
