GEO_ID,B17003_001E,B17003_001M,B17003_002E,B17003_002M,B17003_003E,B17003_003M,B17003_004E,B17003_004M,B17003_005E,B17003_005M,B17003_006E,B17003_006M,B17003_007E,B17003_007M,B17003_008E,B17003_008M,B17003_009E,B17003_009M,B17003_010E,B17003_010M,B17003_011E,B17003_011M,B17003_012E,B17003_012M,B17003_013E,B17003_013M,B17003_014E,B17003_014M,B17003_015E,B17003_015M,B17003_016E,B17003_016M,B17003_017E,B17003_017M,B17003_018E,B17003_018M,B17003_019E,B17003_019M,B17003_020E,B17003_020M,B17003_021E,B17003_021M,B17003_022E,B17003_022M,B17003_023E,B17003_023M,NAME,B17003_001EA,B17003_001MA,B17003_002MA,B17003_002EA,B17003_003MA,B17003_003EA,B17003_004MA,B17003_004EA,B17003_005EA,B17003_005MA,B17003_006EA,B17003_006MA,B17003_007EA,B17003_007MA,B17003_008MA,B17003_008EA,B17003_009MA,B17003_009EA,B17003_010EA,B17003_010MA,B17003_011EA,B17003_011MA,B17003_012EA,B17003_012MA,B17003_013MA,B17003_013EA,B17003_014MA,B17003_014EA,B17003_015MA,B17003_015EA,B17003_016EA,B17003_016MA,B17003_017EA,B17003_017MA,B17003_018EA,B17003_018MA,B17003_019MA,B17003_019EA,B17003_020MA,B17003_020EA,B17003_021EA,B17003_021MA,B17003_022EA,B17003_022MA,B17003_023EA,B17003_023MA,state
0400000US06,24440309,4528,3243896,35103,1395287,20656,508525,11367,355838,9310,343613,10267,187311,7170,1848609,21393,681169,13133,444276,11297,494584,13045,228580,8408,21196413,35827,10468120,21995,1679071,17226,2120279,19689,3095979,18313,3572791,22755,10728293,21637,1605128,18324,2087354,19145,3392640,24081,3643171,23118,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3388727,3625,344842,10510,151734,6060,38516,3403,43840,3081,44362,3415,25016,2499,193108,7383,44825,3539,52988,3836,62144,4321,33151,3030,3043885,11167,1516239,7362,122178,5367,321320,8631,455604,8652,617137,8795,1527646,7266,103806,4317,309120,7423,502433,9200,612287,10372,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2414730,2043,205418,7140,84610,3934,24955,2531,32311,2749,17520,2072,9824,1568,120808,4897,32243,3153,42628,3216,29715,2651,16222,1995,2209312,7507,1060981,4089,91347,4455,293198,7064,249842,6341,426594,6838,1148331,5071,87102,4461,296363,6564,310164,6853,454702,6844,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,608643,1202,54068,3885,20661,1892,6240,1275,7249,1375,4381,992,2791,781,33407,2917,10604,1767,9996,1698,8433,1521,4374,1022,554575,3887,266256,2164,29221,2246,85484,3399,69485,3430,82066,4010,288319,2834,22091,2252,87594,3751,85658,3862,92976,4157,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,431807,983,57624,4579,23432,2719,7075,1316,6626,1343,4449,1141,5282,1296,34192,2791,9333,1451,11161,1611,7105,1371,6593,1494,374183,4406,176971,2826,15616,1932,27569,2928,27594,2356,106192,3690,197212,2821,15534,1709,32747,2524,34824,2623,114107,2934,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13285121,6566,1803563,28016,756261,15314,222854,10616,267134,8929,172193,8007,94080,4876,1047302,19569,283067,10539,363481,11878,290384,8654,110370,5048,11481558,29350,5561692,15428,653836,15674,1583599,18907,1633978,20317,1690279,18753,5919866,19869,589404,11967,1721172,20269,1897393,18540,1711897,20297,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6278266,8521,919799,20007,368349,10243,125098,6391,128040,7288,78457,4885,36754,3535,551450,13078,161491,7495,185676,6640,149601,5916,54682,4167,5358467,21484,2591170,13397,332511,9535,723373,11683,726433,13295,808853,13100,2767297,13394,293517,8496,727336,12852,847769,13185,898675,13479,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,936889,1497,87643,5000,35469,2968,6931,1330,12909,1690,10224,1631,5405,1106,52174,3389,10422,1846,17586,1979,15492,1901,8674,1387,849246,5257,424767,3301,33361,2755,123766,4479,141488,4591,126152,4202,424479,3457,37696,2876,109053,4715,133558,4410,144172,4024,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,997748,3077,117428,6376,50226,3658,10736,1813,17004,2161,15900,1627,6586,1239,67202,4200,14225,1906,21954,2580,22982,2281,8041,1461,880320,6979,440868,4489,43173,3062,115284,4788,155973,5687,126438,5563,439452,4491,32318,3032,119444,4869,171909,5945,115781,5577,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8413963,4408,947599,16016,387545,10862,117285,5715,130659,6495,87153,4436,52448,3814,560054,9549,149597,6100,177880,6961,157859,5312,74718,4700,7466364,16028,3641447,11554,390805,9569,974031,12766,1041134,14181,1235477,13425,3824917,9950,357316,9261,980122,15153,1153968,12413,1333511,12352,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
