GEO_ID,B19101_001E,B19101_001M,B19101_002E,B19101_002M,B19101_003E,B19101_003M,B19101_004E,B19101_004M,B19101_005E,B19101_005M,B19101_006E,B19101_006M,B19101_007E,B19101_007M,B19101_008E,B19101_008M,B19101_009E,B19101_009M,B19101_010E,B19101_010M,B19101_011E,B19101_011M,B19101_012E,B19101_012M,B19101_013E,B19101_013M,B19101_014E,B19101_014M,B19101_015E,B19101_015M,B19101_016E,B19101_016M,B19101_017E,B19101_017M,NAME,B19101_001EA,B19101_001MA,B19101_002EA,B19101_002MA,B19101_003MA,B19101_003EA,B19101_004MA,B19101_004EA,B19101_005EA,B19101_005MA,B19101_006EA,B19101_006MA,B19101_007EA,B19101_007MA,B19101_008MA,B19101_008EA,B19101_009MA,B19101_009EA,B19101_010EA,B19101_010MA,B19101_011EA,B19101_011MA,B19101_012EA,B19101_012MA,B19101_013MA,B19101_013EA,B19101_014MA,B19101_014EA,B19101_015MA,B19101_015EA,B19101_016EA,B19101_016MA,B19101_017EA,B19101_017MA,state
0400000US06,8585787,27380,426722,8793,300103,9776,374511,9541,389039,9295,355672,8910,382186,8921,356016,9108,371281,9865,329303,8964,627993,12220,841763,14460,1091132,15143,845860,11147,549962,11172,640441,9126,703803,9297,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,49631,3922,30276,2300,39911,3058,52448,3388,49071,3484,53533,3666,51239,3469,55470,3376,50094,3101,101905,3992,145559,5417,196557,5911,139010,5025,86066,4079,92749,4687,84745,3682,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,32288,2919,21704,2556,22416,2823,28284,2852,28720,2875,29285,2652,28462,2489,27258,2090,28455,2512,58753,3928,90791,4840,128773,4781,111761,4786,76934,4178,84579,4476,103906,4970,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,8435,1412,5433,1107,5416,1010,9692,1568,9254,1382,9095,1640,8586,1297,11572,1534,7437,1240,20104,2250,25234,2190,36472,2763,27827,2500,14306,1690,13812,1475,12918,1307,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,8354,1140,3890,854,4438,941,4115,1085,3501,894,3679,989,5607,1232,3967,947,2351,574,4616,1014,8011,1217,10976,1539,9446,1386,7787,1428,10565,1500,21190,1819,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,249342,9888,172441,8367,213443,8709,244320,8080,249980,7907,260196,8614,245448,8044,247175,7807,209666,8427,401254,11311,501803,11093,589620,12481,376824,9912,213145,6475,202438,7857,221127,6259,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,159980,7093,95545,6094,114490,6516,125780,5893,123818,6852,116930,5411,111430,5424,108315,5191,106378,5731,195483,8019,262569,9018,312123,8584,208547,6636,119644,5087,121731,5175,123463,5545,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,11676,1777,7757,1425,8915,1509,9681,1484,8339,1135,9770,1287,10747,1351,11627,1528,12082,1509,22407,2175,35335,2410,51768,3467,40814,2667,22680,1814,25269,1721,20298,2108,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,19586,2570,12122,1778,18569,2030,22278,2269,22791,2168,23981,2658,22983,2642,22963,2363,19550,2271,38332,2927,52920,3487,55221,3390,33430,2989,15036,1762,14832,1994,11314,1797,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,142007,5289,92524,4838,108945,4864,124627,5196,124162,4766,138369,4841,128144,5115,131081,5183,125928,6338,240083,7294,341230,9318,468361,10371,327019,8877,207766,7235,209699,5230,211075,5834,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
