GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001EA,C01001F_001MA,C01001F_002EA,C01001F_002MA,C01001F_003MA,C01001F_003EA,C01001F_004MA,C01001F_004EA,C01001F_005EA,C01001F_005MA,C01001F_006EA,C01001F_006MA,C01001F_007EA,C01001F_007MA,C01001F_008MA,C01001F_008EA,C01001F_009MA,C01001F_009EA,state
0400000US06,4912894,55894,2507942,32200,789638,16901,1622619,20495,95685,4300,2404952,29779,759926,15610,1516605,17404,128421,4855,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219565,13256,111361,7299,33029,3673,73227,5045,5105,841,108204,7514,35371,4080,67064,4640,5769,1008,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163423,10914,85612,6936,23992,3105,58482,5052,3138,727,77811,5702,23298,2796,50459,3764,4054,871,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23251,4014,12622,2636,3870,1121,8436,1865,316,262,10629,2351,3395,1358,6624,1541,610,425,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28401,4268,15637,2344,3577,993,11801,1680,259,273,12764,2374,3207,776,9172,1810,385,447,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,459361,23271,236775,13629,61989,6405,164451,10087,10335,1673,222586,12335,64529,5654,146774,8660,11283,1674,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,297813,14511,166809,8632,57596,5436,106638,6080,2575,691,131004,7843,50292,4152,78457,4952,2255,837,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15499,2568,8178,1532,1521,598,6375,1214,282,182,7321,1390,1884,656,5017,1030,420,284,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46011,6380,23739,3165,7806,1663,15502,2298,431,238,22272,4132,8968,2134,12469,2367,835,451,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,731378,24796,385335,13379,128715,6335,245069,8542,11551,1509,346043,13540,117103,7031,214901,8115,14039,1647,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,157490,9515,82415,5321,29399,2991,52107,3779,909,372,75075,5531,29426,3273,43251,3238,2398,584,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,37670,4870,21301,2982,6995,1688,14043,1973,263,149,16369,2610,6058,1334,9890,1801,421,286,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,57943,7162,31702,3884,9476,2243,20517,2335,1709,490,26241,3836,8966,2127,15906,1974,1369,492,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,38316,5055,21494,3123,6818,1356,14213,2487,463,336,16822,2930,7021,1680,9638,1709,163,133,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,48697,6896,26862,4307,6532,1716,19387,3446,943,496,21835,3673,6820,1469,13134,2459,1881,891,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2509,768,741,352,342,263,384,204,15,25,1768,682,877,490,891,477,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,202979,13193,107188,7382,30788,3240,74826,5225,1574,613,95791,6691,30158,3067,63518,4358,2115,815,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,269542,11807,133108,6566,38630,3140,89296,4900,5182,692,136434,7069,38929,2943,89642,4995,7863,1228,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,93952,7702,48814,4512,16395,2212,30581,3194,1838,520,45138,4048,14135,2138,28452,2562,2551,673,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,73363,6581,40820,3674,13349,1783,27043,2710,428,304,32543,3649,12601,1903,19284,2159,658,336,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,22805,4018,13371,2368,4024,1059,9347,1752,0,198,9434,2053,4325,1358,5052,1166,57,102,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,70872,6403,36473,3286,11332,1826,24392,2452,749,324,34399,3978,13127,2232,20628,2517,644,315,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6526,1447,2902,763,687,362,1966,738,249,228,3624,1075,1199,716,2230,634,195,166,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
