GEO_ID,B12002A_001E,B12002A_001M,B12002A_002E,B12002A_002M,B12002A_003E,B12002A_003M,B12002A_004E,B12002A_004M,B12002A_005E,B12002A_005M,B12002A_006E,B12002A_006M,B12002A_007E,B12002A_007M,B12002A_008E,B12002A_008M,B12002A_009E,B12002A_009M,B12002A_010E,B12002A_010M,B12002A_011E,B12002A_011M,B12002A_012E,B12002A_012M,B12002A_013E,B12002A_013M,NAME,B12002A_001EA,B12002A_001MA,B12002A_002MA,B12002A_002EA,B12002A_003MA,B12002A_003EA,B12002A_004EA,B12002A_004MA,B12002A_005MA,B12002A_005EA,B12002A_006MA,B12002A_006EA,B12002A_007EA,B12002A_007MA,B12002A_008MA,B12002A_008EA,B12002A_009EA,B12002A_009MA,B12002A_010MA,B12002A_010EA,B12002A_011MA,B12002A_011EA,B12002A_012EA,B12002A_012MA,B12002A_013MA,B12002A_013EA,state
0400000US06,19256618,43276,9575646,25407,3617887,21633,4678715,27273,171272,7183,219935,5943,887837,16173,9680972,22675,2917689,20185,4448619,27510,251628,9348,842641,10034,1220395,14603,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3558855,10797,1772033,5949,587995,8090,933846,10199,22453,2177,35001,2938,192738,6620,1786822,6492,461082,8611,912514,11031,29513,3128,128329,4016,255384,8082,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2351412,7759,1133427,5397,384514,7059,599409,8361,11032,1729,32924,2254,105548,5334,1217985,4305,332531,6443,599389,7790,13840,2023,122388,4310,149837,4689,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,536923,3032,259014,1830,79838,2948,138772,3549,3684,999,8889,1291,27831,2470,277909,1847,70246,2486,136554,4020,4867,1258,28065,2160,38177,2941,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,225600,3349,111111,1928,64167,2576,39044,2590,988,564,518,280,6394,1082,114489,1862,66088,2850,36928,2357,1028,606,3274,810,7171,1230,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12513885,17313,6087734,11246,1897645,18105,3113362,23051,112797,5819,205725,6849,758205,15192,6426151,10675,1511446,14152,3016297,21136,161630,8690,766810,11323,969968,14953,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4868749,10510,2393063,7289,717101,11003,1336078,15199,35865,3281,64595,3729,239424,7866,2475686,6043,548623,10356,1325097,13759,51084,4382,237833,6373,313049,8838,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,306482,2281,169699,1434,52809,2703,92656,3315,2530,874,3023,801,18681,2387,136783,1500,28895,1772,75424,2461,1923,724,10120,1276,20421,1926,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1140852,4609,565627,2912,156949,4158,326120,6254,5089,1144,14574,1870,62895,3408,575225,3136,125012,4293,314244,6722,8351,1518,48101,2946,79517,4044,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7677197,15556,3752002,8846,1265186,13283,2008796,15392,42359,3516,97576,4426,338085,8510,3925195,9294,1060526,11023,1962511,15638,56963,4014,387927,7683,457268,8914,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4481846,6869,2186293,4416,666723,9218,1180291,11101,21703,2651,63167,3474,254409,7532,2295553,4177,554110,8045,1169129,12872,31199,2536,219341,5293,321774,8214,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2296449,4080,1122552,2839,336546,6109,625456,8593,10053,1467,30102,1797,120395,4409,1173897,2322,282703,4421,611477,6767,16548,1752,118764,3016,144405,5368,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
