GEO_ID,C21001D_001E,C21001D_001M,C21001D_002E,C21001D_002M,C21001D_003E,C21001D_003M,C21001D_004E,C21001D_004M,C21001D_005E,C21001D_005M,C21001D_006E,C21001D_006M,C21001D_007E,C21001D_007M,C21001D_008E,C21001D_008M,C21001D_009E,C21001D_009M,C21001D_010E,C21001D_010M,C21001D_011E,C21001D_011M,C21001D_012E,C21001D_012M,C21001D_013E,C21001D_013M,C21001D_014E,C21001D_014M,C21001D_015E,C21001D_015M,NAME,C21001D_001MA,C21001D_001EA,C21001D_002MA,C21001D_002EA,C21001D_003EA,C21001D_003MA,C21001D_004EA,C21001D_004MA,C21001D_005MA,C21001D_005EA,C21001D_006MA,C21001D_006EA,C21001D_007MA,C21001D_007EA,C21001D_008EA,C21001D_008MA,C21001D_009EA,C21001D_009MA,C21001D_010MA,C21001D_010EA,C21001D_011MA,C21001D_011EA,C21001D_012MA,C21001D_012EA,C21001D_013EA,C21001D_013MA,C21001D_014EA,C21001D_014MA,C21001D_015MA,C21001D_015EA,state
0400000US06,4097640,12533,1895039,7818,1621411,7664,56456,3565,1564955,8186,273628,2143,37271,2568,236357,3384,2202601,7761,1835671,7099,5066,1014,1830605,7075,366930,1927,1750,636,365180,2043,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,112659,2593,50971,1640,46198,1659,2744,746,43454,1561,4773,456,1184,394,3589,514,61688,1706,53978,1664,750,382,53228,1617,7710,569,158,169,7552,594,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,110779,1881,52239,1519,48142,1507,775,364,47367,1558,4097,158,202,155,3895,221,58540,972,53416,933,0,193,53416,933,5124,502,0,193,5124,502,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23647,994,10801,700,9598,684,228,196,9370,670,1203,159,0,182,1203,159,12846,488,11255,505,147,202,11108,519,1591,262,0,182,1591,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,19649,1282,8074,721,7486,721,105,104,7381,727,588,197,56,70,532,70,11575,820,10720,771,59,101,10661,772,855,179,0,197,855,179,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,384237,5431,173361,3674,152728,3437,6453,1308,146275,3480,20633,1198,2360,671,18273,1158,210876,3443,181004,3517,1080,374,179924,3529,29872,1667,91,128,29781,1684,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,253811,4007,119855,2760,109297,2551,2903,880,106394,2614,10558,670,1201,532,9357,774,133956,2579,122480,2598,610,395,121870,2558,11476,981,45,90,11431,999,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,451525,7297,203778,4239,152355,4187,14350,1556,138005,4109,51423,702,22551,1565,28872,1647,247747,4475,176326,3958,1479,604,174847,3952,71421,1279,193,138,71228,1289,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,16703,2115,7411,1389,7164,1411,223,192,6941,1408,247,149,0,187,247,149,9292,1197,8635,1195,0,187,8635,1195,657,358,0,187,657,358,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,484045,3917,230150,2719,202726,2522,3048,1058,199678,2481,27424,879,1788,471,25636,938,253895,2294,220550,2346,536,385,220014,2404,33345,833,40,68,33305,830,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,85581,2287,40020,1385,37164,1434,345,327,36819,1498,2856,657,591,444,2265,607,45561,1799,42447,1842,522,468,41925,1859,3114,782,89,154,3025,773,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42975,1448,20802,1364,19398,1380,280,256,19118,1404,1404,471,325,249,1079,398,22173,1003,20528,1030,0,151,20528,1030,1645,477,0,151,1645,477,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,53833,1913,25983,1418,23497,1450,616,294,22881,1472,2486,517,152,144,2334,528,27850,1061,25543,1178,86,125,25457,1171,2307,579,0,165,2307,579,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
