GEO_ID,B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,NAME,B16003_001MA,B16003_001EA,B16003_002EA,B16003_002MA,B16003_003EA,B16003_003MA,B16003_004EA,B16003_004MA,B16003_005MA,B16003_005EA,B16003_006MA,B16003_006EA,B16003_007EA,B16003_007MA,B16003_008EA,B16003_008MA,B16003_009EA,B16003_009MA,B16003_010MA,B16003_010EA,B16003_011MA,B16003_011EA,B16003_012EA,B16003_012MA,state
0400000US06,3355921,50933,711214,20126,39199,4278,539941,18062,22499,2959,100312,5068,9263,2383,2644707,36263,1606183,26505,223566,10227,763154,16200,51804,5412,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,154308,10974,38182,4267,2626,982,28907,3946,962,707,3749,1173,1938,1210,116126,8284,82308,7546,9543,2012,19085,2990,5190,1418,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,166188,10154,29845,3792,4068,1375,16933,2549,3706,1313,3115,940,2023,1857,136343,7927,77700,6545,37109,4559,16766,2497,4768,1926,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,22243,4044,5060,1443,678,536,3635,1264,577,501,170,203,0,182,17183,3008,12145,2869,2437,1017,2516,1185,85,142,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20068,3799,3265,975,336,313,2609,890,206,187,68,84,46,76,16803,3367,9723,2371,2556,925,1719,697,2805,2129,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1184497,25453,186976,9304,13552,2364,139864,7934,24473,3220,7320,1546,1767,951,997521,20359,771347,18535,157504,10064,56443,5833,12227,2818,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,313810,18790,73778,7635,5668,1734,51395,5970,4861,1584,8688,1861,3166,1942,240032,13641,155388,10725,29826,5025,44888,5296,9930,2806,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,73470,7328,11211,2391,2740,1039,469,443,188,175,7728,1775,86,143,62259,5803,2359,1272,1369,708,58023,5693,508,481,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,30465,4662,8321,2121,256,288,7808,2052,122,132,135,210,0,187,22144,3254,19133,2970,1304,623,1449,963,258,220,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,595441,20881,121856,7188,7778,1638,88707,5919,13811,2866,7602,1848,3958,1715,473585,16114,264818,12521,119303,8396,74764,5114,14700,3632,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
