GEO_ID,B17019_001E,B17019_001M,B17019_002E,B17019_002M,B17019_003E,B17019_003M,B17019_004E,B17019_004M,B17019_005E,B17019_005M,B17019_006E,B17019_006M,B17019_007E,B17019_007M,B17019_008E,B17019_008M,B17019_009E,B17019_009M,B17019_010E,B17019_010M,B17019_011E,B17019_011M,B17019_012E,B17019_012M,B17019_013E,B17019_013M,B17019_014E,B17019_014M,B17019_015E,B17019_015M,B17019_016E,B17019_016M,B17019_017E,B17019_017M,B17019_018E,B17019_018M,B17019_019E,B17019_019M,B17019_020E,B17019_020M,B17019_021E,B17019_021M,B17019_022E,B17019_022M,B17019_023E,B17019_023M,NAME,B17019_001MA,B17019_001EA,B17019_002MA,B17019_002EA,B17019_003MA,B17019_003EA,B17019_004MA,B17019_004EA,B17019_005EA,B17019_005MA,B17019_006MA,B17019_006EA,B17019_007MA,B17019_007EA,B17019_008MA,B17019_008EA,B17019_009MA,B17019_009EA,B17019_010EA,B17019_010MA,B17019_011EA,B17019_011MA,B17019_012EA,B17019_012MA,B17019_013MA,B17019_013EA,B17019_014MA,B17019_014EA,B17019_015EA,B17019_015MA,B17019_016EA,B17019_016MA,B17019_017EA,B17019_017MA,B17019_018MA,B17019_018EA,B17019_019MA,B17019_019EA,B17019_020MA,B17019_020EA,B17019_021EA,B17019_021MA,B17019_022EA,B17019_022MA,B17019_023EA,B17019_023MA,state
0400000US06,8585787,27380,1111400,15617,471618,9445,147572,5289,324046,7784,639782,12282,136835,5712,31670,2482,105165,5272,502947,10630,79295,4758,423652,9649,7474387,28093,5632481,27118,3978221,22828,1654260,23137,1841906,20764,622453,12792,293931,8350,328522,9536,1219453,15928,579757,11891,639696,13105,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,47192,3409,19878,2062,27314,2500,71415,4599,14582,2108,3683,1089,10899,1952,56833,4188,12320,1674,44513,3609,1159657,11072,927878,11729,757523,9435,170355,7737,231779,6532,77714,4051,44501,3242,33213,2621,154065,5615,86221,3939,67844,4459,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,20201,2445,8772,1529,11429,1769,50723,3321,6295,1400,1301,508,4994,1354,44428,3185,4962,987,39466,3116,831445,8840,640675,8470,545140,7244,95535,4814,190770,6524,56922,3897,37430,2999,19492,2565,133848,5347,74047,3613,59801,4391,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,5984,1260,4028,947,1956,806,12415,1677,2028,630,850,420,1178,507,10387,1632,2089,571,8298,1571,207194,4348,157476,4530,136428,3923,21048,2350,49718,3535,14233,2110,9667,1546,4566,1138,35485,2747,21907,2142,13578,1803,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,2274,745,285,215,1989,742,13416,1415,1422,584,337,277,1085,515,11994,1395,740,325,11254,1347,96803,3781,59875,3094,41071,2147,18804,2393,36928,2435,7956,1249,3835,900,4121,1017,28972,2078,12298,1359,16674,2109,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,226660,7825,120349,6053,106311,5344,354129,9725,64598,4050,21892,2371,42706,3563,289531,9091,78494,4695,211037,8559,4017433,24594,3092960,22883,2494056,20219,598904,12778,924473,14572,259303,9265,154089,6586,105214,6344,665170,10080,376139,8996,289031,9697,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120443,6072,59273,4406,61170,4268,241377,8503,35701,2570,12212,1908,23489,2475,205676,8198,49209,3680,156467,7116,2044406,15943,1572943,17075,1285082,14969,287861,9881,471463,11691,130717,5897,76061,4870,54656,4086,340746,10111,193006,6744,147740,7794,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,11141,1234,3712,933,7429,1130,15373,1789,2744,832,715,311,2029,798,12629,1647,1948,655,10681,1572,282651,5838,217886,6168,146070,4823,71816,4528,64765,3503,20825,1895,12922,1468,7903,1289,43940,2948,26332,2117,17608,2034,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,22630,2412,11899,1794,10731,1632,24928,2647,3868,953,1417,525,2451,841,21060,2486,4711,1133,16349,2315,358350,6909,299595,6422,247148,5355,52447,3651,58755,4228,20466,2715,11225,1677,9241,2118,38289,3132,22935,2604,15354,1961,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,111903,5129,55069,3236,56834,4030,227692,6957,36832,3216,13056,1699,23776,2618,190860,6302,38804,2440,152056,5818,2781425,15435,2177526,18209,1865170,14927,312356,9897,603899,11431,183297,6670,115499,5163,67798,4522,420602,9957,244792,7499,175810,6383,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
