GEO_ID,B27013_001E,B27013_001M,B27013_002E,B27013_002M,B27013_003E,B27013_003M,B27013_004E,B27013_004M,B27013_005E,B27013_005M,B27013_006E,B27013_006M,B27013_007E,B27013_007M,B27013_008E,B27013_008M,B27013_009E,B27013_009M,B27013_010E,B27013_010M,B27013_011E,B27013_011M,B27013_012E,B27013_012M,B27013_013E,B27013_013M,B27013_014E,B27013_014M,B27013_015E,B27013_015M,B27013_016E,B27013_016M,B27013_017E,B27013_017M,B27013_018E,B27013_018M,B27013_019E,B27013_019M,B27013_020E,B27013_020M,B27013_021E,B27013_021M,B27013_022E,B27013_022M,B27013_023E,B27013_023M,B27013_024E,B27013_024M,B27013_025E,B27013_025M,B27013_026E,B27013_026M,B27013_027E,B27013_027M,B27013_028E,B27013_028M,B27013_029E,B27013_029M,B27013_030E,B27013_030M,B27013_031E,B27013_031M,B27013_032E,B27013_032M,B27013_033E,B27013_033M,B27013_034E,B27013_034M,B27013_035E,B27013_035M,B27013_036E,B27013_036M,B27013_037E,B27013_037M,B27013_038E,B27013_038M,B27013_039E,B27013_039M,B27013_040E,B27013_040M,B27013_041E,B27013_041M,B27013_042E,B27013_042M,B27013_043E,B27013_043M,B27013_044E,B27013_044M,B27013_045E,B27013_045M,B27013_046E,B27013_046M,NAME,B27013_001EA,B27013_001MA,B27013_002MA,B27013_002EA,B27013_003EA,B27013_003MA,B27013_004MA,B27013_004EA,B27013_005EA,B27013_005MA,B27013_006EA,B27013_006MA,B27013_007EA,B27013_007MA,B27013_008MA,B27013_008EA,B27013_009EA,B27013_009MA,B27013_010EA,B27013_010MA,B27013_011EA,B27013_011MA,B27013_012EA,B27013_012MA,B27013_013MA,B27013_013EA,B27013_014EA,B27013_014MA,B27013_015EA,B27013_015MA,B27013_016EA,B27013_016MA,B27013_017MA,B27013_017EA,B27013_018EA,B27013_018MA,B27013_019MA,B27013_019EA,B27013_020EA,B27013_020MA,B27013_021EA,B27013_021MA,B27013_022MA,B27013_022EA,B27013_023EA,B27013_023MA,B27013_024MA,B27013_024EA,B27013_025MA,B27013_025EA,B27013_026EA,B27013_026MA,B27013_027EA,B27013_027MA,B27013_028MA,B27013_028EA,B27013_029EA,B27013_029MA,B27013_030MA,B27013_030EA,B27013_031EA,B27013_031MA,B27013_032EA,B27013_032MA,B27013_033MA,B27013_033EA,B27013_034EA,B27013_034MA,B27013_035MA,B27013_035EA,B27013_036EA,B27013_036MA,B27013_037MA,B27013_037EA,B27013_038EA,B27013_038MA,B27013_039EA,B27013_039MA,B27013_040MA,B27013_040EA,B27013_041MA,B27013_041EA,B27013_042EA,B27013_042MA,B27013_043MA,B27013_043EA,B27013_044EA,B27013_044MA,B27013_045EA,B27013_045MA,B27013_046MA,B27013_046EA,state
0400000US06,28300786,5990,11135482,39916,6548334,30482,6316910,30798,4863114,28796,1453796,21978,231424,5893,169491,5399,61933,3816,4587148,23906,4443247,23133,3663151,25163,780096,14738,143901,5717,110290,5009,33611,2743,7400403,37523,3429631,24965,3171029,23891,1617882,16476,1553147,21292,258602,5954,153315,5207,105287,4616,3970772,28839,3726540,26983,2259704,23520,1466836,17172,244232,6585,154204,4792,90028,4398,9764901,40563,3820668,24348,2328658,23686,910507,13810,1418151,20773,1492010,7387,779640,8760,712370,9643,5944233,30884,3811997,28076,1730180,22389,2081817,21947,2132236,9008,1066124,10433,1066112,11632,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3865758,2996,1751392,14674,1017863,11269,981317,10729,803747,10264,177570,6560,36546,2479,27130,2374,9416,1255,733529,10057,713375,10042,608579,9246,104796,4922,20154,1706,16248,1679,3906,776,1072989,15408,489387,10707,444839,9855,252233,7994,192606,7310,44548,2737,29558,2222,14990,1785,583602,9931,538595,9743,363606,8113,174989,6584,45007,2502,29794,2390,15213,1567,1041377,13314,394838,7642,207281,6583,92304,4379,114977,5300,187557,3332,120211,3493,67346,3061,646539,9944,384756,9699,216530,6880,168226,7152,261783,2242,172645,3697,89138,3142,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2742794,1530,1186018,11334,674002,8214,645013,8106,558988,7340,86025,5303,28989,1786,23481,1534,5508,861,512016,7354,494017,7231,437299,6857,56718,4115,17999,1720,15579,1670,2420,728,744302,11274,311922,7337,276890,7018,176829,5336,100061,5052,35032,2275,25345,1990,9687,1271,432380,7152,393982,7020,280601,6620,113381,4934,38398,2212,28197,2156,10201,1342,812474,10782,324323,7265,169330,6637,70613,4546,98717,4692,154993,2408,100930,2660,54063,2620,488151,7230,253927,6504,138366,5086,115561,5293,234224,3031,150625,3840,83599,3411,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,698421,815,300009,5999,160699,4371,155480,4259,133215,3675,22265,2381,5219,872,4533,741,686,311,139310,3723,134531,3678,118960,3378,15571,2142,4779,825,3874,699,905,537,174916,5166,76303,3964,66542,3846,41181,2561,25361,2591,9761,1067,7209,894,2552,661,98613,4243,89138,3851,57389,3205,31749,2797,9475,1283,6506,1027,2969,762,223496,4891,93094,3387,46872,3188,21657,2208,25215,2858,46222,1467,34667,1608,11555,1131,130402,4078,68654,3931,34717,2332,33937,3307,61748,1565,45117,1913,16631,1547,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512198,740,245250,5310,122802,3730,117392,3603,104099,3587,13293,2230,5410,913,4644,819,766,332,122448,3880,117694,3806,104838,3852,12856,1606,4754,841,4172,784,582,324,122796,5231,53185,3554,49031,3411,31641,2878,17390,2391,4154,817,2587,603,1567,670,69611,3850,65553,3746,46053,2966,19500,2127,4058,928,3044,742,1014,453,144152,5914,60121,3628,41475,3183,17372,2326,24103,2647,18646,1093,12091,1103,6555,942,84031,3810,51245,3401,20724,2442,30521,2817,32786,1247,21373,1517,11413,1304,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15019927,4591,5749328,29253,3159004,20638,3028187,21095,2229666,20510,798521,17036,130817,5679,88263,4677,42554,2919,2590324,19814,2496810,19297,1973141,18625,523669,14158,93514,4242,64148,3322,29366,2335,3395137,26253,1574484,17274,1394740,17221,629476,13107,765264,15549,179744,5513,101868,4514,77876,4623,1820653,19579,1653866,18366,917883,15360,735983,16578,166787,6011,93126,4479,73661,4780,5875462,28487,2442650,19356,1210313,18215,432083,10209,778230,17093,1232337,7605,683090,9506,549247,8986,3432812,20992,1794697,20976,788297,14957,1006400,18141,1638115,7795,866165,10589,771950,11057,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7227250,5374,3060195,22590,1705077,15178,1652421,14832,1319807,16507,332614,10202,52656,3484,39653,2751,13003,1781,1355118,16841,1320863,16705,1109188,15574,211675,8015,34255,2498,27146,2256,7109,1319,1633984,19634,731941,13593,671146,12211,349765,9268,321381,9534,60795,3414,40241,2922,20554,2376,902043,13580,845921,13629,522199,12718,323722,10180,56122,2833,37144,2309,18978,1993,2533071,22858,981266,13637,615729,12768,239160,8692,376569,9996,365537,4719,222405,5615,143132,4288,1551805,16742,1011197,17011,471421,12037,539776,13403,540608,4352,304545,6618,236063,6464,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039143,2521,446687,7474,246341,5702,232619,5592,215385,5477,17234,2322,13722,1297,12218,1171,1504,626,200346,4611,190356,4072,177032,3783,13324,1996,9990,1207,9145,1220,845,367,253800,6802,118655,4946,106790,4793,73575,3941,33215,3008,11865,1185,9314,1084,2551,556,135145,4332,124814,4168,91638,3797,33176,2481,10331,1238,8141,1125,2190,531,338656,6337,139046,4307,73298,4024,34420,2730,38878,3171,65748,1777,46913,2249,18835,1807,199610,4499,105733,4154,62143,3443,43590,3405,93877,1668,65005,2362,28872,2005,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1151756,1357,455325,8119,272965,5831,264290,5722,212608,6109,51682,3661,8675,1109,6883,933,1792,526,182360,5882,177244,5959,149069,5165,28175,2845,5116,948,4237,795,879,400,339266,9274,151962,5354,135637,5515,78100,4758,57537,3426,16325,1571,10682,1263,5643,1054,187304,6513,175261,6079,111109,5311,64152,4250,12043,1669,8497,1371,3546,777,357165,7414,142726,4042,70857,4000,29064,2533,41793,3426,71869,1846,46273,2309,25596,2307,214439,5440,121670,5352,67271,3890,54399,3702,92769,2251,61461,2511,31308,2504,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9639316,2624,4200644,20759,2373029,13901,2294327,14335,1924238,14045,370089,9870,78702,3557,62748,3082,15954,1810,1827615,15408,1770471,15346,1517661,12725,252810,8146,57144,3248,46510,3207,10634,1379,2413214,22044,1067545,13252,967577,13057,571038,10714,396539,9542,99968,4272,73551,3556,26417,2176,1345669,15404,1245962,14828,834840,12602,411122,9666,99707,3968,71433,3573,28274,2156,3025458,18803,1203295,10924,678257,10465,278156,7006,400101,11014,525038,5011,336202,5057,188836,4653,1822163,14812,1049911,13666,521528,10470,528383,10401,772252,5401,488618,6356,283634,6581,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
