GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001EA,B17020H_001MA,B17020H_002EA,B17020H_002MA,B17020H_003MA,B17020H_003EA,B17020H_004MA,B17020H_004EA,B17020H_005MA,B17020H_005EA,B17020H_006EA,B17020H_006MA,B17020H_007EA,B17020H_007MA,B17020H_008MA,B17020H_008EA,B17020H_009MA,B17020H_009EA,B17020H_010EA,B17020H_010MA,B17020H_011EA,B17020H_011MA,B17020H_012EA,B17020H_012MA,B17020H_013EA,B17020H_013MA,B17020H_014MA,B17020H_014EA,B17020H_015EA,B17020H_015MA,B17020H_016MA,B17020H_016EA,B17020H_017EA,B17020H_017MA,state
0400000US06,14632023,9650,1531389,30097,76232,6588,15242,2249,92226,6105,94479,6419,1049191,18979,94737,4414,109282,5553,13100634,31837,547887,7031,113841,5284,705718,10911,780379,11455,8411790,19979,1391268,4706,1149751,6147,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3532079,3947,333267,11145,21112,3227,5201,1116,21137,2420,20750,2472,233581,7518,16261,1951,15225,1458,3198812,11743,162532,3313,36417,2966,212251,4953,216199,4968,2099546,7812,279237,2258,192630,1646,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2444148,3474,141953,8757,7211,1714,1279,607,8536,1865,8646,1853,94158,5936,9581,1456,12542,1933,2302195,9103,96082,1835,23166,2209,149196,4354,172763,3741,1441289,6290,224243,1546,195456,2110,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,574174,2125,50469,5010,3450,1241,647,428,2945,946,3264,1113,32985,3633,3750,890,3428,676,523705,4876,23079,1325,5269,970,31490,2018,33787,1968,325488,3670,60384,1066,44208,745,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,209392,1702,15451,2812,43,70,34,57,74,92,170,174,14362,2701,267,212,501,349,193941,3117,10394,137,1182,436,6105,694,3620,582,150952,2935,13102,244,8586,357,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10756133,8215,1274964,25569,79239,4600,15524,2405,90142,5975,86724,5130,819107,18583,90868,4991,93360,5566,9481169,25521,366714,5042,73200,4773,487611,10790,555970,9531,5550229,18316,1317534,5351,1129911,5546,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5346836,4688,658504,20198,46909,4287,11602,2135,54161,5009,52243,3951,423663,13148,36069,3206,33857,2876,4688332,20161,240153,4295,54990,3665,322261,6370,355618,7007,2962036,13038,458497,3471,294777,3171,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,304193,1565,32946,3898,2197,820,326,211,2028,908,2118,862,23611,2725,1864,484,802,375,271247,4215,11028,936,2298,639,10920,1335,8956,949,188939,2966,30625,526,18481,609,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1308186,2050,181582,9822,17581,2156,4266,1305,16441,3077,16623,2719,108528,5641,9642,2352,8501,1342,1126604,9691,67600,2195,13260,1888,91109,3552,94137,4393,682409,5597,104839,2482,73250,1385,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7922518,5615,726032,19373,53707,4135,9140,1444,57993,4785,50901,4111,468489,11993,40936,2881,44866,2829,7196486,21010,351911,4769,71570,4013,467254,6293,521672,6803,4582592,12790,656492,3049,544995,3864,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5145873,5398,635369,14990,60105,3780,11519,1643,62588,4009,54546,4218,397023,10136,24464,2190,25124,2155,4510504,16465,235286,3777,51744,3629,320092,6249,349442,5783,2825778,10679,415511,2672,312651,2448,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2623523,2321,282840,10152,22498,2280,4574,952,24729,2767,18869,2442,179461,5952,13527,1454,19182,1632,2340683,10390,131319,2321,26211,2190,170046,4408,176882,3942,1436921,6065,214665,1590,184639,1682,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2177836,2151,241622,10938,21361,2444,4079,1068,22807,2826,19042,2340,153327,6148,9296,1494,11710,1351,1936214,11337,109283,2529,23786,1759,137730,3981,145246,3883,1199270,6388,173398,1794,147501,1673,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3661133,3368,633432,19560,54541,3501,12277,1443,58826,4075,55558,4116,387891,12319,34565,2239,29774,2083,3027701,19570,157730,3629,34468,2485,199022,6156,227140,5176,1922648,12361,291809,2246,194884,2210,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2688658,3711,333814,13903,26461,3122,5009,1181,28197,2837,27942,3324,210698,9519,18285,2186,17222,1723,2354844,13937,127179,3263,27316,2709,158450,4878,172813,4480,1486499,9586,223232,2322,159355,2189,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
