GEO_ID,C17020I_001E,C17020I_001M,C17020I_002E,C17020I_002M,C17020I_003E,C17020I_003M,C17020I_004E,C17020I_004M,C17020I_005E,C17020I_005M,C17020I_006E,C17020I_006M,C17020I_007E,C17020I_007M,C17020I_008E,C17020I_008M,C17020I_009E,C17020I_009M,NAME,C17020I_001EA,C17020I_001MA,C17020I_002EA,C17020I_002MA,C17020I_003MA,C17020I_003EA,C17020I_004MA,C17020I_004EA,C17020I_005EA,C17020I_005MA,C17020I_006EA,C17020I_006MA,C17020I_007EA,C17020I_007MA,C17020I_008MA,C17020I_008EA,C17020I_009MA,C17020I_009EA,state
0400000US06,14280241,7863,3420051,47555,1503860,26340,1782599,25249,133592,4801,10860190,48240,3202486,25995,6970774,26016,686930,5278,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1060796,2488,262610,13912,117791,8332,133458,6985,11361,1455,798186,13749,257294,8340,493153,7053,47739,1593,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,496214,1504,136942,8304,56750,4227,72949,5232,7243,1177,359272,8170,107106,4295,234528,5165,17638,1512,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,77200,536,18153,3555,8993,2247,8814,1654,346,219,59047,3592,19434,2237,36969,1728,2644,382,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61358,571,13550,2668,4770,1270,8484,1598,296,241,47808,2685,10091,1271,34797,1590,2920,246,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4418500,4923,988945,29912,350407,13914,535821,18686,102717,5811,3429555,28909,776636,13128,2284721,18504,368198,5745,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,883949,3950,283395,17776,144097,10266,135718,9351,3580,1104,600554,17458,190323,9658,387500,9723,22731,2334,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,126195,1311,24045,4063,11984,2704,11709,2026,352,204,102150,4112,34514,2720,62003,2268,5633,474,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,180727,772,51598,7311,26383,4234,23683,3696,1532,611,129129,7275,46493,4185,77856,3591,4780,1039,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2066598,3493,442477,20221,200870,11865,226311,9610,15296,1959,1624121,20723,521290,12067,1025593,10087,77238,2330,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,399798,1612,114605,8328,60307,4982,52340,4520,1958,625,285193,8464,95884,5197,176337,4708,12972,1337,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,155489,1767,40364,5245,20094,3299,19707,2472,563,400,115125,5198,44862,2875,66435,3080,3828,1209,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,307847,1209,80140,6861,40754,3819,38296,3940,1090,374,227707,6879,82691,3867,135866,3981,9150,994,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,129206,1790,40234,5074,19654,3217,19925,2676,655,366,88972,5492,28227,3213,56952,3266,3793,908,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,200888,1430,45881,5374,17197,2812,25538,3173,3146,942,155007,5494,42548,2865,101360,3355,11099,1048,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17156,751,5035,1452,2241,811,2570,938,224,222,12121,1498,4087,927,7419,916,615,268,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,500783,1454,67666,7697,26989,3897,38537,4613,2140,852,433117,7932,132690,3982,283333,4787,17094,1217,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,650568,2526,201088,11031,82124,5425,107855,6461,11109,1404,449480,10718,132747,5325,296486,6418,20247,1522,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
