GEO_ID,C27002_001E,C27002_001M,C27002_002E,C27002_002M,C27002_003E,C27002_003M,C27002_004E,C27002_004M,C27002_005E,C27002_005M,C27002_006E,C27002_006M,C27002_007E,C27002_007M,C27002_008E,C27002_008M,C27002_009E,C27002_009M,C27002_010E,C27002_010M,C27002_011E,C27002_011M,C27002_012E,C27002_012M,C27002_013E,C27002_013M,C27002_014E,C27002_014M,C27002_015E,C27002_015M,C27002_016E,C27002_016M,C27002_017E,C27002_017M,C27002_018E,C27002_018M,C27002_019E,C27002_019M,C27002_020E,C27002_020M,C27002_021E,C27002_021M,NAME,C27002_001EA,C27002_001MA,C27002_002MA,C27002_002EA,C27002_003MA,C27002_003EA,C27002_004EA,C27002_004MA,C27002_005EA,C27002_005MA,C27002_006EA,C27002_006MA,C27002_007MA,C27002_007EA,C27002_008MA,C27002_008EA,C27002_009MA,C27002_009EA,C27002_010EA,C27002_010MA,C27002_011EA,C27002_011MA,C27002_012EA,C27002_012MA,C27002_013MA,C27002_013EA,C27002_014MA,C27002_014EA,C27002_015EA,C27002_015MA,C27002_016EA,C27002_016MA,C27002_017EA,C27002_017MA,C27002_018EA,C27002_018MA,C27002_019EA,C27002_019MA,C27002_020MA,C27002_020EA,C27002_021MA,C27002_021EA,state
0400000US06,37524274,5678,18510580,6787,4711947,3872,2562494,24244,2149453,24409,11816597,6723,7391503,30012,4425094,28904,1982036,3012,1102446,10363,879590,9983,19013694,5371,4511541,3767,2466854,16846,2044687,16561,11981784,4242,7653035,31302,4328749,31214,2520369,2794,1330618,10980,1189751,11439,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,2528913,4620,626825,2688,393181,7683,233644,7315,1633437,3669,1148284,10768,485153,10399,268651,1391,176899,3505,91752,3349,2565853,3561,602183,2712,373511,7723,228672,7811,1636726,2764,1188715,9749,448011,9527,326944,1422,218687,3266,108257,3110,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,1715299,2409,405052,1503,276544,5413,128508,5357,1091233,2202,806430,7843,284803,7485,219014,1191,149756,3095,69258,2838,1819320,2365,386773,1500,259820,5301,126953,5338,1141926,1728,856266,7016,285660,7078,290621,1391,194401,3884,96220,3715,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,434398,1313,104302,816,64429,3127,39873,3243,268894,960,196053,3535,72841,3399,61202,569,46409,1332,14793,1330,468517,1018,100192,812,62907,3019,37285,3044,292323,787,211066,3990,81257,4060,76002,683,55497,1792,20505,1730,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,290874,931,54766,360,29745,2205,25021,2178,207898,794,153112,3896,54786,3744,28210,316,19322,986,8888,1040,330506,735,54416,271,29702,2264,24714,2233,234492,636,171615,3375,62877,3450,41598,482,28589,1361,13009,1412,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,9208249,7257,2032111,5212,1021362,13452,1010749,14474,5633240,5919,3291225,25000,2342015,25546,1542898,3018,873221,10443,669677,9857,9802821,7129,1959032,5430,983436,15810,975596,16047,5945373,4955,3679321,21803,2266052,22811,1898416,3412,1023439,11074,874977,11626,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,4691533,8342,1273249,6100,687107,13191,586142,14656,2939296,6247,1908732,15302,1030564,15147,478988,2652,302299,5251,176689,4868,5027878,8176,1218912,6320,654446,13045,564466,12270,3177981,6012,2102808,13797,1075173,14150,630985,2925,368835,6253,262150,6776,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,659117,2704,155075,898,107140,3209,47935,3150,412707,2804,323380,5190,89327,4606,91335,939,68445,2018,22890,1937,682591,1728,147490,907,100278,3577,47212,3615,420903,1332,330813,3665,90090,3748,114198,669,82291,2091,31907,2131,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,784512,3345,216859,2382,135491,4694,81368,4874,470784,2062,319772,5209,151012,5311,96869,875,63838,2417,33031,2418,791170,3288,207067,2312,123207,5013,83860,4810,474175,2041,327449,5568,146726,5208,109928,1077,74195,2431,35733,2338,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,6204342,5323,1560473,3036,931556,11034,628917,11328,3940161,4352,2773432,14879,1166729,14923,703708,1879,472501,5001,231207,4807,6494029,5389,1498582,3071,888457,11603,610125,11629,4066344,4048,2874029,13505,1192315,14034,929103,2947,606561,6764,322542,6766,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
