GEO_ID,C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,C17002_005E,C17002_005M,C17002_006E,C17002_006M,C17002_007E,C17002_007M,C17002_008E,C17002_008M,NAME,C17002_001MA,C17002_001EA,C17002_002EA,C17002_002MA,C17002_003EA,C17002_003MA,C17002_004EA,C17002_004MA,C17002_005MA,C17002_005EA,C17002_006MA,C17002_006EA,C17002_007EA,C17002_007MA,C17002_008EA,C17002_008MA,state
0400000US06,37303266,7131,2766368,41810,3558951,56597,2000211,43861,1958755,43237,2558497,53480,1032754,32736,23427730,85995,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5069071,2557,309929,14474,384913,15685,205835,13208,225299,12124,310856,13930,116462,8689,3515777,24157,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3484178,1411,172223,10672,200167,12564,111459,10041,116100,8770,167470,10820,61228,6492,2655531,18152,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,890738,1221,52029,5562,55278,5539,31042,4540,46156,6463,59266,6132,16801,3109,630166,10365,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,598151,630,62040,6255,46692,5055,24920,4317,26617,4546,20411,3644,14705,3705,402766,8589,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18912479,5600,1418025,38968,1820556,37844,1049781,29831,1094992,31590,1459857,37856,557851,22437,11511417,61782,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9652596,3256,851775,27255,996758,34022,526618,24196,532304,21147,681593,26681,272629,16600,5790919,43190,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1356822,1094,78683,7184,78560,7634,47152,5761,45016,5836,80790,7422,33623,5118,992998,13150,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1565511,1631,96009,8867,152485,11455,85772,7266,100610,9952,131476,9319,58968,6635,940191,15725,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12573676,4182,820554,21637,1030008,31122,540323,21122,563380,18438,788125,23342,325993,18061,8505293,37694,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6342423,3178,453792,16596,536533,19647,298900,13401,326865,15136,445111,16770,184334,11578,4096888,30293,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2974225,2122,159392,8872,218092,9295,115116,6618,131817,7619,195970,8361,85688,6180,2068150,15428,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2802207,2002,157783,8710,233951,10133,128906,7991,139817,9682,190636,11066,81167,7968,1869947,18307,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
