GEO_ID,B19081_001E,B19081_001M,B19081_002E,B19081_002M,B19081_003E,B19081_003M,B19081_004E,B19081_004M,B19081_005E,B19081_005M,B19081_006E,B19081_006M,NAME,B19081_001MA,B19081_001EA,B19081_002MA,B19081_002EA,B19081_003MA,B19081_003EA,B19081_004EA,B19081_004MA,B19081_005EA,B19081_005MA,B19081_006MA,B19081_006EA,state
0400000US06,12521,102,33835,175,58604,267,94597,383,211240,1249,369444,4155,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,13368,265,34477,436,57158,587,88465,786,188979,3241,327102,9256,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,13928,326,38840,548,67388,785,105935,1097,247890,6100,466734,20663,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,14052,706,35549,1090,58365,1420,88588,1727,175747,5419,293189,16881,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9877,892,34812,1532,66916,2256,115082,3419,284111,13025,531769,44496,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10543,148,27195,222,45195,309,71662,487,166550,1691,306752,5231,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9713,185,27382,296,47351,415,75543,634,168126,1964,293650,5969,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,14549,789,40741,1146,66454,1404,98738,1509,188578,4693,300194,13679,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,12063,479,28396,609,45801,808,68879,1131,138442,4535,229548,13474,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11852,168,32288,239,55431,346,86919,527,189518,2172,332828,7579,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,11342,211,28875,300,47168,414,72509,533,146468,2014,246148,6610,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12490,296,31012,456,50849,535,76592,601,151677,2580,253994,8378,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12565,296,30829,451,50144,570,77027,774,162523,3551,283874,11637,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9120,201,24062,362,41939,471,67508,651,141061,2061,238992,6751,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9013,194,24061,358,43188,569,71582,774,156710,3017,271493,9890,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11407,398,28396,566,46873,786,71575,1093,147432,3961,252813,13886,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,15822,282,43097,458,71416,689,110288,946,223401,2630,370973,8700,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
