GEO_ID,C21001H_001E,C21001H_001M,C21001H_002E,C21001H_002M,C21001H_003E,C21001H_003M,C21001H_004E,C21001H_004M,C21001H_005E,C21001H_005M,C21001H_006E,C21001H_006M,C21001H_007E,C21001H_007M,C21001H_008E,C21001H_008M,C21001H_009E,C21001H_009M,C21001H_010E,C21001H_010M,C21001H_011E,C21001H_011M,C21001H_012E,C21001H_012M,C21001H_013E,C21001H_013M,C21001H_014E,C21001H_014M,C21001H_015E,C21001H_015M,NAME,C21001H_001MA,C21001H_001EA,C21001H_002MA,C21001H_002EA,C21001H_003EA,C21001H_003MA,C21001H_004EA,C21001H_004MA,C21001H_005MA,C21001H_005EA,C21001H_006MA,C21001H_006EA,C21001H_007MA,C21001H_007EA,C21001H_008MA,C21001H_008EA,C21001H_009EA,C21001H_009MA,C21001H_010EA,C21001H_010MA,C21001H_011EA,C21001H_011MA,C21001H_012MA,C21001H_012EA,C21001H_013MA,C21001H_013EA,C21001H_014EA,C21001H_014MA,C21001H_015EA,C21001H_015MA,state
0400000US06,12362453,7043,6091741,4782,4839693,4720,518802,9902,4320891,11405,1252048,782,674725,8286,577323,8202,6270712,3956,4720378,3585,56499,3343,4663879,4890,1550334,983,22588,2005,1527746,2090,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2871935,3128,1413548,2949,1181215,2937,163976,5916,1017239,6355,232333,317,135570,3264,96763,3290,1458387,1118,1174951,1083,27861,2408,1147090,2753,283436,266,5642,1013,277794,1057,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2035728,2362,975087,1845,777449,1822,71770,3846,705679,4467,197638,180,106742,2983,90896,2994,1060641,1235,797016,1195,5797,1066,791219,1741,263625,300,2431,596,261194,668,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,481501,1565,229490,1110,178252,1069,24074,2362,154178,2351,51238,239,28884,1229,22354,1255,252011,631,188429,506,2657,795,185772,888,63582,344,1596,607,61986,717,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,198494,1068,96892,910,86208,910,4642,1157,81566,1187,10684,197,3983,676,6701,676,101602,469,89547,463,1095,626,88452,781,12055,65,368,249,11687,259,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9149846,5359,4432289,3811,3208195,3806,480132,11680,2728063,12273,1224094,665,706274,8114,517820,8159,4717557,3003,3261328,2850,58087,4699,3203241,5777,1456229,650,21272,2002,1434957,1991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4277529,3373,2068118,2932,1696884,2913,218726,6396,1478158,7496,371234,286,206529,4725,164705,4684,2209411,1492,1737752,1386,24542,2745,1713210,3081,471659,469,6713,1524,464946,1646,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254153,1905,132102,1783,105299,1780,21794,1855,83505,2274,26803,39,14552,1141,12251,1138,122051,545,95870,530,4096,903,91774,1024,26181,153,700,319,25481,351,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1003809,1062,494007,804,400517,797,56916,3841,343601,3889,93490,130,51165,2454,42325,2458,509802,505,403092,401,6681,1318,396411,1423,106710,298,741,296,105969,439,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6475756,3638,3130552,3072,2557508,3055,263418,6414,2294090,6979,573044,499,298967,4138,274077,4258,3345204,1938,2580657,1882,24976,2448,2555681,3083,764547,367,5743,989,758804,1040,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
