GEO_ID,B05004_001E,B05004_001M,B05004_002E,B05004_002M,B05004_003E,B05004_003M,B05004_004E,B05004_004M,B05004_005E,B05004_005M,B05004_006E,B05004_006M,B05004_007E,B05004_007M,B05004_008E,B05004_008M,B05004_009E,B05004_009M,B05004_010E,B05004_010M,B05004_011E,B05004_011M,B05004_012E,B05004_012M,B05004_013E,B05004_013M,B05004_014E,B05004_014M,B05004_015E,B05004_015M,NAME,B05004_001EA,B05004_001MA,B05004_002MA,B05004_002EA,B05004_003MA,B05004_003EA,B05004_004MA,B05004_004EA,B05004_005MA,B05004_005EA,B05004_006EA,B05004_006MA,B05004_007EA,B05004_007MA,B05004_008MA,B05004_008EA,B05004_009MA,B05004_009EA,B05004_010MA,B05004_010EA,B05004_011MA,B05004_011EA,B05004_012EA,B05004_012MA,B05004_013MA,B05004_013EA,B05004_014MA,B05004_014EA,B05004_015MA,B05004_015EA,state
0400000US01,38.2,0.2,36.7,0.3,39.6,0.2,38.4,0.1,36.9,0.2,39.7,0.2,36.2,0.6,35.3,0.9,37.3,1.3,46.5,2.9,44.2,4.0,48.8,3.8,34.1,1.0,32.7,1.0,35.0,0.8,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,33.8,0.3,33.5,0.4,34.2,0.4,32.9,0.3,32.8,0.4,33.1,0.4,42.6,1.4,42.8,1.6,42.4,1.9,46.6,3.5,47.0,4.3,46.2,4.7,38.3,3.8,36.6,6.7,38.9,3.3,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36.6,0.1,35.3,0.1,38.0,0.2,34.6,0.1,33.3,0.2,35.9,0.3,42.6,0.4,41.7,0.5,43.5,0.5,50.0,0.5,49.4,0.8,50.3,0.6,38.4,0.4,37.6,0.6,39.3,0.6,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,37.6,0.2,36.2,0.2,39.0,0.3,37.7,0.2,36.3,0.3,39.2,0.3,36.5,0.9,34.9,1.4,37.9,1.2,44.9,2.1,43.1,2.8,46.6,1.9,33.3,0.8,32.5,1.3,34.4,1.2,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35.5,0.1,34.4,0.1,36.7,0.1,29.4,0.1,28.6,0.1,30.2,0.2,44.4,0.1,43.5,0.1,45.3,0.2,51.3,0.1,50.8,0.2,51.8,0.2,38.6,0.2,37.9,0.2,39.5,0.2,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36.2,0.2,35.3,0.1,37.4,0.1,35.5,0.2,34.6,0.2,36.6,0.2,39.8,0.5,38.8,0.7,40.6,0.5,46.8,0.9,46.4,1.3,47.0,1.0,35.8,0.5,35.2,0.5,36.6,0.9,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40.4,0.2,38.8,0.2,41.8,0.2,39.7,0.3,37.7,0.3,41.2,0.2,43.1,0.6,41.7,1.1,44.2,0.9,50.3,0.8,50.1,1.1,50.4,1.0,36.8,0.7,36.3,0.6,37.5,0.8,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,39.2,0.3,37.8,0.4,40.4,0.4,38.8,0.4,37.3,0.5,40.2,0.5,41.0,0.8,40.4,1.1,41.6,1.1,48.7,1.7,48.8,2.2,48.6,2.8,35.2,1.1,34.4,1.4,36.5,2.1,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33.7,0.2,33.4,0.3,33.8,0.2,32.4,0.3,32.1,0.3,32.8,0.5,38.4,1.4,38.7,1.8,38.0,1.7,45.4,2.4,44.4,2.9,46.2,3.1,35.0,1.1,35.4,1.1,34.5,1.3,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,41.1,0.2,39.9,0.2,42.5,0.1,38.9,0.2,37.3,0.2,40.3,0.1,46.8,0.2,45.5,0.3,47.9,0.2,52.6,0.3,52.1,0.4,53.0,0.5,40.1,0.3,39.1,0.5,41.0,0.4,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,35.7,0.1,34.3,0.2,37.0,0.2,35.0,0.1,33.4,0.2,36.3,0.3,38.9,0.3,37.9,0.4,39.8,0.5,46.1,0.7,46.5,0.8,45.7,0.8,35.2,0.4,34.4,0.4,36.2,0.6,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,38.3,0.2,36.4,0.2,40.0,0.3,34.9,0.4,34.1,0.4,35.8,0.4,48.2,0.8,46.0,1.5,49.3,0.8,53.7,0.8,52.9,1.3,54.2,1.1,40.0,0.9,37.9,1.7,41.4,1.5,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
