GEO_ID,C24010G_001E,C24010G_001M,C24010G_002E,C24010G_002M,C24010G_003E,C24010G_003M,C24010G_004E,C24010G_004M,C24010G_005E,C24010G_005M,C24010G_006E,C24010G_006M,C24010G_007E,C24010G_007M,C24010G_008E,C24010G_008M,C24010G_009E,C24010G_009M,C24010G_010E,C24010G_010M,C24010G_011E,C24010G_011M,C24010G_012E,C24010G_012M,C24010G_013E,C24010G_013M,NAME,C24010G_001EA,C24010G_001MA,C24010G_002EA,C24010G_002MA,C24010G_003EA,C24010G_003MA,C24010G_004MA,C24010G_004EA,C24010G_005MA,C24010G_005EA,C24010G_006EA,C24010G_006MA,C24010G_007EA,C24010G_007MA,C24010G_008EA,C24010G_008MA,C24010G_009MA,C24010G_009EA,C24010G_010MA,C24010G_010EA,C24010G_011EA,C24010G_011MA,C24010G_012EA,C24010G_012MA,C24010G_013EA,C24010G_013MA,state
0400000US06,566500,13674,288144,8555,91528,5617,49952,3593,61487,3515,39191,3242,45986,4098,278356,9415,108567,5740,64466,3580,91727,4786,1636,506,11960,2072,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61758,4037,32639,2922,10247,1437,5840,1254,7187,1423,5341,1383,4024,1393,29119,2484,9769,1329,7420,1366,10255,1591,377,287,1298,484,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,30587,3079,14365,2330,4007,983,3703,1163,3310,1188,1872,769,1473,515,16222,1985,6058,1183,4578,1143,4692,1203,0,193,894,437,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6802,1456,3069,1040,619,390,1041,601,536,364,290,297,583,439,3733,1112,1006,493,1183,676,1413,620,72,120,59,95,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7387,1549,3987,1130,2495,914,491,392,659,328,170,213,172,199,3400,955,2217,680,664,370,519,278,0,197,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,147607,6900,74615,5508,21627,2624,15724,2446,17825,2785,11645,2163,7794,1374,72992,4225,24701,2557,16215,2249,28131,3291,890,457,3055,991,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,55844,5298,28910,3409,8123,1485,4934,1527,6500,1404,5027,1528,4326,1464,26934,3225,9708,1779,5932,1161,9430,2339,442,305,1422,623,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131009,6225,68894,4099,14500,1662,17995,2135,11106,1643,13946,1828,11347,1704,62115,3725,20331,1923,14822,1782,24091,2338,412,231,2459,790,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11099,1647,6325,1131,1239,631,1324,428,1414,712,1446,674,902,426,4774,1119,1612,568,1025,489,1938,749,59,59,140,138,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,82058,5444,39720,3614,10810,1550,7765,1474,7877,1579,5172,965,8096,1368,42338,3203,13508,1882,11639,1730,14336,1780,228,205,2627,737,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,34244,2901,15983,1951,4537,980,3248,1023,1967,540,1550,521,4681,1150,18261,2134,5008,1209,3841,834,7076,1287,65,108,2271,733,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,17769,2233,9282,1516,2298,873,2022,616,1269,569,1646,585,2047,639,8487,1426,1772,612,3085,882,2676,779,148,162,806,512,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29335,3060,13833,2020,3018,1074,2531,725,2999,966,2462,841,2823,712,15502,2016,4575,1128,5787,1393,3975,905,89,91,1076,461,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,21603,2472,10389,1756,1941,541,2647,1157,1762,724,1782,786,2257,661,11214,1718,3989,1048,2209,615,4127,1024,125,140,764,396,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,23513,2803,12989,1924,2927,732,2565,1184,2047,835,3271,957,2179,727,10524,1676,3849,1084,2207,782,3993,925,210,204,265,340,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8195,1173,3894,812,650,366,831,456,651,387,1351,591,411,218,4301,894,1427,522,1215,484,1362,514,82,94,215,239,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,65321,4446,32157,3155,12058,1880,7325,1477,5891,1479,3002,837,3881,959,33164,2844,15201,2068,6825,1277,9817,1626,468,295,853,398,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,72848,5456,37611,4013,9967,1817,9000,1555,6334,1659,4387,1119,7923,1636,35237,2728,12102,1653,10584,1401,10219,1493,574,418,1758,647,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,63968,3699,30853,2624,9312,1444,5964,1063,5997,1093,3361,754,6219,1024,33115,2502,9381,1379,10018,1587,11260,1484,271,190,2185,696,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,39106,2808,18542,2070,5310,941,5171,1148,2257,739,1496,508,4308,1068,20564,1826,6172,1108,5557,938,6940,1093,254,190,1641,662,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,7321,1655,3621,1428,1210,657,631,367,1030,712,340,309,410,369,3700,839,1243,497,961,445,1212,435,0,198,284,287,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
