GEO_ID,B01002B_001E,B01002B_001M,B01002B_002E,B01002B_002M,B01002B_003E,B01002B_003M,NAME,B01002B_001MA,B01002B_001EA,B01002B_002EA,B01002B_002MA,B01002B_003EA,B01002B_003MA,state
0400000US06,35.4,0.3,33.9,0.4,37.0,0.4,California,null,null,null,null,null,null,06
0400000US08,31.1,0.6,31.1,0.7,31.1,0.8,Colorado,null,null,null,null,null,null,08
0400000US09,33.0,0.6,30.4,0.6,34.9,0.7,Connecticut,null,null,null,null,null,null,09
0400000US10,33.5,0.5,31.6,1.1,35.7,0.8,Delaware,null,null,null,null,null,null,10
0400000US11,37.2,0.5,35.2,0.4,39.2,0.6,District of Columbia,null,null,null,null,null,null,11
0400000US12,31.6,0.2,30.3,0.3,32.8,0.2,Florida,null,null,null,null,null,null,12
0400000US13,32.1,0.2,30.1,0.2,33.9,0.3,Georgia,null,null,null,null,null,null,13
0400000US15,28.7,0.8,29.2,1.0,28.0,2.9,Hawaii,null,null,null,null,null,null,15
0400000US16,26.1,5.6,27.5,15.9,22.7,6.5,Idaho,null,null,null,null,null,null,16
0400000US17,33.5,0.3,31.3,0.3,35.4,0.3,Illinois,null,null,null,null,null,null,17
0400000US18,31.7,0.4,30.3,0.6,33.1,0.5,Indiana,null,null,null,null,null,null,18
0400000US19,27.3,1.7,27.2,1.6,27.9,2.9,Iowa,null,null,null,null,null,null,19
0400000US20,31.5,1.1,30.7,1.2,32.1,1.1,Kansas,null,null,null,null,null,null,20
0400000US21,32.2,0.7,30.7,0.7,33.7,0.7,Kentucky,null,null,null,null,null,null,21
0400000US22,31.4,0.2,29.6,0.3,32.8,0.3,Louisiana,null,null,null,null,null,null,22
0400000US23,27.3,3.9,28.3,2.4,22.6,4.7,Maine,null,null,null,null,null,null,23
0400000US24,35.3,0.2,33.0,0.3,37.3,0.3,Maryland,null,null,null,null,null,null,24
0400000US25,31.3,0.5,29.7,0.7,32.8,0.6,Massachusetts,null,null,null,null,null,null,25
0400000US26,33.6,0.3,31.5,0.4,35.9,0.3,Michigan,null,null,null,null,null,null,26
0400000US27,27.5,0.6,27.6,0.6,27.5,0.8,Minnesota,null,null,null,null,null,null,27
0400000US28,31.0,0.3,28.8,0.5,32.8,0.3,Mississippi,null,null,null,null,null,null,28
0400000US29,32.0,0.4,29.8,0.5,34.1,0.5,Missouri,null,null,null,null,null,null,29
0400000US30,34.9,27.8,50.2,11.9,20.3,11.1,Montana,null,null,null,null,null,null,30
0400000US31,28.3,1.1,27.5,1.2,29.4,1.3,Nebraska,null,null,null,null,null,null,31
0400000US32,33.0,0.7,32.6,0.7,33.6,1.2,Nevada,null,null,null,null,null,null,32
0400000US33,26.5,3.9,29.3,7.4,22.8,6.5,New Hampshire,null,null,null,null,null,null,33
0400000US34,35.3,0.2,33.1,0.4,37.1,0.4,New Jersey,null,null,null,null,null,null,34
0400000US35,26.5,2.6,26.4,2.8,27.0,4.4,New Mexico,null,null,null,null,null,null,35
0400000US36,34.9,0.2,32.0,0.3,37.2,0.3,New York,null,null,null,null,null,null,36
0400000US37,34.5,0.3,32.4,0.3,36.2,0.3,North Carolina,null,null,null,null,null,null,37
0400000US38,25.7,4.1,26.9,7.2,23.5,1.9,North Dakota,null,null,null,null,null,null,38
0400000US39,32.9,0.3,31.2,0.3,34.5,0.3,Ohio,null,null,null,null,null,null,39
0400000US40,32.1,0.4,31.3,0.7,32.7,0.6,Oklahoma,null,null,null,null,null,null,40
0400000US41,30.4,2.3,30.8,2.6,29.4,4.0,Oregon,null,null,null,null,null,null,41
0400000US42,32.8,0.3,30.6,0.2,34.7,0.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,30.1,0.9,28.0,2.4,31.3,0.7,Rhode Island,null,null,null,null,null,null,44
0400000US45,33.8,0.2,31.9,0.4,35.9,0.4,South Carolina,null,null,null,null,null,null,45
0400000US46,23.4,3.3,22.2,2.0,25.8,3.8,South Dakota,null,null,null,null,null,null,46
0400000US47,31.9,0.3,30.0,0.3,33.5,0.4,Tennessee,null,null,null,null,null,null,47
0400000US48,32.1,0.2,30.6,0.3,33.5,0.2,Texas,null,null,null,null,null,null,48
0400000US49,25.3,1.8,27.7,3.0,22.8,1.8,Utah,null,null,null,null,null,null,49
0400000US50,22.1,2.0,27.9,3.0,20.7,1.3,Vermont,null,null,null,null,null,null,50
0400000US51,34.6,0.2,32.8,0.4,36.1,0.4,Virginia,null,null,null,null,null,null,51
0400000US53,32.2,0.7,32.3,0.7,31.9,1.4,Washington,null,null,null,null,null,null,53
0400000US54,32.4,2.7,32.7,2.5,31.8,5.2,West Virginia,null,null,null,null,null,null,54
0400000US55,28.2,0.6,27.4,0.7,29.2,0.6,Wisconsin,null,null,null,null,null,null,55
0400000US56,27.3,8.5,29.3,6.3,24.2,6.5,Wyoming,null,null,null,null,null,null,56
0400000US72,40.3,1.1,38.2,1.3,41.7,0.9,Puerto Rico,null,null,null,null,null,null,72
0400000US01,32.8,0.2,31.0,0.4,34.6,0.4,Alabama,null,null,null,null,null,null,01
0400000US02,30.0,1.8,30.0,2.5,30.1,2.5,Alaska,null,null,null,null,null,null,02
0400000US04,30.2,0.7,29.7,0.9,31.0,1.0,Arizona,null,null,null,null,null,null,04
0400000US05,30.8,0.4,28.9,0.5,32.4,0.6,Arkansas,null,null,null,null,null,null,05
