GEO_ID,C19001G_001E,C19001G_001M,C19001G_002E,C19001G_002M,C19001G_003E,C19001G_003M,C19001G_004E,C19001G_004M,C19001G_005E,C19001G_005M,C19001G_006E,C19001G_006M,C19001G_007E,C19001G_007M,C19001G_008E,C19001G_008M,C19001G_009E,C19001G_009M,C19001G_010E,C19001G_010M,C19001G_011E,C19001G_011M,NAME,C19001G_001MA,C19001G_001EA,C19001G_002EA,C19001G_002MA,C19001G_003EA,C19001G_003MA,C19001G_004EA,C19001G_004MA,C19001G_005MA,C19001G_005EA,C19001G_006MA,C19001G_006EA,C19001G_007MA,C19001G_007EA,C19001G_008EA,C19001G_008MA,C19001G_009EA,C19001G_009MA,C19001G_010EA,C19001G_010MA,C19001G_011MA,C19001G_011EA,state
0400000US06,376302,9010,32797,2919,23246,2109,38588,2904,32270,2881,46626,3339,63231,3722,46976,3534,53111,3338,21192,2470,18265,2206,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42680,2939,4453,1150,1837,587,5661,1203,4100,986,6677,1435,8015,1535,4498,924,4352,937,1722,558,1365,515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20589,2194,1733,591,958,558,2141,764,1717,607,3060,967,4319,1066,2454,720,2466,849,1093,533,648,304,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4632,987,763,501,139,185,489,310,382,342,709,516,968,460,531,340,421,305,0,182,230,193,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5081,979,522,356,176,215,322,195,285,263,692,358,731,365,701,349,452,257,482,373,718,367,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,110716,4747,10747,1937,7997,1360,17359,2360,13940,2166,16923,2109,18900,2209,12252,1838,7053,1482,3649,933,1896,657,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,42977,3389,4760,1078,2033,738,5990,1359,6600,1599,6445,1520,7746,1588,3488,948,2906,825,1734,600,1275,678,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69845,3643,4493,984,3161,850,5404,1020,5221,1087,9426,1738,13565,1729,10228,1464,11911,1392,4039,770,2397,582,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8925,1246,642,425,838,406,1194,573,1362,608,1180,499,1851,685,856,570,615,408,286,222,101,107,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,59305,3826,5866,1311,3621,988,7384,1441,6403,1214,8264,1422,10434,1532,6220,1139,6677,1024,2588,1111,1848,587,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,25488,2010,3279,895,2199,581,4698,1131,2480,644,4175,844,4005,901,2050,572,1797,584,652,517,153,182,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11496,1765,1514,684,1147,529,1398,478,1120,459,1859,633,1857,552,1143,446,1335,687,45,81,78,100,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20653,2174,2147,611,1355,494,3291,785,2553,826,3881,1131,3444,839,1870,595,1598,509,163,138,351,260,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19367,1813,3981,853,1118,407,2771,932,1536,466,2005,637,3633,916,2502,897,1370,481,108,133,343,280,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20000,2288,2295,646,1159,378,3189,806,2825,955,3080,933,3928,999,1586,586,1265,578,441,300,232,238,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6635,1225,875,389,648,402,788,438,383,217,1294,566,1335,444,898,334,402,295,12,20,0,155,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,38550,2788,1895,674,1428,498,2542,853,3470,918,4318,931,8446,1826,5220,997,6383,1169,2517,693,2331,635,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,44348,3214,4555,1004,2503,770,5525,1300,3960,979,6636,1407,6865,1304,5196,1180,5218,957,1189,490,2701,960,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,53412,2618,7623,1233,4126,903,8550,1312,6655,1129,7352,1136,7880,1192,4519,870,4321,915,1212,378,1174,546,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,25063,2399,2637,607,1299,470,3490,893,2615,808,3553,822,4789,1110,2608,643,2371,734,940,470,761,347,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,6950,1349,930,462,180,163,1091,486,982,541,1223,555,1271,455,455,342,470,308,25,49,323,281,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,29849,2976,4374,992,2758,711,3969,987,4221,879,4729,1232,4381,1136,2369,562,2018,589,363,238,667,377,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,6939,1051,578,396,971,459,1230,482,802,298,1109,343,1334,402,219,150,343,224,152,131,201,169,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8708,1316,1059,570,676,438,1505,485,1363,408,1117,545,1564,634,645,284,563,269,45,54,171,158,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,24767,2685,1795,536,1296,522,2200,733,3855,1163,3929,928,5397,1427,2903,926,2082,555,499,320,811,468,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,5750,1037,264,225,726,405,218,210,638,370,1022,449,750,455,525,299,1315,488,135,113,157,136,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,49976,2928,4470,853,3016,821,4592,1054,5039,977,5738,1128,7897,1342,5724,1225,7545,1221,3868,767,2087,586,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,16399,1721,2669,789,1117,463,2061,657,1834,570,2582,651,2901,983,1238,461,1227,554,494,216,276,220,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,131429,4749,17067,1919,9652,1356,15604,1715,11858,1733,15609,1662,21537,2370,13950,1881,14631,1697,5976,910,5545,1005,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,47062,3179,7318,1415,3981,1104,7111,1299,4237,877,7125,1212,7801,1566,4624,1190,2680,757,1002,449,1183,428,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,2330,645,177,148,147,176,351,265,410,260,504,348,210,173,350,235,155,126,0,141,26,27,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,57381,4214,10098,1675,5877,1055,9992,1505,5819,1270,8814,1670,6779,1240,4262,1000,3262,807,907,423,1571,577,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,79575,2774,9636,1164,7234,973,10621,1174,8530,1222,13218,1296,13508,1142,8825,1164,5927,871,1088,284,988,372,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,37939,3326,4136,948,2643,688,5270,1211,4702,1247,4383,981,7650,1456,3782,970,4118,949,474,253,781,354,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,53349,3330,8100,1428,4492,946,6179,893,7306,1347,7094,1096,8160,1217,4362,1037,4701,1185,1459,550,1496,595,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,6119,1111,1055,585,867,521,979,353,575,371,660,353,887,392,464,261,279,189,197,203,156,194,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18184,2478,1544,725,2060,849,2096,702,1855,639,3383,967,2870,919,1951,754,1914,632,290,246,221,182,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,2822,717,488,292,195,194,460,265,276,179,567,417,530,289,145,138,59,68,0,147,102,79,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,28579,3319,4304,1007,3622,1051,4444,1209,3629,919,4324,1141,4397,1137,1465,527,1447,590,485,269,462,272,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,149313,5423,14198,1872,9767,1321,19912,2349,17073,2122,20718,2294,23916,2209,15238,2034,17967,2179,5559,1148,4965,1191,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,11864,1656,794,402,574,394,2237,624,1505,647,1764,570,2360,990,1323,451,772,325,281,216,254,216,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
