GEO_ID,B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,NAME,B05003A_001MA,B05003A_001EA,B05003A_002MA,B05003A_002EA,B05003A_003MA,B05003A_003EA,B05003A_004MA,B05003A_004EA,B05003A_005MA,B05003A_005EA,B05003A_006EA,B05003A_006MA,B05003A_007EA,B05003A_007MA,B05003A_008MA,B05003A_008EA,B05003A_009MA,B05003A_009EA,B05003A_010MA,B05003A_010EA,B05003A_011EA,B05003A_011MA,B05003A_012MA,B05003A_012EA,B05003A_013MA,B05003A_013EA,B05003A_014MA,B05003A_014EA,B05003A_015MA,B05003A_015EA,B05003A_016EA,B05003A_016MA,B05003A_017EA,B05003A_017MA,B05003A_018MA,B05003A_018EA,B05003A_019MA,B05003A_019EA,B05003A_020MA,B05003A_020EA,B05003A_021MA,B05003A_021EA,B05003A_022EA,B05003A_022MA,B05003A_023MA,B05003A_023EA,state
0400000US06,23628545,58000,11812634,34476,2717382,16781,2603479,18439,113903,6915,17921,2364,95982,6216,9095252,22737,6973026,22351,2122226,23799,883131,14707,1239095,21441,11815911,30485,2596783,16346,2493470,16526,103313,5881,13400,2414,89913,5534,9219128,20113,7032216,22412,2186912,22300,1010856,16196,1176056,16919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4376673,16745,2190986,8721,501946,4715,491623,4806,10323,1886,1726,620,8597,1739,1689040,5734,1552793,7036,136247,6947,47794,4132,88453,5929,2185687,10077,474026,5633,464672,5311,9354,1789,1021,433,8333,1722,1711661,5578,1574039,6633,137622,6498,57235,3785,80387,5309,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2804972,10799,1364400,6880,287862,3341,280404,3644,7458,1622,1961,787,5497,1446,1076538,5212,961834,6317,114704,6038,58336,3778,56368,4383,1440572,5830,274552,2878,268538,2949,6014,1307,1387,554,4627,1137,1166020,3985,1042897,6205,123123,5534,66540,3882,56583,3876,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,639294,3995,311246,2310,63361,1118,61514,1349,1847,780,948,615,899,479,247885,1738,234032,1792,13853,2096,5928,1082,7925,1572,328048,2520,61022,1502,60168,1496,854,544,301,352,553,418,267026,1613,253336,1771,13690,1833,7032,1328,6658,1337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,250657,4014,123557,2363,13749,918,13133,971,616,442,31,56,585,435,109808,1871,93570,1973,16238,2474,5615,1159,10623,2208,127100,2132,14051,772,13379,797,672,385,202,230,470,298,113049,1747,96550,2047,16499,2186,5619,1024,10880,1850,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14742516,22798,7229755,13852,1390077,7445,1323314,8020,66763,4595,13999,1772,52764,4470,5839678,10285,4723294,17399,1116384,16755,549289,12474,567095,12336,7512761,13815,1323750,7444,1262189,8806,61561,4590,12195,2083,49366,4226,6189011,9642,4952405,14819,1236606,14364,692711,11534,543895,12028,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5992846,16084,2966879,10646,688874,6696,676013,6118,12861,2305,1883,717,10978,2108,2278005,6900,2095552,6931,182453,9418,53255,4275,129198,7655,3025967,8835,656646,5630,644496,5627,12150,2291,2390,943,9760,2093,2369321,5354,2200480,6300,168841,6453,61966,4700,106875,5479,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,347252,2786,190751,1661,23840,1092,23426,1119,414,328,23,37,391,327,166911,1355,154859,2138,12052,1773,6120,1116,5932,1281,156501,1844,22968,1007,22484,1057,484,349,0,177,484,349,133533,1421,122877,1814,10656,1309,5042,941,5614,1074,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1458371,6843,727771,3940,192748,2650,190283,2702,2465,1186,296,281,2169,1179,535023,2486,506615,3261,28408,3376,9737,1895,18671,2566,730600,4339,184497,2393,182751,2366,1746,702,160,160,1586,653,546103,2948,516982,3558,29121,3176,13132,2264,15989,2254,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9358637,24157,4611261,12927,1043744,7006,1021436,7221,22308,2682,5646,1153,16662,2510,3567517,8127,3115375,10603,452142,9969,213112,6817,239030,8770,4747376,13567,996655,7210,974652,7090,22003,3143,5220,1131,16783,2595,3750721,8311,3301686,8869,449035,10127,235100,7710,213935,8052,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5513003,9610,2715818,5555,643300,3949,638767,4175,4533,978,1683,713,2850,764,2072518,4256,2011418,4669,61100,4681,24124,2298,36976,4299,2797185,5854,607352,3483,602567,3521,4785,1350,1130,491,3655,1217,2189833,3543,2130999,4456,58834,4373,25649,2332,33185,3812,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2817947,5797,1388761,3878,321450,2580,318827,2520,2623,724,462,263,2161,671,1067311,2563,1039719,3131,27592,2533,10682,1769,16910,1909,1429186,3496,307993,2343,305944,2235,2049,568,457,251,1592,460,1121193,1969,1092924,2395,28269,2753,12233,1539,16036,1974,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2468884,7141,1223001,3837,300371,2505,296686,2479,3685,1109,932,577,2753,962,922630,2616,877197,2928,45433,3312,15223,1922,30210,3031,1245883,4580,284748,2804,281039,2779,3709,887,739,475,2970,773,961135,2413,917160,2550,43975,2591,15865,1984,28110,2330,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3844617,5968,1889866,3922,436961,2648,433769,2846,3192,1184,1007,686,2185,1003,1452905,2450,1425317,2815,27588,2563,9615,1504,17973,2113,1954751,4180,410638,2529,407238,2738,3400,1036,684,374,2716,984,1544113,2459,1515356,2940,28757,2569,11675,1538,17082,2288,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
