GEO_ID,B18105_001E,B18105_001M,B18105_002E,B18105_002M,B18105_003E,B18105_003M,B18105_004E,B18105_004M,B18105_005E,B18105_005M,B18105_006E,B18105_006M,B18105_007E,B18105_007M,B18105_008E,B18105_008M,B18105_009E,B18105_009M,B18105_010E,B18105_010M,B18105_011E,B18105_011M,B18105_012E,B18105_012M,B18105_013E,B18105_013M,B18105_014E,B18105_014M,B18105_015E,B18105_015M,B18105_016E,B18105_016M,B18105_017E,B18105_017M,B18105_018E,B18105_018M,B18105_019E,B18105_019M,B18105_020E,B18105_020M,B18105_021E,B18105_021M,B18105_022E,B18105_022M,B18105_023E,B18105_023M,B18105_024E,B18105_024M,B18105_025E,B18105_025M,B18105_026E,B18105_026M,B18105_027E,B18105_027M,B18105_028E,B18105_028M,B18105_029E,B18105_029M,B18105_030E,B18105_030M,B18105_031E,B18105_031M,B18105_032E,B18105_032M,B18105_033E,B18105_033M,NAME,B18105_001EA,B18105_001MA,B18105_002MA,B18105_002EA,B18105_003MA,B18105_003EA,B18105_004EA,B18105_004MA,B18105_005EA,B18105_005MA,B18105_006EA,B18105_006MA,B18105_007MA,B18105_007EA,B18105_008MA,B18105_008EA,B18105_009EA,B18105_009MA,B18105_010MA,B18105_010EA,B18105_011EA,B18105_011MA,B18105_012EA,B18105_012MA,B18105_013MA,B18105_013EA,B18105_014EA,B18105_014MA,B18105_015EA,B18105_015MA,B18105_016EA,B18105_016MA,B18105_017EA,B18105_017MA,B18105_018MA,B18105_018EA,B18105_019MA,B18105_019EA,B18105_020EA,B18105_020MA,B18105_021EA,B18105_021MA,B18105_022EA,B18105_022MA,B18105_023EA,B18105_023MA,B18105_024EA,B18105_024MA,B18105_025EA,B18105_025MA,B18105_026EA,B18105_026MA,B18105_027EA,B18105_027MA,B18105_028EA,B18105_028MA,B18105_029MA,B18105_029EA,B18105_030MA,B18105_030EA,B18105_031EA,B18105_031MA,B18105_032EA,B18105_032MA,B18105_033EA,B18105_033MA,state
0400000US06,34987590,6369,17214375,7363,3415742,3971,24041,2837,3391701,5099,4690216,6825,54801,3790,4635415,7627,7126381,5933,362896,8946,6763485,10656,1163816,2547,143073,4953,1020743,5368,818220,2646,236532,5707,581688,5799,17773215,5251,3271062,3334,14864,2041,3256198,3678,4574937,3413,49852,3978,4525085,5073,7406847,3472,457104,9430,6949743,10049,1347910,2438,234359,7056,1113551,7037,1172459,2953,460726,6946,711733,6729,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4757771,3181,2356351,4248,454263,2288,2881,767,451382,2267,619699,3533,6867,1459,612832,3699,1013738,3151,48962,3379,964776,4725,168926,1211,18260,1819,150666,1927,99725,1230,25052,1931,74673,2046,2401420,3085,437750,2208,2349,893,435401,2266,603726,2494,7427,1448,596299,2452,1033000,2453,68098,4543,964902,5242,185499,1542,26048,1906,159451,2376,141445,1522,45779,2679,95666,2734,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3341549,1439,1615753,2355,305506,1227,2990,1094,302516,1626,375873,1816,2570,804,373303,1973,715360,1950,33161,2336,682199,3096,128363,850,11729,1247,116634,1601,90651,906,21428,1872,69223,1753,1725796,2163,293249,1287,1760,701,291489,1270,378717,1592,4634,1023,374083,1763,763209,1627,42826,3209,720383,3614,149678,1028,20815,1966,128863,2241,140943,1185,43832,2263,97111,2321,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,846730,949,405952,1340,75856,827,525,469,75331,909,98955,895,1381,526,97574,1052,169939,909,10702,1579,159237,1688,37599,604,4486,873,33113,983,23603,506,6689,1084,16914,1236,440778,994,72453,800,343,289,72110,789,103201,685,1216,523,101985,902,189122,996,17290,1858,171832,2035,42604,513,6180,1178,36424,1335,33398,785,11051,1011,22347,1039,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,582431,742,271038,908,34930,285,447,337,34483,432,99374,745,463,326,98911,778,108524,844,8557,1521,99967,1676,17199,376,2697,741,14502,829,11011,369,3132,775,7879,778,311393,733,35303,275,277,256,35026,385,118676,384,970,461,117706,577,115816,532,12329,1449,103487,1538,22029,324,4946,866,17083,847,19569,458,6566,892,13003,930,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17942110,5061,8663556,7270,1487418,4578,8502,1617,1478916,4810,2015338,5494,29337,3651,1986001,6661,3617902,6414,253303,8235,3364599,10285,877145,3068,110771,5498,766374,5717,665753,3224,166083,5977,499670,6331,9278554,6785,1434765,4789,9660,1616,1425105,5080,2052883,4782,29233,3396,2023650,5051,3892490,4537,297582,8920,3594908,9650,1006554,2839,150559,5557,855995,6169,891862,3134,300262,7786,591600,7705,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9048306,5197,4349611,7837,931327,5485,5369,1503,925958,5810,1105808,5449,17294,2808,1088514,6124,1833488,5933,137905,7084,1695583,8689,312163,2983,50197,3312,261966,3556,166825,2708,50730,2581,116095,3196,4698695,7526,889729,5171,4637,1171,885092,5382,1166909,5679,16036,1940,1150873,6112,2011072,4907,169817,7053,1841255,8200,364383,2756,73583,3347,290800,4001,266602,2430,108196,4243,158406,4509,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1252695,2462,613364,2678,109322,808,358,218,108964,828,151413,2393,1897,948,149516,2573,261294,1602,14317,1986,246977,2443,53534,634,6886,1068,46648,1224,37801,885,9590,1091,28211,1278,639331,1698,104230,766,660,393,103570,906,151548,1062,1389,599,150159,1234,269355,827,15955,2058,253400,2242,57878,480,8009,1161,49869,1243,56320,651,18979,1677,37341,1653,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1461946,2051,726443,3153,158790,2209,1702,1100,157088,2565,181234,2210,2097,824,179137,2444,289550,1657,17946,2209,271604,2602,59858,866,6501,1070,53357,1087,37011,656,10016,1216,26995,1265,735503,2818,151400,1837,1083,689,150317,1855,179184,1885,3027,1012,176157,2016,294991,1827,21274,2098,273717,3020,62053,919,9943,1562,52110,1685,47875,738,15141,1489,32734,1593,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11884344,2275,5788916,5557,1145047,3007,8505,1487,1136542,3228,1489427,4180,18502,2262,1470925,4961,2450734,4024,136878,4944,2313856,5354,421499,2035,56651,2853,364848,3359,282209,1493,77206,2490,205003,2802,6095428,5363,1099981,2692,7753,1319,1092228,2692,1494316,3315,17956,2081,1476360,3733,2572028,3571,173733,7058,2398295,7457,491313,1655,86164,3631,405149,3670,437790,2809,157730,4547,280060,5080,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
