GEO_ID,B13008_001E,B13008_001M,B13008_002E,B13008_002M,B13008_003E,B13008_003M,B13008_004E,B13008_004M,B13008_005E,B13008_005M,B13008_006E,B13008_006M,B13008_007E,B13008_007M,B13008_008E,B13008_008M,B13008_009E,B13008_009M,B13008_010E,B13008_010M,B13008_011E,B13008_011M,B13008_012E,B13008_012M,B13008_013E,B13008_013M,B13008_014E,B13008_014M,B13008_015E,B13008_015M,NAME,B13008_001EA,B13008_001MA,B13008_002MA,B13008_002EA,B13008_003MA,B13008_003EA,B13008_004EA,B13008_004MA,B13008_005MA,B13008_005EA,B13008_006EA,B13008_006MA,B13008_007MA,B13008_007EA,B13008_008MA,B13008_008EA,B13008_009EA,B13008_009MA,B13008_010MA,B13008_010EA,B13008_011MA,B13008_011EA,B13008_012MA,B13008_012EA,B13008_013MA,B13008_013EA,B13008_014MA,B13008_014EA,B13008_015MA,B13008_015EA,state
0400000US06,9566715,8215,505431,12881,338236,9325,194924,7115,143312,5987,167195,7463,121466,5749,45729,3568,9061284,14353,3867266,22625,2062941,20688,1804325,16763,5194018,23718,4060307,21366,1133711,17971,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1264490,3344,69995,3413,53974,3123,43395,3228,10579,1970,16021,2044,14014,1837,2007,718,1194495,4922,557246,8892,458252,7745,98994,5161,637249,9297,581781,9318,55468,4204,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,865205,3029,38839,3109,26500,2336,19071,1838,7429,1332,12339,2128,10936,1926,1403,602,826366,4395,344783,7238,259836,6204,84947,4244,481583,6893,427789,6253,53794,4026,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,222132,1392,12961,2218,8390,1651,6379,1420,2011,801,4571,1246,3891,1054,680,625,209171,2708,84455,3938,69347,3519,15108,1497,124716,4023,114973,3597,9743,2104,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,192543,956,7632,1053,4407,864,2758,652,1649,720,3225,806,3049,817,176,186,184911,1399,41299,2720,30361,2223,10938,1651,143612,3003,125966,3480,17646,2146,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4467985,8400,224836,8016,130563,5853,91420,4662,39143,3036,94273,6877,74273,6311,20000,3264,4243149,11882,1753795,18084,1198890,14734,554905,12718,2489354,20077,2049084,17864,440270,14247,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2525314,7658,157038,6185,96356,5741,73659,4827,22697,3579,60682,4513,55176,3985,5506,1753,2368276,10253,1037340,15139,852504,15412,184836,6397,1330936,15970,1224068,15257,106868,6486,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,321458,1934,20898,2101,13664,1642,10356,1459,3308,930,7234,1332,5922,1228,1312,638,300560,2686,136375,3799,92903,3847,43472,3022,164185,4223,140435,4488,23750,2073,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,372138,2642,24546,2778,17643,2162,16013,2002,1630,724,6903,1585,5940,1387,963,708,347592,3925,175885,4880,155672,4690,20213,2179,171707,5411,162188,5543,9519,1905,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3162903,5749,158016,5614,101301,4201,74863,3597,26438,2685,56715,3665,48553,3501,8162,1712,3004887,7477,1281083,13506,954296,13853,326787,8527,1723804,13544,1541611,13442,182193,7602,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
