GEO_ID,B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,NAME,B21003_001EA,B21003_001MA,B21003_002MA,B21003_002EA,B21003_003MA,B21003_003EA,B21003_004EA,B21003_004MA,B21003_005EA,B21003_005MA,B21003_006EA,B21003_006MA,B21003_007MA,B21003_007EA,B21003_008MA,B21003_008EA,B21003_009EA,B21003_009MA,B21003_010EA,B21003_010MA,B21003_011EA,B21003_011MA,state
0400000US06,24703377,6874,1826578,15661,101172,4086,380966,8640,777702,11068,566738,11911,22876799,18041,4485023,26323,4712830,33016,6608593,30856,7070353,34193,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3424455,3847,399644,7758,15973,1976,83912,3937,157822,5409,141937,5201,3024811,8419,307962,8905,664890,12129,909665,12346,1142294,15303,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2453453,2127,214256,5644,17073,2297,67573,3337,60685,3227,68925,3367,2239197,5801,232113,7442,613824,10457,552709,9671,840551,10825,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,616778,1118,75788,3956,6472,1187,24256,1965,23899,2094,21161,2182,540990,3926,64829,4039,170507,5280,144512,5280,161142,6624,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,437500,900,30766,2323,2216,608,5747,978,8978,1483,13825,1443,406734,2301,47923,2942,75150,4252,66125,3771,217536,4857,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13470764,7563,1542260,19326,99053,4549,428412,11720,563316,10932,451479,10804,11928504,21234,1722312,27238,3587830,31533,3459562,25070,3158800,28007,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6374552,8782,688776,13242,46240,3761,186311,7378,262195,8941,194030,7297,5685776,16593,913785,15232,1620725,18610,1548615,18218,1602651,19435,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,929003,2668,113171,3992,4041,713,31305,2505,42545,2657,35280,2620,815832,4400,87445,5171,232794,6979,250581,6309,245012,5652,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1011059,3011,122016,5003,7875,1465,32017,2496,48770,3593,33354,2714,889043,5361,95482,5005,248110,7528,321438,9621,224013,8702,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8550743,4293,720386,10444,53068,2942,219874,6001,267174,7540,180270,6161,7830357,11131,1008063,15383,2093008,23537,2205702,19305,2523584,18473,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
