GEO_ID,B13004_001E,B13004_001M,B13004_002E,B13004_002M,B13004_003E,B13004_003M,B13004_004E,B13004_004M,B13004_005E,B13004_005M,B13004_006E,B13004_006M,B13004_007E,B13004_007M,B13004_008E,B13004_008M,B13004_009E,B13004_009M,B13004_010E,B13004_010M,B13004_011E,B13004_011M,NAME,B13004_001EA,B13004_001MA,B13004_002EA,B13004_002MA,B13004_003MA,B13004_003EA,B13004_004EA,B13004_004MA,B13004_005EA,B13004_005MA,B13004_006EA,B13004_006MA,B13004_007MA,B13004_007EA,B13004_008MA,B13004_008EA,B13004_009EA,B13004_009MA,B13004_010EA,B13004_010MA,B13004_011MA,B13004_011EA,state
0400000US06,9394669,9228,503615,12870,337976,9364,165639,7525,53270,3557,112369,6591,8891054,14899,3857194,22715,5033860,23314,609458,12983,4424402,20731,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1238517,3828,69950,3412,53974,3123,15976,2040,5888,1086,10088,1642,1168567,5324,556116,8894,612451,9254,90192,4031,522259,8913,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,831140,3574,38778,3113,26492,2336,12286,2129,3370,960,8916,1694,792362,4697,343573,7177,448789,6980,54443,3626,394346,6748,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,214678,1719,12811,2202,8390,1651,4421,1221,1293,539,3128,1011,201867,2903,84202,3914,117665,4215,16776,2083,100889,4510,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,176329,1991,7426,1033,4407,864,3019,809,559,342,2460,696,168903,2119,41208,2702,127695,3346,12699,1917,114996,4295,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4382973,8842,223229,7979,130271,5800,92958,6816,24045,2717,68913,6148,4159744,12252,1748000,18018,2411744,20707,277937,8883,2133807,21205,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2464449,8788,155901,6122,96299,5736,59602,4465,12070,2077,47532,4061,2308548,11008,1034036,15186,1274512,16243,119728,6112,1154784,16072,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,310807,2461,20418,2108,13556,1648,6862,1296,2169,645,4693,1070,290389,2877,134588,3893,155801,4141,21867,1973,133934,4176,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,365151,2837,24524,2768,17643,2162,6881,1583,2432,853,4449,1352,340627,3990,175262,4861,165365,5491,25752,2642,139613,5651,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3097169,6032,156934,5633,101012,4207,55922,3668,15232,1747,40690,3416,2940235,7132,1278107,13398,1662128,13537,206342,6740,1455786,13072,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1510687,5326,89150,4727,52846,3441,36304,3001,11570,1929,24734,2441,1421537,7030,655176,8772,766361,10627,107952,5150,658409,11033,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,677023,3372,40086,2418,26415,2194,13671,1384,4852,955,8819,1134,636937,3829,316081,5350,320856,5843,56654,3412,264202,6083,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,654635,3311,44912,3282,30779,2863,14133,2091,3985,1010,10148,1880,609723,4941,297577,5355,312146,6574,43534,3111,268612,6612,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1012719,4155,57634,3645,37603,3042,20031,2441,5781,1362,14250,2077,955085,5569,461757,7281,493328,7851,71028,4066,422300,8199,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1099994,3273,57343,4663,28287,2842,29056,3288,7267,1442,21789,2691,1042651,5343,429319,8700,613332,8948,70909,4312,542423,8722,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
