GEO_ID,B08103_001E,B08103_001M,B08103_002E,B08103_002M,B08103_003E,B08103_003M,B08103_004E,B08103_004M,B08103_005E,B08103_005M,B08103_006E,B08103_006M,B08103_007E,B08103_007M,NAME,B08103_001EA,B08103_001MA,B08103_002MA,B08103_002EA,B08103_003EA,B08103_003MA,B08103_004MA,B08103_004EA,B08103_005EA,B08103_005MA,B08103_006EA,B08103_006MA,B08103_007MA,B08103_007EA,state
0400000US06,41.2,0.2,41.6,0.2,39.3,0.3,37.5,0.4,32.9,0.8,37.0,0.9,47.7,0.4,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41.4,0.2,42.0,0.3,37.3,0.7,36.8,1.9,30.5,1.2,36.6,1.7,47.6,0.8,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,44.6,0.2,45.5,0.2,38.1,1.2,41.8,1.3,27.3,1.8,37.2,2.4,50.2,0.9,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,43.2,0.5,43.8,0.6,40.0,2.2,39.8,3.3,25.8,3.3,39.2,5.9,47.5,3.3,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36.6,0.4,42.1,0.9,41.8,2.1,33.8,0.8,30.7,0.7,31.9,1.8,41.8,3.5,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,42.9,0.2,43.2,0.2,39.8,0.6,38.4,1.6,36.4,1.3,40.6,1.0,48.7,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,41.6,0.2,42.0,0.2,37.8,0.6,37.5,2.0,29.7,2.2,37.2,2.4,45.5,0.8,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,41.8,0.3,42.2,0.4,41.8,1.1,42.0,2.8,32.5,2.0,39.1,1.9,45.5,3.5,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,41.1,0.4,41.4,0.5,38.4,1.6,42.8,5.0,35.0,4.5,37.2,3.6,46.2,2.8,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,42.0,0.1,42.8,0.2,38.9,0.5,37.6,0.6,32.0,0.8,39.0,1.2,47.0,0.6,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,42.3,0.2,42.9,0.2,38.1,0.8,40.0,3.0,30.5,2.5,37.0,3.3,47.4,1.0,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,42.3,0.2,42.8,0.3,38.5,0.9,36.1,4.3,32.2,2.4,39.3,2.2,48.4,1.1,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42.1,0.3,42.5,0.3,36.9,0.9,36.7,3.8,31.1,2.8,40.9,2.8,47.4,1.6,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,41.8,0.2,42.3,0.3,38.3,0.9,38.8,2.4,29.1,1.7,37.2,3.2,48.3,1.1,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41.5,0.2,41.8,0.2,37.7,1.0,35.5,2.7,37.0,1.8,38.3,2.7,49.2,0.8,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,45.3,0.3,46.0,0.4,41.2,0.9,46.8,5.3,28.5,1.8,38.5,3.2,51.8,1.1,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,43.1,0.2,43.9,0.2,39.5,0.8,39.7,1.0,30.4,1.5,35.8,1.9,48.8,0.7,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,43.2,0.2,44.8,0.2,39.2,0.8,35.1,0.7,29.5,0.8,35.3,2.1,48.6,0.7,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,42.9,0.2,43.4,0.2,39.7,0.5,35.6,1.9,28.4,0.8,37.6,2.1,48.1,0.7,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42.3,0.2,42.7,0.2,38.9,0.7,38.3,1.2,33.7,1.2,35.9,1.7,47.2,0.7,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,42.1,0.3,42.4,0.3,38.9,0.9,48.1,3.7,36.0,5.2,43.4,2.4,47.7,2.1,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,42.2,0.2,42.5,0.2,39.7,0.9,38.3,2.3,32.8,1.9,38.9,2.4,46.0,0.8,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
