GEO_ID,C05003H_001E,C05003H_001M,C05003H_002E,C05003H_002M,C05003H_003E,C05003H_003M,C05003H_004E,C05003H_004M,C05003H_005E,C05003H_005M,C05003H_006E,C05003H_006M,C05003H_007E,C05003H_007M,C05003H_008E,C05003H_008M,C05003H_009E,C05003H_009M,C05003H_010E,C05003H_010M,C05003H_011E,C05003H_011M,C05003H_012E,C05003H_012M,C05003H_013E,C05003H_013M,C05003H_014E,C05003H_014M,C05003H_015E,C05003H_015M,NAME,C05003H_001EA,C05003H_001MA,C05003H_002EA,C05003H_002MA,C05003H_003MA,C05003H_003EA,C05003H_004EA,C05003H_004MA,C05003H_005MA,C05003H_005EA,C05003H_006EA,C05003H_006MA,C05003H_007EA,C05003H_007MA,C05003H_008MA,C05003H_008EA,C05003H_009MA,C05003H_009EA,C05003H_010MA,C05003H_010EA,C05003H_011MA,C05003H_011EA,C05003H_012EA,C05003H_012MA,C05003H_013MA,C05003H_013EA,C05003H_014MA,C05003H_014EA,C05003H_015MA,C05003H_015EA,state
0400000US06,14904055,7593,7432023,4264,1261854,2585,1235202,4153,26652,2937,6170169,2868,5542363,13568,627806,13199,7472032,4421,1193606,2457,1166407,3701,27199,2969,6278426,3323,5578857,14381,699569,13757,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3599838,2504,1795962,2245,361729,1392,359009,1598,2720,912,1434233,1698,1389006,4144,45227,3692,1803876,1804,343210,1404,340245,1729,2965,903,1460666,1043,1401485,4432,59181,4254,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2512773,2534,1222367,1650,241466,805,236577,1669,4889,1422,980901,1319,900029,4400,80872,4368,1290406,1336,229204,593,225846,1284,3358,1106,1061202,1104,970906,4629,90296,4717,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,589642,1421,285719,862,54484,238,53852,593,632,553,231235,818,225740,1302,5495,1146,303923,658,51874,141,51545,385,329,357,252049,631,245006,1179,7043,1187,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,222975,786,110393,609,11105,159,10691,389,414,370,99288,559,89808,1907,9480,1703,112582,342,10631,119,10409,239,222,217,101951,298,92315,1743,9636,1666,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10966711,7126,5375076,4881,912515,2910,897464,3668,15051,2773,4462561,2762,4184312,10071,278249,10074,5591635,3721,869890,2354,856635,3468,13255,2361,4721745,2722,4392258,9529,329487,9065,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5460416,2425,2688279,3380,589633,2787,585308,2866,4325,1226,2098646,1495,2041055,5345,57591,5141,2772137,2819,559621,2716,554914,3097,4707,1606,2212516,1213,2146115,4473,66401,4303,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317032,544,173541,458,20478,452,20064,536,414,328,153063,206,142906,1713,10157,1633,143491,531,19760,443,19339,607,421,345,123731,270,114912,1276,8819,1248,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1330942,1001,662306,1012,166688,839,165792,998,896,836,495618,540,486277,2033,9341,1989,668636,911,158503,799,158171,908,332,325,510133,440,497016,2226,13117,2160,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8093687,3763,3964466,3052,824006,1201,814342,1940,9664,1746,3140460,2736,2924158,7945,216302,7183,4129221,2416,781533,1264,772812,2594,8721,2061,3347688,1660,3108769,8259,238919,7996,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
