GEO_ID,B01002C_001E,B01002C_001M,B01002C_002E,B01002C_002M,B01002C_003E,B01002C_003M,NAME,B01002C_001MA,B01002C_001EA,B01002C_002EA,B01002C_002MA,B01002C_003MA,B01002C_003EA,state
0400000US06,34.1,1.1,34.2,1.3,34.0,1.7,California,null,null,null,null,null,null,06
0400000US08,33.5,1.7,35.6,2.8,31.1,4.1,Colorado,null,null,null,null,null,null,08
0400000US09,28.2,5.2,26.7,9.3,29.4,4.8,Connecticut,null,null,null,null,null,null,09
0400000US10,51.7,5.6,52.5,2.3,42.7,15.6,Delaware,null,null,null,null,null,null,10
0400000US11,41.1,12.5,41.1,21.3,41.1,18.0,District of Columbia,null,null,null,null,null,null,11
0400000US12,37.7,4.0,40.1,5.6,37.0,2.6,Florida,null,null,null,null,null,null,12
0400000US13,30.7,4.7,34.1,8.9,30.2,3.6,Georgia,null,null,null,null,null,null,13
0400000US15,40.1,15.1,29.0,11.8,52.7,15.9,Hawaii,null,null,null,null,null,null,15
0400000US16,29.9,3.9,28.5,3.7,33.0,4.6,Idaho,null,null,null,null,null,null,16
0400000US17,35.0,3.7,33.7,2.9,36.6,6.2,Illinois,null,null,null,null,null,null,17
0400000US18,36.0,4.6,32.8,4.6,39.6,3.7,Indiana,null,null,null,null,null,null,18
0400000US19,28.5,10.3,26.4,5.0,36.2,11.4,Iowa,null,null,null,null,null,null,19
0400000US20,29.2,4.1,28.6,6.6,29.4,5.1,Kansas,null,null,null,null,null,null,20
0400000US21,46.0,5.5,48.0,4.7,42.9,16.1,Kentucky,null,null,null,null,null,null,21
0400000US22,38.6,1.6,38.9,3.4,38.0,4.2,Louisiana,null,null,null,null,null,null,22
0400000US23,38.5,6.0,38.3,8.0,38.9,8.4,Maine,null,null,null,null,null,null,23
0400000US24,38.3,4.3,34.7,2.2,41.9,5.0,Maryland,null,null,null,null,null,null,24
0400000US25,34.6,10.7,24.9,8.9,41.3,7.1,Massachusetts,null,null,null,null,null,null,25
0400000US26,35.5,2.1,33.5,2.7,37.8,3.2,Michigan,null,null,null,null,null,null,26
0400000US27,29.2,1.4,27.5,1.4,31.3,1.8,Minnesota,null,null,null,null,null,null,27
0400000US28,25.8,3.0,26.0,5.1,25.7,3.1,Mississippi,null,null,null,null,null,null,28
0400000US29,34.1,3.9,34.4,4.8,32.0,7.4,Missouri,null,null,null,null,null,null,29
0400000US30,27.2,1.0,25.6,1.8,28.5,2.0,Montana,null,null,null,null,null,null,30
0400000US31,25.8,2.9,24.6,4.9,26.3,4.6,Nebraska,null,null,null,null,null,null,31
0400000US32,33.8,2.8,32.0,1.8,36.3,2.2,Nevada,null,null,null,null,null,null,32
0400000US33,49.2,10.7,40.8,9.9,49.6,12.0,New Hampshire,null,null,null,null,null,null,33
0400000US34,33.0,5.5,38.2,7.7,28.4,5.3,New Jersey,null,null,null,null,null,null,34
0400000US35,29.3,0.5,28.4,0.5,30.2,0.6,New Mexico,null,null,null,null,null,null,35
0400000US36,36.9,3.0,32.9,3.0,40.2,2.3,New York,null,null,null,null,null,null,36
0400000US37,34.9,1.0,33.2,1.7,36.3,1.2,North Carolina,null,null,null,null,null,null,37
0400000US38,25.7,1.7,24.4,1.9,26.3,0.7,North Dakota,null,null,null,null,null,null,38
0400000US39,43.7,2.7,44.5,3.6,42.6,4.6,Ohio,null,null,null,null,null,null,39
0400000US40,30.0,0.5,28.5,1.1,31.3,0.7,Oklahoma,null,null,null,null,null,null,40
0400000US41,32.7,1.3,32.2,1.5,33.8,3.8,Oregon,null,null,null,null,null,null,41
0400000US42,34.1,3.2,32.6,3.6,35.8,6.5,Pennsylvania,null,null,null,null,null,null,42
0400000US44,38.4,7.0,34.5,2.4,41.6,8.8,Rhode Island,null,null,null,null,null,null,44
0400000US45,33.1,2.7,30.7,3.7,34.0,10.2,South Carolina,null,null,null,null,null,null,45
0400000US46,24.5,0.9,22.9,1.6,25.4,0.9,South Dakota,null,null,null,null,null,null,46
0400000US47,32.2,2.2,30.7,3.6,33.8,3.2,Tennessee,null,null,null,null,null,null,47
0400000US48,35.6,1.7,35.4,3.3,35.7,2.0,Texas,null,null,null,null,null,null,48
0400000US49,30.0,2.3,30.1,3.0,29.6,2.8,Utah,null,null,null,null,null,null,49
0400000US50,47.2,16.2,37.7,28.5,47.7,10.5,Vermont,null,null,null,null,null,null,50
0400000US51,40.3,4.3,38.5,7.3,40.9,5.5,Virginia,null,null,null,null,null,null,51
0400000US53,33.6,2.1,31.7,1.5,35.3,2.4,Washington,null,null,null,null,null,null,53
0400000US54,37.8,10.5,43.1,16.9,37.6,11.6,West Virginia,null,null,null,null,null,null,54
0400000US55,33.2,1.7,32.6,2.5,34.0,1.9,Wisconsin,null,null,null,null,null,null,55
0400000US56,28.4,2.6,27.4,0.8,32.9,4.2,Wyoming,null,null,null,null,null,null,56
0400000US72,33.7,4.8,28.0,10.1,38.4,5.9,Puerto Rico,null,null,null,null,null,null,72
0400000US05,38.1,4.4,38.1,3.6,38.1,9.8,Arkansas,null,null,null,null,null,null,05
0400000US01,42.0,3.1,41.6,3.3,42.7,4.6,Alabama,null,null,null,null,null,null,01
0400000US02,29.8,0.7,28.9,1.5,30.6,1.1,Alaska,null,null,null,null,null,null,02
0400000US04,27.8,0.5,27.3,0.7,28.4,0.7,Arizona,null,null,null,null,null,null,04
