GEO_ID,C24010F_001E,C24010F_001M,C24010F_002E,C24010F_002M,C24010F_003E,C24010F_003M,C24010F_004E,C24010F_004M,C24010F_005E,C24010F_005M,C24010F_006E,C24010F_006M,C24010F_007E,C24010F_007M,C24010F_008E,C24010F_008M,C24010F_009E,C24010F_009M,C24010F_010E,C24010F_010M,C24010F_011E,C24010F_011M,C24010F_012E,C24010F_012M,C24010F_013E,C24010F_013M,NAME,C24010F_001MA,C24010F_001EA,C24010F_002EA,C24010F_002MA,C24010F_003EA,C24010F_003MA,C24010F_004EA,C24010F_004MA,C24010F_005EA,C24010F_005MA,C24010F_006MA,C24010F_006EA,C24010F_007MA,C24010F_007EA,C24010F_008EA,C24010F_008MA,C24010F_009EA,C24010F_009MA,C24010F_010EA,C24010F_010MA,C24010F_011MA,C24010F_011EA,C24010F_012MA,C24010F_012EA,C24010F_013EA,C24010F_013MA,state
0400000US06,2104200,29604,1234417,20845,151222,6865,286836,9671,183970,8814,304475,9398,307914,9903,869783,15425,167410,6646,297712,8975,277878,8177,25942,2993,100841,5919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,98799,6709,56740,4523,6984,1351,14146,2560,8816,1857,16367,2594,10427,1937,42059,3523,7769,1272,18322,2265,12601,2080,265,308,3102,970,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,74032,5838,41302,4622,4954,1494,14075,2687,5644,1642,9167,1968,7462,1374,32730,2931,5642,1419,11863,1840,9674,1938,509,342,5042,1329,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11205,2498,6597,1704,1020,649,1919,1195,840,526,1616,774,1202,476,4608,1548,847,519,1730,883,1132,705,244,374,655,453,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15238,2711,9420,1682,2270,773,2800,1099,554,386,3652,1406,144,145,5818,1541,1439,639,3772,1198,451,336,0,197,156,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,214550,12314,124078,8667,19845,3571,32015,4748,21933,3082,34214,4778,16071,2858,90472,6928,22915,2899,28771,3760,29676,3468,2783,1011,6327,1323,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,122916,7268,82859,5282,10066,2049,21237,3230,6202,1595,28004,3582,17350,2662,40057,4223,8436,2003,18659,2840,7016,1494,514,339,5432,1413,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,7254,1482,3958,1053,864,349,1356,799,182,164,879,441,677,503,3296,831,1226,607,1208,685,852,493,0,177,10,19,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23763,3713,14153,2158,931,369,2058,841,1539,810,6211,1842,3414,1340,9610,2927,922,471,4277,1584,2993,1660,448,291,970,438,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,325392,12921,197309,8218,20634,2649,45976,3813,26225,2855,35202,3697,69272,5286,128083,6418,23965,2495,35701,3475,38117,3609,454,355,29846,3119,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,69422,5244,42729,3297,3265,967,11497,2019,4559,1712,8724,1577,14684,2449,26693,2844,4886,1287,8666,1503,8247,1947,513,367,4381,1215,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,17820,2571,11390,1645,1807,923,1776,566,693,516,2723,795,4391,1000,6430,1402,1054,444,2620,931,759,463,414,336,1583,704,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,26448,3492,17316,2387,1806,721,1749,686,1692,738,6844,1399,5225,1365,9132,1701,1577,505,3426,844,2408,863,93,133,1628,685,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,16868,2924,11694,2489,1806,880,1739,816,774,446,5636,2268,1739,605,5174,1081,773,466,2482,829,1153,667,91,111,675,396,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
