GEO_ID,B17010H_001E,B17010H_001M,B17010H_002E,B17010H_002M,B17010H_003E,B17010H_003M,B17010H_004E,B17010H_004M,B17010H_005E,B17010H_005M,B17010H_006E,B17010H_006M,B17010H_007E,B17010H_007M,B17010H_008E,B17010H_008M,B17010H_009E,B17010H_009M,B17010H_010E,B17010H_010M,B17010H_011E,B17010H_011M,B17010H_012E,B17010H_012M,B17010H_013E,B17010H_013M,B17010H_014E,B17010H_014M,B17010H_015E,B17010H_015M,B17010H_016E,B17010H_016M,B17010H_017E,B17010H_017M,B17010H_018E,B17010H_018M,B17010H_019E,B17010H_019M,B17010H_020E,B17010H_020M,B17010H_021E,B17010H_021M,B17010H_022E,B17010H_022M,B17010H_023E,B17010H_023M,B17010H_024E,B17010H_024M,B17010H_025E,B17010H_025M,B17010H_026E,B17010H_026M,B17010H_027E,B17010H_027M,B17010H_028E,B17010H_028M,B17010H_029E,B17010H_029M,B17010H_030E,B17010H_030M,B17010H_031E,B17010H_031M,B17010H_032E,B17010H_032M,B17010H_033E,B17010H_033M,B17010H_034E,B17010H_034M,B17010H_035E,B17010H_035M,B17010H_036E,B17010H_036M,B17010H_037E,B17010H_037M,B17010H_038E,B17010H_038M,B17010H_039E,B17010H_039M,B17010H_040E,B17010H_040M,B17010H_041E,B17010H_041M,NAME,B17010H_001MA,B17010H_001EA,B17010H_002EA,B17010H_002MA,B17010H_003EA,B17010H_003MA,B17010H_004EA,B17010H_004MA,B17010H_005MA,B17010H_005EA,B17010H_006MA,B17010H_006EA,B17010H_007MA,B17010H_007EA,B17010H_008EA,B17010H_008MA,B17010H_009EA,B17010H_009MA,B17010H_010EA,B17010H_010MA,B17010H_011MA,B17010H_011EA,B17010H_012MA,B17010H_012EA,B17010H_013EA,B17010H_013MA,B17010H_014EA,B17010H_014MA,B17010H_015EA,B17010H_015MA,B17010H_016MA,B17010H_016EA,B17010H_017MA,B17010H_017EA,B17010H_018MA,B17010H_018EA,B17010H_019EA,B17010H_019MA,B17010H_020EA,B17010H_020MA,B17010H_021MA,B17010H_021EA,B17010H_022MA,B17010H_022EA,B17010H_023MA,B17010H_023EA,B17010H_024EA,B17010H_024MA,B17010H_025EA,B17010H_025MA,B17010H_026EA,B17010H_026MA,B17010H_027MA,B17010H_027EA,B17010H_028EA,B17010H_028MA,B17010H_029MA,B17010H_029EA,B17010H_030EA,B17010H_030MA,B17010H_031EA,B17010H_031MA,B17010H_032MA,B17010H_032EA,B17010H_033MA,B17010H_033EA,B17010H_034MA,B17010H_034EA,B17010H_035EA,B17010H_035MA,B17010H_036EA,B17010H_036MA,B17010H_037EA,B17010H_037MA,B17010H_038MA,B17010H_038EA,B17010H_039EA,B17010H_039MA,B17010H_040MA,B17010H_040EA,B17010H_041EA,B17010H_041MA,state
0400000US06,3844181,18496,243698,7901,110780,5722,56309,4164,8685,1415,17343,2258,30281,2953,54471,3911,132918,6109,30298,2469,18774,2142,4516,1046,2535,848,11723,1687,11524,1572,102620,5235,79553,4545,18125,2526,15981,2078,45447,3071,23067,2230,3600483,19324,2916773,17493,1069766,13577,220892,6920,172473,6157,676401,12160,1847007,15984,683710,12765,220232,8093,102946,5558,19250,2456,8998,1542,74698,4710,117286,5736,463478,10342,222103,7773,29621,2736,21902,3011,170580,6493,241375,6719,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,950986,7936,52662,3914,22176,2423,12745,1680,3140,958,3211,885,6394,1018,9431,1682,30486,3005,6830,1333,4736,1064,1599,669,443,365,2694,836,2094,917,23656,2709,19769,2621,4029,1117,4250,1102,11490,1805,3887,910,898324,8670,744484,8999,296136,6494,64339,3505,53465,3300,178332,5528,448348,8100,153840,5331,52079,3417,29819,2776,6865,1587,1422,510,21532,2288,22260,2272,101761,4655,59934,3889,7044,1313,6531,1340,46359,3214,41827,2899,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,664276,8061,24417,2728,9447,1622,4949,1320,926,502,1547,733,2476,872,4498,1101,14970,1966,2380,872,2039,786,782,571,218,219,1039,537,341,278,12590,1660,9579,1538,2081,764,2095,824,5403,1126,3011,683,639859,7624,522443,7424,204973,4832,37438,2775,29013,2142,138522,3896,317470,5821,117416,4967,39546,3291,18319,2652,4390,1433,1473,796,12456,1924,21227,2169,77870,3655,40731,3024,4505,1079,3765,921,32461,2813,37139,2054,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,154384,3314,7446,1038,3414,883,2138,816,163,166,425,256,1550,777,1276,458,4032,841,987,453,708,411,331,327,64,103,313,213,279,191,3045,729,2478,671,765,446,576,321,1137,446,567,289,146938,3216,119923,3459,42802,2148,8610,1122,7345,1345,26847,1671,77121,2947,27015,2425,7710,1220,4570,1094,970,521,498,321,3102,946,3140,692,19305,1955,10645,1641,1008,536,1003,402,8634,1406,8660,1391,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2829660,17760,218796,7830,100601,5272,41824,3170,6293,1268,12212,1869,23319,2477,58777,4209,118195,5598,25866,2415,18984,2170,5300,1196,2233,887,11451,1841,6882,1290,92329,5407,74006,4415,17665,2832,17094,1967,39247,3274,18323,2464,2610864,17792,2155016,17365,612367,10737,117262,5655,92212,4851,402893,8948,1542649,14201,455848,10049,138953,5951,68484,4199,13136,2053,6888,1737,48460,3547,70469,4274,316895,8204,158328,6448,26048,2989,15903,2282,116377,5798,158567,5701,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1446778,11895,129233,6904,58431,3994,29681,3036,5294,1303,7051,1468,17336,2091,28750,2542,70802,5242,12139,1861,9231,1693,2494,871,1291,727,5446,1362,2908,780,58663,4656,48524,4078,10776,2077,9807,1751,27941,2599,10139,1759,1317545,11718,1115498,12388,451776,9625,85654,4020,78744,4260,287378,8038,663722,8440,202047,7753,62965,4089,31949,2970,4982,994,2715,885,24252,2463,31016,2582,139082,5981,69711,4224,10635,1628,6807,1423,52269,4131,69371,3810,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87463,3082,5964,1194,3764,1007,2465,895,409,252,1012,565,1044,679,1299,638,2200,656,384,331,343,328,230,306,26,51,87,98,41,66,1816,581,1779,583,404,332,300,325,1075,464,37,61,81499,3014,70134,2890,25707,2142,7194,1136,4981,1060,13532,1666,44427,2415,11365,1441,3866,911,1208,478,217,190,23,39,968,420,2658,716,7499,1120,3351,827,835,487,507,384,2009,713,4148,775,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,355002,5712,35399,3073,16714,2129,10392,1575,2491,733,2923,738,4978,1257,6322,1530,18685,2018,2749,737,1967,601,234,230,238,220,1495,606,782,412,15936,1965,14258,1851,3695,967,2869,975,7694,1374,1678,561,319603,5981,271685,5599,107601,4568,19562,2552,24465,2485,63574,3556,164084,4266,47918,3622,15267,2326,9928,1982,2019,1216,1067,568,6842,1404,5339,1290,32651,2914,17985,2055,2300,701,1845,638,13840,1934,14666,2061,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2119337,12093,129482,4939,51123,3089,26655,2178,5198,1215,7680,1187,13777,1760,24468,2194,78359,4327,15301,1991,10785,1597,4033,1077,1697,664,5055,1010,4516,1033,63058,3968,53554,3645,14094,1645,10751,1648,28709,2560,9504,1291,1989855,12421,1664389,13063,643668,9518,122969,4933,108272,5242,412427,7208,1020721,9695,325466,8384,104875,4699,48211,3259,11131,1485,4450,980,32630,2788,56664,3063,220591,7146,112244,5298,14362,1950,11332,1629,86550,4793,108347,4453,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
