GEO_ID,C13004_001E,C13004_001M,C13004_002E,C13004_002M,C13004_003E,C13004_003M,C13004_004E,C13004_004M,C13004_005E,C13004_005M,C13004_006E,C13004_006M,C13004_007E,C13004_007M,NAME,C13004_001EA,C13004_001MA,C13004_002EA,C13004_002MA,C13004_003EA,C13004_003MA,C13004_004MA,C13004_004EA,C13004_005MA,C13004_005EA,C13004_006MA,C13004_006EA,C13004_007EA,C13004_007MA,state
0400000US06,9394669,9228,503615,12870,337976,9364,165639,7525,8891054,14899,3857194,22715,5033860,23314,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1238517,3828,69950,3412,53974,3123,15976,2040,1168567,5324,556116,8894,612451,9254,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,831140,3574,38778,3113,26492,2336,12286,2129,792362,4697,343573,7177,448789,6980,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,214678,1719,12811,2202,8390,1651,4421,1221,201867,2903,84202,3914,117665,4215,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,176329,1991,7426,1033,4407,864,3019,809,168903,2119,41208,2702,127695,3346,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4382973,8842,223229,7979,130271,5800,92958,6816,4159744,12252,1748000,18018,2411744,20707,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2464449,8788,155901,6122,96299,5736,59602,4465,2308548,11008,1034036,15186,1274512,16243,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,310807,2461,20418,2108,13556,1648,6862,1296,290389,2877,134588,3893,155801,4141,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,365151,2837,24524,2768,17643,2162,6881,1583,340627,3990,175262,4861,165365,5491,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3097169,6032,156934,5633,101012,4207,55922,3668,2940235,7132,1278107,13398,1662128,13537,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1510687,5326,89150,4727,52846,3441,36304,3001,1421537,7030,655176,8772,766361,10627,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,677023,3372,40086,2418,26415,2194,13671,1384,636937,3829,316081,5350,320856,5843,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,654635,3311,44912,3282,30779,2863,14133,2091,609723,4941,297577,5355,312146,6574,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1012719,4155,57634,3645,37603,3042,20031,2441,955085,5569,461757,7281,493328,7851,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1099994,3273,57343,4663,28287,2842,29056,3288,1042651,5343,429319,8700,613332,8948,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,288453,2298,13845,1738,8677,1231,5168,1085,274608,2615,127105,4276,147503,4679,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1441999,4495,77163,4412,48805,3463,28358,2701,1364836,6247,581855,9501,782981,10280,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
