GEO_ID,B17004_001E,B17004_001M,B17004_002E,B17004_002M,B17004_003E,B17004_003M,B17004_004E,B17004_004M,B17004_005E,B17004_005M,B17004_006E,B17004_006M,B17004_007E,B17004_007M,B17004_008E,B17004_008M,B17004_009E,B17004_009M,B17004_010E,B17004_010M,B17004_011E,B17004_011M,B17004_012E,B17004_012M,B17004_013E,B17004_013M,B17004_014E,B17004_014M,B17004_015E,B17004_015M,B17004_016E,B17004_016M,B17004_017E,B17004_017M,B17004_018E,B17004_018M,B17004_019E,B17004_019M,NAME,B17004_001MA,B17004_001EA,B17004_002MA,B17004_002EA,B17004_003MA,B17004_003EA,B17004_004EA,B17004_004MA,B17004_005EA,B17004_005MA,B17004_006MA,B17004_006EA,B17004_007MA,B17004_007EA,B17004_008MA,B17004_008EA,B17004_009EA,B17004_009MA,B17004_010EA,B17004_010MA,B17004_011EA,B17004_011MA,B17004_012MA,B17004_012EA,B17004_013EA,B17004_013MA,B17004_014MA,B17004_014EA,B17004_015EA,B17004_015MA,B17004_016EA,B17004_016MA,B17004_017MA,B17004_017EA,B17004_018MA,B17004_018EA,B17004_019MA,B17004_019EA,state
0400000US06,29267501,9547,4393956,43915,1943591,25956,236438,7637,646099,14300,1061054,18106,2450365,26739,143590,5485,705788,14116,1600987,22338,24873545,43889,12394724,25750,6384192,30973,2798585,25095,3211947,21966,12478821,27085,4450996,23803,3271240,28123,4756585,26486,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3983668,3537,492802,12566,220118,6648,28292,2837,101457,5646,90369,5122,272684,8899,21859,2841,107918,5323,142907,6456,3490866,12473,1751008,7584,1008711,11061,396036,9843,346261,7535,1739858,8649,713636,9615,482165,10064,544057,7320,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2793672,2526,268832,10252,112905,5575,7046,1353,32783,2893,73076,4254,155927,6911,7504,1415,49899,3711,98524,4769,2524840,10310,1227488,5560,670581,8177,274122,7543,282785,6429,1297352,7319,504444,7073,377206,7319,415702,6842,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,711857,1468,75419,5344,29324,2703,3256,882,10570,1878,15498,2171,46095,3742,2196,720,16554,2015,27345,2876,636438,5639,309556,3030,159521,4369,65791,4054,84244,3163,326882,3963,137072,3765,80501,3950,109309,3477,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,500714,874,83467,5904,35489,3380,2069,753,10897,1974,22523,2566,47978,3631,2692,756,14573,1720,30713,3274,417247,5794,197612,3464,122036,3895,37909,3076,37667,2681,219635,3971,119544,3786,45705,3487,54386,3206,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15432569,7474,2336524,32289,1007341,17265,99599,6158,318688,11599,589054,11717,1329183,23202,97254,5450,364850,12578,867079,18733,13096045,33817,6396088,18841,3088996,20228,1273534,16895,2033558,19179,6699957,23340,2497214,19809,1470750,21722,2731993,18835,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7449488,6374,1233662,22996,509521,11902,57842,4437,161650,6298,290029,10192,724141,15036,64919,4680,201720,7751,457502,12674,6215826,24377,3039893,15162,1677002,15322,574126,12176,788765,13230,3175933,15280,1294617,16549,701108,13949,1180208,15652,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1090678,1613,110383,6387,45453,3638,5218,948,14175,1842,26060,2814,64930,3984,4651,1084,18715,2326,41564,3249,980295,6299,494926,3888,263439,5516,106966,4458,124521,3921,485369,3921,198312,4516,118115,4291,168942,4182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1191756,2059,169801,8291,75005,4436,8179,1488,34712,3031,32114,2770,94796,5402,7799,1617,39097,3324,47900,3975,1021955,8442,514056,5252,266319,5852,123883,5165,123854,3934,507899,5903,175264,5876,153067,6314,179568,5472,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9907864,5304,1286554,20579,540839,14053,57092,4431,185277,7800,298470,9661,745715,12273,52177,3754,237362,8243,456176,10426,8621310,21472,4242417,14364,2320923,14363,894099,13661,1027395,11412,4378893,12766,1776068,14817,1124849,13865,1477976,11448,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
