GEO_ID,C08128_001E,C08128_001M,C08128_002E,C08128_002M,C08128_003E,C08128_003M,C08128_004E,C08128_004M,C08128_005E,C08128_005M,C08128_006E,C08128_006M,C08128_007E,C08128_007M,C08128_008E,C08128_008M,C08128_009E,C08128_009M,C08128_010E,C08128_010M,C08128_011E,C08128_011M,C08128_012E,C08128_012M,C08128_013E,C08128_013M,C08128_014E,C08128_014M,C08128_015E,C08128_015M,C08128_016E,C08128_016M,C08128_017E,C08128_017M,C08128_018E,C08128_018M,C08128_019E,C08128_019M,C08128_020E,C08128_020M,C08128_021E,C08128_021M,C08128_022E,C08128_022M,C08128_023E,C08128_023M,C08128_024E,C08128_024M,C08128_025E,C08128_025M,C08128_026E,C08128_026M,C08128_027E,C08128_027M,C08128_028E,C08128_028M,C08128_029E,C08128_029M,C08128_030E,C08128_030M,NAME,C08128_001EA,C08128_001MA,C08128_002EA,C08128_002MA,C08128_003MA,C08128_003EA,C08128_004MA,C08128_004EA,C08128_005MA,C08128_005EA,C08128_006MA,C08128_006EA,C08128_007MA,C08128_007EA,C08128_008EA,C08128_008MA,C08128_009MA,C08128_009EA,C08128_010MA,C08128_010EA,C08128_011EA,C08128_011MA,C08128_012EA,C08128_012MA,C08128_013EA,C08128_013MA,C08128_014MA,C08128_014EA,C08128_015MA,C08128_015EA,C08128_016MA,C08128_016EA,C08128_017MA,C08128_017EA,C08128_018EA,C08128_018MA,C08128_019EA,C08128_019MA,C08128_020MA,C08128_020EA,C08128_021EA,C08128_021MA,C08128_022EA,C08128_022MA,C08128_023EA,C08128_023MA,C08128_024EA,C08128_024MA,C08128_025MA,C08128_025EA,C08128_026MA,C08128_026EA,C08128_027MA,C08128_027EA,C08128_028EA,C08128_028MA,C08128_029EA,C08128_029MA,C08128_030EA,C08128_030MA,state
0400000US06,16432358,41929,12655198,42489,2372387,22187,1376511,19602,28262,3122,12059924,50107,9451172,45457,1785319,22201,810600,16501,12833,1934,1821450,24221,1421485,20887,249130,8810,144464,6655,6371,1357,851099,15586,697866,14930,104681,4635,47815,3721,737,448,834723,18297,634066,16351,139357,6058,59553,4311,1747,673,865162,15704,450609,11966,93900,5256,314079,9887,6574,1284,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2538793,15597,1991297,16459,382761,8956,161313,5629,3422,898,1889150,18419,1500224,17337,295923,7591,91355,4332,1648,566,245831,9352,195907,9046,36327,4057,12948,1678,649,408,81980,5100,66737,4730,13516,1986,1683,1284,44,73,153618,6982,114085,5807,29818,2474,9448,1449,267,202,168214,6844,114344,5677,7177,1275,45879,3069,814,497,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1728325,12264,1385936,13100,233490,7058,106840,5046,2059,689,1358109,13375,1088943,13233,197236,6639,70633,3946,1297,641,142303,6353,118781,6123,14424,1869,8966,1672,132,114,82482,5268,74966,5136,5513,1027,1886,603,117,152,73891,5200,56901,4390,12786,2226,4143,1167,61,88,71540,4258,46345,3024,3531,890,21212,2181,452,358,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,421883,5569,337303,5848,65682,3455,18102,2295,796,521,343732,6538,276988,6200,54494,3222,11715,1483,535,442,34036,2891,26984,2646,5493,1099,1488,679,71,106,10725,1732,8298,1520,2345,753,54,63,28,47,14823,1946,10953,1738,2603,732,1262,517,5,9,18567,2031,14080,1834,747,356,3583,823,157,241,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,326143,6312,223275,6796,84877,3699,17897,2260,94,120,111088,5103,74788,4720,30250,2660,6050,1333,0,197,18396,2250,12115,1800,5541,1006,740,424,0,197,125890,5558,89182,5246,32691,2778,3982,1039,35,62,55640,4506,39277,3775,14399,1847,1964,631,0,197,15129,1890,7913,1429,1996,906,5161,1238,59,98,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8161313,33163,6577286,34895,1098795,19137,474628,14103,10604,1821,6473106,37786,5245665,36681,931529,17857,290372,10773,5540,1342,795280,17080,648099,16776,96355,5100,49049,4178,1777,741,177143,9552,145996,8895,15639,1994,15346,3402,162,219,311497,10280,259340,10010,29955,3346,21752,3166,450,268,404287,11109,278186,8887,25317,2905,98109,5250,2675,896,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4213128,24999,3292894,25849,689479,15371,222871,7757,7884,1621,3353644,22638,2648098,22232,568816,13676,132837,4887,3893,1037,439477,13300,342518,11630,63769,4599,30570,3662,2620,1310,82974,5095,68428,4924,12673,1632,1845,789,28,46,135563,6501,102737,6470,23501,2459,9017,1684,308,324,201470,6626,131113,5574,20720,2348,48602,3867,1035,582,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,670355,7481,458368,7408,167164,5511,43418,3740,1405,559,437154,8837,295972,7738,117083,4802,23847,2848,252,220,102542,5152,71231,4423,24996,2234,5908,1231,407,250,45177,3416,38750,3473,5751,984,676,346,0,177,56006,4040,37250,3243,15617,2043,2900,876,239,227,29476,2735,15165,1885,3717,1200,10087,1744,507,363,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,697765,7911,531910,8423,110180,5243,53560,3507,2115,672,542709,9910,424790,9273,86712,4364,30168,2861,1039,476,70227,5655,51845,4690,13378,1973,4689,1109,315,206,5925,1058,4152,927,1575,647,198,186,0,187,37887,3210,29416,3008,5886,1255,2261,602,324,253,41017,3189,21707,2630,2629,785,16244,1955,437,270,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5927604,21876,4872767,22903,768306,12806,278778,8222,7753,1136,4362024,21463,3600761,22905,600579,10432,156453,6512,4231,981,526666,12110,442937,10998,57842,3559,24437,2440,1450,540,506351,11780,443054,11438,53367,3362,9904,1526,26,42,288521,9291,231084,8828,39850,3185,16827,1787,760,323,244042,7533,154931,5869,16668,2446,71157,4278,1286,430,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
