GEO_ID,B10051H_001E,B10051H_001M,B10051H_002E,B10051H_002M,B10051H_003E,B10051H_003M,B10051H_004E,B10051H_004M,B10051H_005E,B10051H_005M,B10051H_006E,B10051H_006M,B10051H_007E,B10051H_007M,NAME,B10051H_001MA,B10051H_001EA,B10051H_002EA,B10051H_002MA,B10051H_003MA,B10051H_003EA,B10051H_004MA,B10051H_004EA,B10051H_005EA,B10051H_005MA,B10051H_006MA,B10051H_006EA,B10051H_007MA,B10051H_007EA,state
0400000US06,234701,8641,82459,4076,42871,3698,39588,3108,152242,7332,57285,4697,94957,5535,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45416,3553,17717,2346,11135,1932,6582,1289,27699,2540,13880,2147,13819,1814,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,37605,4192,10716,2222,6637,1479,4079,1294,26889,3472,8212,1755,18677,2747,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15151,2775,5849,1495,3809,1172,2040,682,9302,2491,4737,1528,4565,1359,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,190045,8618,76974,5799,45494,4963,31480,3438,113071,6646,46917,4087,66154,5934,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,124117,6938,64415,5262,40647,4327,23768,3027,59702,4348,27709,3329,31993,3194,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,5995,1231,2197,740,1293,648,904,477,3798,1033,1333,439,2465,806,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,17777,2514,7877,1640,4331,1162,3546,1061,9900,1685,4854,1284,5046,1236,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,114474,5868,45475,3521,28602,3065,16873,1777,68999,4505,32451,3469,36548,3198,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,99140,6205,45235,4114,30009,3404,15226,2030,53905,4587,30259,3654,23646,2785,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,32127,2897,14485,1891,9335,1470,5150,1049,17642,2204,9070,1700,8572,1488,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,32166,2755,15578,1962,8831,1442,6747,1301,16588,2101,8504,1495,8084,1473,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,89341,4992,50114,3643,32448,2942,17666,2028,39227,3485,22761,2595,16466,2166,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,57632,3829,31359,3083,21580,3063,9779,1683,26273,2858,13541,2023,12732,1864,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,17528,2425,7470,1641,5428,1356,2042,674,10058,1601,4996,1186,5062,1090,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,56358,4075,20740,2770,11961,2419,8779,1324,35618,3759,15810,2602,19808,2559,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,75806,4852,22809,3389,13456,2997,9353,1678,52997,4010,18504,2512,34493,3216,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,121750,5532,49836,4085,32896,3696,16940,1729,71914,4404,35891,3368,36023,2849,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42095,3293,14459,1927,9401,1511,5058,977,27636,2616,13120,1834,14516,2041,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,42260,4106,23653,2936,15170,2351,8483,1608,18607,2583,10509,2016,8098,1507,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,87479,5890,36196,3693,23291,2862,12905,1751,51283,4053,30297,3296,20986,2201,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,10162,1711,5121,1182,3127,1018,1994,632,5041,1154,2480,874,2561,801,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,15851,1827,7826,1379,4954,1067,2872,925,8025,1206,4549,916,3476,714,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,29211,3082,11306,1900,5996,1325,5310,1284,17905,2701,7872,1646,10033,1852,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,17777,2181,5687,1188,3734,989,1953,610,12090,1812,6380,1269,5710,1079,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,68506,4440,19844,2497,10343,1618,9501,1649,48662,3713,14637,2134,34025,3012,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,14937,2137,7527,1612,3879,947,3648,1121,7410,1546,2524,799,4886,1622,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,151952,6321,44116,3413,24043,2209,20073,2404,107836,6108,30494,3012,77342,5135,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,106206,5891,56628,3965,37008,3351,19620,1907,49578,4000,23257,2867,26321,2516,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4397,1072,2037,836,1083,371,954,810,2360,660,1407,564,953,353,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,169935,6747,82140,5658,55957,4657,26183,2592,87795,4589,43449,3373,44346,3040,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,50472,2877,27486,2233,16422,1848,11064,1365,22986,1935,12301,1518,10685,1391,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,49901,4617,20264,2935,11506,2135,8758,1822,29637,3368,13326,2352,16311,2224,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,158647,6967,58579,3504,38935,2781,19644,1808,100068,5796,43066,4427,57002,4027,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
